#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,survival to age 65 female pct of cohort,-0.51611,True,-0.42744,True
2,mortality rate adult female per 1000 female adults,0.51445,True,0.42863,True
3,life expectancy at birth female years,-0.50532,True,-0.42563,True
4,maternal mortality ratio modeled estimate per 100000 live births,0.50455,True,0.4188,True
5,life expectancy at birth total years,-0.49972,True,-0.42549,True
6,access to electricity pct of population,-0.49946,True,-0.42089,True
7,mortality rate infant per 1000 live births,0.49851,True,0.42317,True
8,life expectancy at birth male years,-0.48899,True,-0.42328,True
9,mortality rate under-5 per 1000 live births,0.48709,True,0.42253,True
10,access to electricity urban pct of urban population,-0.4869,True,-0.42389,True
11,age dependency ratio pct of working-age population,0.48635,True,0.42658,True
12,age dependency ratio young pct of working-age population,0.48456,True,0.42084,True
13,lifetime risk of maternal death pct,0.48056,True,0.41976,True
14,fertility rate total births per woman,0.48021,True,0.40657,True
15,birth rate crude per 1000 people,0.47702,True,0.41278,True
16,population ages 15-64 female pct of total,-0.47691,True,-0.4253,True
17,survival to age 65 male pct of cohort,-0.47559,True,-0.41667,True
18,population ages 0-4 male pct of male population,0.47292,True,0.41371,True
19,adolescent fertility rate births per 1000 women ages 15-19,0.47144,True,0.40178,True
20,population ages 15-64 pct of total,-0.47022,True,-0.42633,True
21,population ages 5-9 male pct of male population,0.46605,True,0.42197,True
22,population ages 0-4 female pct of female population,0.46489,True,0.40847,True
23,population ages 0-14 pct of total,0.46317,True,0.41711,True
24,population ages 15-64 male pct of total,-0.4631,True,-0.42574,True
25,population ages 0-14 male pct of total,0.463,True,0.41831,True
26,mortality rate adult male per 1000 male adults,0.46166,True,0.40874,True
27,population ages 5-9 female pct of female population,0.4596,True,0.41861,True
28,prevalence of anemia among children pct of children under 5,0.45888,True,0.39851,True
29,population ages 0-14 female pct of total,0.45714,True,0.41446,True
30,immunization dpt pct of children ages 12-23 months,-0.44894,True,-0.403,True
31,immunization measles pct of children ages 12-23 months,-0.44109,True,-0.39657,True
32,mortality rate neonatal per 1000 live births,0.44008,True,0.39817,True
33,population ages 45-49 male pct of male population,-0.43525,True,-0.41345,True
34,population ages 45-49 female pct of female population,-0.42583,True,-0.41112,True
35,population ages 40-44 female pct of female population,-0.42201,True,-0.40325,True
36,renewable energy consumption pct of total final energy consumption,0.42145,True,0.35794,True
37,population ages 50-54 male pct of male population,-0.41812,True,-0.41088,True
38,population ages 10-14 female pct of female population,0.41662,True,0.4093,True
39,population ages 10-14 male pct of male population,0.41471,True,0.40244,True
40,forest rents pct of gdp,0.4087,True,0.4024,True
41,population ages 40-44 male pct of male population,-0.40828,True,-0.40276,True
42,population ages 50-54 female pct of female population,-0.40725,True,-0.40328,True
43,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.40707,True,0.37732,True
44,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.40296,True,0.37624,True
45,access to electricity rural pct of rural population,-0.40042,True,-0.36809,True
46,wage and salaried workers female pct of female employment modeled ilo estimate,-0.39825,True,-0.36466,True
47,self-employed female pct of female employment modeled ilo estimate,0.39825,True,0.36466,True
48,vulnerable employment female pct of female employment modeled ilo estimate,0.39786,True,0.36299,True
49,vulnerable employment total pct of total employment modeled ilo estimate,0.39701,True,0.35275,True
50,employment in agriculture pct of total employment modeled ilo estimate,0.39293,True,0.3569,True
51,self-employed total pct of total employment modeled ilo estimate,0.3929,True,0.35225,True
52,wage and salaried workers total pct of total employment modeled ilo estimate,-0.3929,True,-0.35225,True
53,employment in agriculture female pct of female employment modeled ilo estimate,0.38952,True,0.3513,True
54,vulnerable employment male pct of male employment modeled ilo estimate,0.38294,True,0.33516,True
55,employment in agriculture male pct of male employment modeled ilo estimate,0.37781,True,0.34607,True
56,self-employed male pct of male employment modeled ilo estimate,0.37533,True,0.33388,True
57,wage and salaried workers male pct of male employment modeled ilo estimate,-0.37533,True,-0.33388,True
58,population ages 55-59 male pct of male population,-0.37356,True,-0.39269,True
59,mobile cellular subscriptions per 100 people,-0.37229,True,-0.37037,True
60,population ages 35-39 female pct of female population,-0.36788,True,-0.37953,True
61,employment in industry male pct of male employment modeled ilo estimate,-0.36651,True,-0.34238,True
62,employment in industry pct of total employment modeled ilo estimate,-0.35906,True,-0.31335,True
63,population ages 55-59 female pct of female population,-0.35782,True,-0.368,True
64,individuals using the internet pct of population,-0.3546,True,-0.39841,True
65,death rate crude per 1000 people,0.35232,True,0.31592,True
66,employment in services female pct of female employment modeled ilo estimate,-0.34386,True,-0.32622,True
67,employment in services pct of total employment modeled ilo estimate,-0.34029,True,-0.32606,True
68,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,-0.33959,True,-0.24826,True
69,population ages 35-39 male pct of male population,-0.33506,True,-0.38328,True
70,population ages 15-19 female pct of female population,0.3292,True,0.35014,True
71,employment in services male pct of male employment modeled ilo estimate,-0.32481,True,-0.31403,True
72,population ages 15-19 male pct of male population,0.32146,True,0.33917,True
73,population ages 60-64 male pct of male population,-0.32097,True,-0.35285,True
74,fixed telephone subscriptions per 100 people,-0.3176,True,-0.38938,True
75,population ages 60-64 female pct of female population,-0.3136,True,-0.33615,True
76,population ages 65 and above male pct of total,-0.3053,True,-0.35899,True
77,population ages 65 and above pct of total,-0.30288,True,-0.35466,True
78,population ages 70-74 male pct of male population,-0.30165,True,-0.3477,True
79,population ages 75-79 male pct of male population,-0.30075,True,-0.36325,True
80,population ages 65-69 male pct of male population,-0.30023,True,-0.33967,True
81,population ages 65 and above female pct of total,-0.30004,True,-0.3552,True
82,population ages 65-69 female pct of female population,-0.29916,True,-0.33117,True
83,population ages 75-79 female pct of female population,-0.29723,True,-0.3611,True
84,cereal yield kg per hectare,-0.29684,True,-0.37485,True
85,population ages 80 and above male pct of male population,-0.29657,True,-0.37416,True
86,population ages 70-74 female pct of female population,-0.29568,True,-0.34543,True
87,total natural resources rents pct of gdp,0.29399,True,0.29081,True
88,population ages 80 and above female pct of female population,-0.28848,True,-0.37602,True
89,rural population pct of total population,0.28511,True,0.27795,True
90,urban population pct of total,-0.28511,True,-0.27795,True
91,contributing family workers male pct of male employment modeled ilo estimate,0.27418,True,0.27421,True
92,age dependency ratio old pct of working-age population,-0.27287,True,-0.32704,True
93,energy intensity level of primary energy mj  2011 ppp gdp,0.27271,True,0.1915,True
94,population growth annual pct,0.25973,True,0.32873,True
95,gdp per person employed constant 2011 ppp  ,-0.25446,True,-0.32442,True
96,urban population growth annual pct,0.24699,True,0.29133,True
97,contributing family workers total pct of total employment modeled ilo estimate,0.24501,True,0.24531,True
98,rural population growth annual pct,0.23933,True,0.27387,True
99,co2 emissions metric tons per capita,-0.2391,True,-0.33838,True
100,mineral rents pct of gdp,0.23866,True,0.04656,True
101,lifetime risk of maternal death 1 in  rate varies by country,-0.23792,True,-0.40589,True
102,employers male pct of male employment modeled ilo estimate,-0.21791,True,-0.26043,True
103,co2 emissions from gaseous fuel consumption pct of total,-0.21715,True,-0.26069,True
104,population ages 30-34 female pct of female population,-0.21638,True,-0.25605,True
105,co2 emissions from liquid fuel consumption pct of total,0.21196,True,0.20374,True
106,population ages 30-34 male pct of male population,-0.20646,True,-0.28287,True
107,temparature ($^\circ$c),0.19737,True,0.19359,True
108,contributing family workers female pct of female employment modeled ilo estimate,0.19553,True,0.21282,True
109,employers total pct of total employment modeled ilo estimate,-0.19306,True,-0.2459,True
110,population ages 20-24 female pct of female population,0.18279,True,0.16365,True
111,employment in industry female pct of female employment modeled ilo estimate,-0.16854,True,-0.20331,True
112,lower secondary school starting age years,0.16426,True,0.16322,True
113,population ages 20-24 male pct of male population,0.16409,True,0.15377,True
114,renewable electricity output pct of total electricity output,0.15996,True,0.12541,True
115,co2 emissions from solid fuel consumption pct of total,-0.15476,True,-0.25125,True
116,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,-0.14795,True,-0.14742,True
117,ratio of female to male labor force participation rate pct modeled ilo estimate,0.14068,True,0.18199,True
118,employment to population ratio 15+ male pct modeled ilo estimate,-0.13809,True,-0.12279,True
119,rainfall (mm),0.13796,True,0.13742,True
120,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,-0.13596,True,-0.11475,True
121,primary education duration years,0.12639,True,0.14247,True
122,number of maternal deaths,0.12036,True,0.2562,True
123,labor force participation rate for ages 15-24 male pct modeled ilo estimate,-0.11719,True,-0.10427,True
124,labor force female pct of total labor force,0.1093,True,0.166,True
125,mobile cellular subscriptions,-0.1072,True,-0.28916,True
126,employers female pct of female employment modeled ilo estimate,-0.10642,True,-0.14798,True
127,fixed telephone subscriptions,-0.10577,True,-0.3011,True
128,co2 emissions from liquid fuel consumption kt,-0.10473,True,-0.27407,True
129,natural gas rents pct of gdp,-0.10448,True,-0.18033,True
130,livestock production index 2004-2006 = 100,-0.10337,True,-0.16826,True
131,population ages 65 and above female,-0.10154,True,-0.23269,True
132,population ages 65 and above total,-0.09849,True,-0.2319,True
133,employment to population ratio ages 15-24 male pct modeled ilo estimate,-0.09839,True,-0.09231,True
