#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,immunization measles pct of children ages 12-23 months,-0.09111,True,-0.05535,True
2,lifetime risk of maternal death pct,0.0841,True,0.05646,True
3,employment in agriculture male pct of male employment modeled ilo estimate,0.08378,True,0.06313,True
4,employment in agriculture pct of total employment modeled ilo estimate,0.08107,True,0.06154,True
5,employment in services male pct of male employment modeled ilo estimate,-0.07972,True,-0.06278,True
6,employment in services pct of total employment modeled ilo estimate,-0.07895,True,-0.06199,True
7,immunization dpt pct of children ages 12-23 months,-0.07856,True,-0.05372,True
8,access to electricity rural pct of rural population,-0.0773,True,-0.05865,True
9,access to electricity urban pct of urban population,-0.07723,True,-0.0591,True
10,employment in services female pct of female employment modeled ilo estimate,-0.07536,True,-0.06205,True
11,adolescent fertility rate births per 1000 women ages 15-19,0.07449,True,0.05311,True
12,fertility rate total births per woman,0.07154,True,0.05657,True
13,contributing family workers female pct of female employment modeled ilo estimate,0.07121,True,0.05425,True
14,employment in agriculture female pct of female employment modeled ilo estimate,0.07017,True,0.05671,True
15,maternal mortality ratio modeled estimate per 100000 live births,0.0701,True,0.05504,True
16,age dependency ratio pct of working-age population,0.06968,True,0.05666,True
17,employment in industry male pct of male employment modeled ilo estimate,-0.06868,True,-0.06101,True
18,access to electricity pct of population,-0.0683,True,-0.0569,True
19,birth rate crude per 1000 people,0.06741,True,0.0547,True
20,age dependency ratio young pct of working-age population,0.06686,True,0.0555,True
21,population ages 15-64 female pct of total,-0.06579,True,-0.05701,True
22,mortality rate under-5 per 1000 live births,0.06455,True,0.05408,True
23,contributing family workers total pct of total employment modeled ilo estimate,0.06439,True,0.05317,True
24,population ages 0-4 female pct of female population,0.06423,True,0.05441,True
25,population ages 0-4 male pct of male population,0.0642,True,0.05503,True
26,vulnerable employment male pct of male employment modeled ilo estimate,0.06344,True,0.05449,True
27,population ages 15-64 pct of total,-0.06318,True,-0.05614,True
28,prevalence of anemia among children pct of children under 5,0.06278,True,0.05525,True
29,self-employed male pct of male employment modeled ilo estimate,0.0621,True,0.05376,True
30,wage and salaried workers male pct of male employment modeled ilo estimate,-0.0621,True,-0.05376,True
31,renewable energy consumption pct of total final energy consumption,0.06127,True,0.05141,True
32,oil rents pct of gdp,0.06117,True,0.05807,True
33,population ages 15-64 male pct of total,-0.06097,True,-0.05554,True
