#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,total natural resources rents pct of gdp,0.40735,True,0.33128,True
2,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.34206,True,0.32643,True
3,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.33966,True,0.32548,True
4,prevalence of anemia among children pct of children under 5,0.30933,True,0.28646,True
5,population ages 0-4 female pct of female population,0.30491,True,0.28844,True
6,access to electricity pct of population,-0.29703,True,-0.27307,True
7,labor force participation rate for ages 15-24 male pct modeled ilo estimate,-0.29688,True,-0.25629,True
8,population ages 5-9 female pct of female population,0.29522,True,0.27764,True
9,population ages 50-54 female pct of female population,-0.29501,True,-0.28799,True
10,population ages 55-59 female pct of female population,-0.29407,True,-0.30412,True
11,access to electricity urban pct of urban population,-0.28911,True,-0.29436,True
12,population male pct of total,0.28793,True,0.20315,True
13,population female pct of total,-0.28793,True,-0.20315,True
14,population ages 0-14 female pct of total,0.28728,True,0.26903,True
15,oil rents pct of gdp,0.28452,True,0.08109,True
16,maternal mortality ratio modeled estimate per 100000 live births,0.2778,True,0.21134,True
17,population ages 45-49 female pct of female population,-0.27454,True,-0.26466,True
18,population ages 60-64 female pct of female population,-0.27297,True,-0.29688,True
19,population ages 65-69 female pct of female population,-0.26994,True,-0.3192,True
20,life expectancy at birth female years,-0.26582,True,-0.23928,True
21,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,-0.2646,True,-0.21392,True
22,population ages 70-74 male pct of male population,-0.26427,True,-0.31075,True
23,fertility rate total births per woman,0.26422,True,0.25682,True
24,population ages 70-74 female pct of female population,-0.26302,True,-0.31714,True
25,population ages 65 and above pct of total,-0.26257,True,-0.31932,True
26,population ages 65 and above male pct of total,-0.26237,True,-0.31606,True
27,survival to age 65 female pct of cohort,-0.26178,True,-0.22265,True
28,population ages 65-69 male pct of male population,-0.26103,True,-0.3037,True
29,forest rents pct of gdp,0.26039,True,0.12136,True
30,population ages 65 and above female pct of total,-0.26009,True,-0.31965,True
31,birth rate crude per 1000 people,0.25812,True,0.22322,True
32,access to electricity rural pct of rural population,-0.25789,True,-0.23589,True
33,labor force participation rate for ages 15-24 total pct modeled ilo estimate,-0.25745,True,-0.21972,True
34,population ages 75-79 male pct of male population,-0.25544,True,-0.32246,True
35,population ages 75-79 female pct of female population,-0.25495,True,-0.31949,True
36,mortality rate adult female per 1000 female adults,0.25429,True,0.19936,True
37,age dependency ratio old pct of working-age population,-0.25265,True,-0.32809,True
38,population ages 60-64 male pct of male population,-0.25264,True,-0.26759,True
39,population growth annual pct,0.24951,True,0.29669,True
40,employment in industry female pct of female employment modeled ilo estimate,-0.24933,True,-0.28598,True
41,life expectancy at birth total years,-0.24917,True,-0.21253,True
42,lifetime risk of maternal death pct,0.24916,True,0.22486,True
43,population ages 80 and above male pct of male population,-0.2484,True,-0.31965,True
44,population ages 55-59 male pct of male population,-0.24502,True,-0.24205,True
45,adolescent fertility rate births per 1000 women ages 15-19,0.24013,True,0.17282,True
46,population ages 80 and above female pct of female population,-0.23991,True,-0.31911,True
47,age dependency ratio young pct of working-age population,0.23959,True,0.20146,True
48,population ages 0-14 pct of total,0.23913,True,0.20429,True
49,population ages 0-4 male pct of male population,0.23607,True,0.20413,True
50,employment to population ratio ages 15-24 male pct modeled ilo estimate,-0.23295,True,-0.21658,True
51,population ages 10-14 female pct of female population,0.23277,True,0.22799,True
52,population ages 15-64 female pct of total,-0.23122,True,-0.18847,True
53,life expectancy at birth male years,-0.22528,True,-0.19276,True
54,mineral rents pct of gdp,0.22316,True,0.04022,True
55,mortality rate infant per 1000 live births,0.21985,True,0.20124,True
56,fixed telephone subscriptions per 100 people,-0.21981,True,-0.26341,True
57,co2 emissions from solid fuel consumption pct of total,-0.21383,True,-0.26593,True
58,population ages 5-9 male pct of male population,0.2137,True,0.19342,True
59,population ages 50-54 male pct of male population,-0.21319,True,-0.20703,True
60,employers male pct of male employment modeled ilo estimate,-0.2129,True,-0.25079,True
61,mortality rate under-5 per 1000 live births,0.20988,True,0.20036,True
62,temparature ($^\circ$c),0.20815,True,0.21141,True
63,population ages 0-14 male pct of total,0.20682,True,0.1875,True
64,employment to population ratio ages 15-24 total pct modeled ilo estimate,-0.20387,True,-0.17525,True
65,labor force participation rate for ages 15-24 female pct modeled ilo estimate,-0.19903,True,-0.17149,True
66,survival to age 65 male pct of cohort,-0.19857,True,-0.17415,True
67,renewable energy consumption pct of total final energy consumption,0.1982,True,0.11905,True
68,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,-0.19518,True,-0.19292,True
69,age dependency ratio pct of working-age population,0.19274,True,0.14213,True
70,population ages 40-44 female pct of female population,-0.18996,True,-0.16457,True
71,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.18695,True,-0.17894,True
72,employers total pct of total employment modeled ilo estimate,-0.178,True,-0.22302,True
73,immunization dpt pct of children ages 12-23 months,-0.17781,True,-0.112,True
74,urban population growth annual pct,0.17668,True,0.21731,True
76,mortality rate adult male per 1000 male adults,0.17579,True,0.13887,True
77,co2 emissions from liquid fuel consumption pct of total,0.17575,True,0.18576,True
78,population ages 45-49 male pct of male population,-0.17573,True,-0.15502,True
79,mortality rate neonatal per 1000 live births,0.17185,True,0.18159,True
80,employment to population ratio ages 15-24 female pct modeled ilo estimate,-0.16563,True,-0.1392,True
81,immunization measles pct of children ages 12-23 months,-0.16421,True,-0.11192,True
82,population ages 15-19 female pct of female population,0.16334,True,0.16609,True
83,population ages 15-64 pct of total,-0.16289,True,-0.14132,True
84,employment in industry male pct of male employment modeled ilo estimate,-0.15374,True,-0.16639,True
85,employers female pct of female employment modeled ilo estimate,-0.15157,True,-0.17301,True
86,rural population growth annual pct,0.14644,True,0.18676,True
87,population ages 20-24 female pct of female population,0.14007,True,0.12743,True
88,population ages 10-14 male pct of male population,0.1376,True,0.15054,True
89,population ages 15-64 male pct of total,-0.13285,True,-0.11755,True
90,vulnerable employment female pct of female employment modeled ilo estimate,0.12939,True,0.06092,True
92,vulnerable employment total pct of total employment modeled ilo estimate,0.12697,True,0.0542,True
93,employment in industry pct of total employment modeled ilo estimate,-0.12664,True,-0.10914,True
94,population ages 30-34 male pct of male population,0.1266,True,-0.03669,True
95,energy intensity level of primary energy mj  2011 ppp gdp,0.12537,True,0.14695,True
96,population ages 25-29 female pct of female population,0.12531,True,0.08718,True
97,lifetime risk of maternal death 1 in  rate varies by country,-0.12425,True,-0.17146,True
98,wage and salaried workers female pct of female employment modeled ilo estimate,-0.1242,True,-0.06069,True
99,self-employed female pct of female employment modeled ilo estimate,0.1242,True,0.06069,True
100,land under cereal production hectares,-0.12343,True,-0.18319,True
101,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,-0.12046,True,-0.07057,True
