#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,co2 emissions from gaseous fuel consumption kt,0.19385,True,0.14612,True
2,co2 emissions from liquid fuel consumption kt,0.17836,True,0.13857,True
3,forest area sq. km,0.14403,True,0.1278,True
4,agricultural land sq. km,0.12026,True,0.11618,True
5,surface area sq. km,0.10705,True,0.06068,True
6,land area sq. km,0.10447,True,0.05626,True
7,co2 emissions kt,0.09586,True,0.1387,True
8,cereal production metric tons,0.08137,True,0.068,True
9,fixed telephone subscriptions,0.07931,True,0.07205,True
10,land under cereal production hectares,0.07245,True,0.06477,True
11,co2 emissions metric tons per capita,0.06854,True,0.06452,True
12,fixed telephone subscriptions per 100 people,0.0685,True,0.06137,True
13,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.06572,True,-0.07329,True
14,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.0655,True,-0.07364,True
15,arable land hectares per person,0.06313,True,0.07856,True
16,temparature ($^\circ$c),-0.06295,True,-0.06694,True
17,capture fisheries production metric tons,0.06256,True,0.10491,True
18,population ages 50-54 female pct of female population,0.05842,True,0.05528,True
19,population ages 80 and above male pct of male population,0.05817,True,0.06683,True
20,prevalence of anemia among children pct of children under 5,-0.05562,True,-0.06626,True
21,population growth annual pct,-0.05503,True,-0.05325,True
22,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.05445,True,0.04901,True
23,co2 emissions from solid fuel consumption kt,0.05268,True,0.14739,True
24,population ages 55-59 female pct of female population,0.0526,True,0.05359,True
25,urban population growth annual pct,-0.05248,True,-0.05604,True
26,labor force female pct of total labor force,0.05246,True,0.03409,True
27,population ages 80 and above female pct of female population,0.05181,True,0.06465,True
28,employment in services pct of total employment modeled ilo estimate,0.05164,True,0.05914,True
29,age dependency ratio old pct of working-age population,0.05018,True,0.06166,True
30,livestock production index 2004-2006 = 100,-0.05005,True,-0.0674,True
31,employment in agriculture female pct of female employment modeled ilo estimate,-0.04863,True,-0.04979,True
32,population ages 65 and above female pct of total,0.04846,True,0.06089,True
33,population ages 65 and above pct of total,0.04839,True,0.05889,True
34,population ages 65 and above male pct of total,0.04807,True,0.05747,True
35,population ages 20-24 female pct of female population,-0.04806,True,-0.05678,True
36,population ages 0-4 female pct of female population,-0.04799,True,-0.03585,True
37,ratio of female to male labor force participation rate pct modeled ilo estimate,0.04797,True,0.03603,True
38,population ages 75-79 male pct of male population,0.0479,True,0.05947,True
39,employment in services male pct of male employment modeled ilo estimate,0.04785,True,0.05096,True
40,access to electricity rural pct of rural population,0.04735,True,0.06217,True
41,population ages 65-69 female pct of female population,0.04725,True,0.05558,True
42,employment in agriculture pct of total employment modeled ilo estimate,-0.04716,True,-0.05316,True
43,population ages 50-54 male pct of male population,0.04714,True,0.0439,True
44,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.04697,True,0.04552,True
45,number of maternal deaths,0.04684,True,0.05358,True
46,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.04676,True,0.0379,True
47,population ages 75-79 female pct of female population,0.04639,True,0.06078,True
49,vulnerable employment female pct of female employment modeled ilo estimate,-0.04552,True,-0.03936,True
