#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,immunization dpt pct of children ages 12-23 months,-0.11761,True,-0.11616,True
2,population ages 5-9 male pct of male population,0.11579,True,0.11348,True
3,age dependency ratio young pct of working-age population,0.11525,True,0.1131,True
4,population ages 0-4 male pct of male population,0.11478,True,0.10768,True
5,population ages 15-64 female pct of total,-0.11424,True,-0.10385,True
6,population ages 0-14 pct of total,0.11422,True,0.11127,True
7,population ages 15-64 pct of total,-0.11405,True,-0.10997,True
8,population ages 0-14 male pct of total,0.11401,True,0.11155,True
9,population ages 5-9 female pct of female population,0.11388,True,0.11025,True
10,age dependency ratio pct of working-age population,0.11373,True,0.10944,True
11,population ages 0-4 female pct of female population,0.11246,True,0.10385,True
12,population ages 15-64 male pct of total,-0.11235,True,-0.11194,True
13,population ages 0-14 female pct of total,0.1121,True,0.10741,True
14,birth rate crude per 1000 people,0.11137,True,0.10605,True
15,population ages 45-49 male pct of male population,-0.11106,True,-0.10846,True
16,fertility rate total births per woman,0.111,True,0.10569,True
17,immunization measles pct of children ages 12-23 months,-0.10839,True,-0.10251,True
18,population ages 45-49 female pct of female population,-0.10425,True,-0.10244,True
19,population ages 10-14 male pct of male population,0.10355,True,0.10472,True
20,population ages 10-14 female pct of female population,0.10315,True,0.10476,True
21,population ages 50-54 male pct of male population,-0.10288,True,-0.10464,True
22,mortality rate neonatal per 1000 live births,0.10279,True,0.1011,True
23,population ages 40-44 female pct of female population,-0.10152,True,-0.09908,True
24,employment in agriculture female pct of female employment modeled ilo estimate,0.10119,True,0.09114,True
25,population ages 40-44 male pct of male population,-0.10098,True,-0.10272,True
26,mortality rate adult female per 1000 female adults,0.09879,True,0.12372,True
27,life expectancy at birth total years,-0.09684,True,-0.09664,True
28,life expectancy at birth male years,-0.09667,True,-0.09904,True
29,mortality rate infant per 1000 live births,0.0965,True,0.09727,True
30,vulnerable employment female pct of female employment modeled ilo estimate,0.09637,True,0.08799,True
31,employment in agriculture pct of total employment modeled ilo estimate,0.09616,True,0.08599,True
32,population ages 50-54 female pct of female population,-0.096,True,-0.09981,True
33,vulnerable employment total pct of total employment modeled ilo estimate,0.09597,True,0.08826,True
34,life expectancy at birth female years,-0.09581,True,-0.09372,True
35,survival to age 65 female pct of cohort,-0.09575,True,-0.09887,True
36,self-employed female pct of female employment modeled ilo estimate,0.09571,True,0.08566,True
37,wage and salaried workers female pct of female employment modeled ilo estimate,-0.09571,True,-0.08566,True
38,self-employed total pct of total employment modeled ilo estimate,0.09467,True,0.08593,True
39,wage and salaried workers total pct of total employment modeled ilo estimate,-0.09467,True,-0.08593,True
40,mortality rate adult male per 1000 male adults,0.0941,True,0.11403,True
41,vulnerable employment male pct of male employment modeled ilo estimate,0.09342,True,0.0882,True
42,population ages 55-59 male pct of male population,-0.09327,True,-0.09882,True
43,employment in industry male pct of male employment modeled ilo estimate,-0.09309,True,-0.09078,True
44,employment in services female pct of female employment modeled ilo estimate,-0.09283,True,-0.08699,True
45,survival to age 65 male pct of cohort,-0.09279,True,-0.09864,True
46,adolescent fertility rate births per 1000 women ages 15-19,0.09221,True,0.09951,True
47,employment in agriculture male pct of male employment modeled ilo estimate,0.09178,True,0.07953,True
48,self-employed male pct of male employment modeled ilo estimate,0.0914,True,0.08687,True
49,wage and salaried workers male pct of male employment modeled ilo estimate,-0.0914,True,-0.08687,True
50,mortality rate under-5 per 1000 live births,0.08938,True,0.09672,True
51,population ages 35-39 female pct of female population,-0.08792,True,-0.08171,True
52,mobile cellular subscriptions per 100 people,-0.08757,True,-0.08868,True
53,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.0875,True,0.07825,True
54,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.08695,True,0.07789,True
55,population ages 60-64 male pct of male population,-0.08669,True,-0.09144,True
56,population ages 55-59 female pct of female population,-0.08607,True,-0.09292,True
57,renewable energy consumption pct of total final energy consumption,0.08527,True,0.08205,True
58,employment in services pct of total employment modeled ilo estimate,-0.08465,True,-0.07503,True
59,employment in industry pct of total employment modeled ilo estimate,-0.08432,True,-0.08664,True
60,population ages 60-64 female pct of female population,-0.08279,True,-0.08827,True
61,population ages 70-74 male pct of male population,-0.08268,True,-0.09091,True
62,population ages 15-19 male pct of male population,0.08222,True,0.08507,True
63,prevalence of anemia among children pct of children under 5,0.08075,True,0.07036,True
64,population ages 15-19 female pct of female population,0.08054,True,0.08458,True
65,population ages 35-39 male pct of male population,-0.0801,True,-0.07783,True
66,population ages 65-69 female pct of female population,-0.07996,True,-0.08852,True
67,population ages 65-69 male pct of male population,-0.07987,True,-0.08972,True
68,population ages 70-74 female pct of female population,-0.07899,True,-0.08502,True
69,lifetime risk of maternal death pct,0.07857,True,0.1054,True
70,population ages 65 and above male pct of total,-0.07806,True,-0.08775,True
71,maternal mortality ratio modeled estimate per 100000 live births,0.07727,True,0.09889,True
72,population ages 65 and above pct of total,-0.07723,True,-0.08699,True
73,population ages 75-79 male pct of male population,-0.07665,True,-0.0888,True
74,employment in services male pct of male employment modeled ilo estimate,-0.07643,True,-0.06789,True
75,population ages 65 and above female pct of total,-0.0764,True,-0.08573,True
76,population ages 75-79 female pct of female population,-0.07545,True,-0.0867,True
77,access to electricity pct of population,-0.07526,True,-0.06597,True
78,cereal yield kg per hectare,-0.07366,True,-0.08249,True
79,lifetime risk of maternal death 1 in  rate varies by country,-0.07149,True,-0.09146,True
80,gdp per person employed constant 2011 ppp  ,-0.07126,True,-0.08015,True
81,age dependency ratio old pct of working-age population,-0.06951,True,-0.08131,True
82,individuals using the internet pct of population,-0.06943,True,-0.07419,True
83,rural population pct of total population,0.0689,True,0.06903,True
84,urban population pct of total,-0.0689,True,-0.06903,True
85,population ages 80 and above female pct of female population,-0.06848,True,-0.0815,True
86,population ages 80 and above male pct of male population,-0.06631,True,-0.07815,True
87,rural population growth annual pct,0.06145,True,0.07195,True
88,access to electricity urban pct of urban population,-0.06048,True,-0.05896,True
89,access to electricity rural pct of rural population,-0.06005,True,-0.04906,True
90,contributing family workers male pct of male employment modeled ilo estimate,0.0598,True,0.04397,True
91,forest area sq. km,0.05938,True,0.0513,True
92,fixed telephone subscriptions per 100 people,-0.05861,True,-0.07381,True
93,urban population growth annual pct,0.05676,True,0.06824,True
94,contributing family workers total pct of total employment modeled ilo estimate,0.05649,True,0.04046,True
95,contributing family workers female pct of female employment modeled ilo estimate,0.05615,True,0.03748,True
96,employers male pct of male employment modeled ilo estimate,-0.05428,True,-0.05426,True
97,total natural resources rents pct of gdp,0.05355,True,0.07064,True
98,energy intensity level of primary energy mj  2011 ppp gdp,0.05197,True,0.04442,True
99,oil rents pct of gdp,0.05163,True,0.05673,True
100,population growth annual pct,0.05054,True,0.0776,True
101,refugee population by country or territory of origin,0.05032,True,0.06888,True
102,employers total pct of total employment modeled ilo estimate,-0.04969,True,-0.05061,True
103,population ages 30-34 female pct of female population,-0.04946,True,-0.0457,True
104,population ages 20-24 male pct of male population,0.04855,True,0.04792,True
105,population ages 20-24 female pct of female population,0.04806,True,0.04266,True
106,unemployment female pct of female labor force modeled ilo estimate,0.04785,True,0.03397,True
107,death rate crude per 1000 people,0.04635,True,0.05456,True
109,co2 emissions from solid fuel consumption pct of total,-0.04622,True,-0.04049,True
110,population ages 30-34 male pct of male population,-0.04557,True,-0.04879,True
111,arable land hectares per person,0.04364,True,0.06056,True
112,renewable electricity output pct of total electricity output,0.04341,True,0.04296,True
113,employers female pct of female employment modeled ilo estimate,-0.04231,True,-0.05108,True
114,rainfall (mm),-0.04205,True,-0.0392,True
115,unemployment total pct of total labor force modeled ilo estimate,0.04187,True,0.034,True
116,primary education duration years,-0.03991,True,-0.03807,True
117,secondary education duration years,0.03736,True,0.048,True
118,co2 emissions metric tons per capita,-0.03683,True,-0.06596,True
119,surface area sq. km,0.0338,False,0.06059,True
120,population density people per sq. km of land area,-0.03353,False,-0.06721,True
121,land area sq. km,0.03221,False,0.05779,True
123,unemployment male pct of male labor force modeled ilo estimate,0.03188,False,0.03416,True
124,number of maternal deaths,0.03173,False,0.09294,True
131,forest rents pct of gdp,0.02642,False,0.07018,True
142,rural population,-0.02357,False,0.04389,True
145,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.0226,False,0.03899,True
161,agricultural land sq. km,0.0157,False,0.06669,True
