#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,oil rents pct of gdp,0.15047,True,0.08429,True,Decision
2,immunization measles pct of children ages 12-23 months,-0.13292,True,-0.09294,True,Decision
3,total natural resources rents pct of gdp,0.12765,True,0.0715,True,Decision
4,unemployment total pct of total labor force modeled ilo estimate,0.12714,True,0.09583,True,Decision
5,unemployment male pct of male labor force modeled ilo estimate,0.12638,True,0.0962,True,Decision
6,immunization dpt pct of children ages 12-23 months,-0.12632,True,-0.08705,True,Decision
7,mortality rate adult female per 1000 female adults,0.12228,True,0.09124,True,Decision
8,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,0.1167,True,0.08665,True,Decision
9,survival to age 65 female pct of cohort,-0.11212,True,-0.0852,True,Decision
10,access to electricity urban pct of urban population,-0.10922,True,-0.08178,True,Decision
11,life expectancy at birth female years,-0.10517,True,-0.08325,True,Decision
12,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.1039,True,0.08336,True,Decision
13,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.10345,True,0.08312,True,Decision
14,life expectancy at birth total years,-0.10331,True,-0.08362,True,Decision
15,mortality rate adult male per 1000 male adults,0.10061,True,0.08879,True,Decision
16,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,0.10045,True,0.07913,True,Decision
17,life expectancy at birth male years,-0.10028,True,-0.08366,True,Decision
18,access to electricity pct of population,-0.10001,True,-0.07696,True,Decision
19,survival to age 65 male pct of cohort,-0.09809,True,-0.08437,True,Decision
20,fertility rate total births per woman,0.09574,True,0.07754,True,Decision
21,adolescent fertility rate births per 1000 women ages 15-19,0.09419,True,0.08251,True,Decision
22,birth rate crude per 1000 people,0.09418,True,0.07822,True,Decision
23,mortality rate neonatal per 1000 live births,0.09339,True,0.07533,True,Decision
24,population ages 15-64 female pct of total,-0.09315,True,-0.0793,True,Decision
25,maternal mortality ratio modeled estimate per 100000 live births,0.09216,True,0.08192,True,Decision
26,lifetime risk of maternal death pct,0.09147,True,0.08084,True,Decision
27,age dependency ratio pct of working-age population,0.0905,True,0.07692,True,Decision
28,population ages 0-4 female pct of female population,0.08979,True,0.07655,True,Decision
29,population ages 0-4 male pct of male population,0.08885,True,0.07618,True,Decision
30,unemployment female pct of female labor force modeled ilo estimate,0.08868,True,0.08378,True,Decision
31,population ages 15-64 pct of total,-0.08862,True,-0.07673,True,Decision
32,mortality rate infant per 1000 live births,0.08765,True,0.0774,True,Decision
33,age dependency ratio young pct of working-age population,0.08731,True,0.07339,True,Decision
34,mobile cellular subscriptions per 100 people,-0.08604,True,-0.0831,True,Decision
35,mortality rate under-5 per 1000 live births,0.08562,True,0.07761,True,Decision
36,population ages 40-44 female pct of female population,-0.08447,True,-0.07837,True,Decision
37,population ages 15-64 male pct of total,-0.08444,True,-0.0738,True,Decision
38,death rate crude per 1000 people,0.08407,True,0.08311,True,Decision
39,refugee population by country or territory of origin,0.08339,True,0.04869,True,Decision
40,population ages 45-49 female pct of female population,-0.08323,True,-0.08192,True,Decision
41,population ages 0-14 pct of total,0.08304,True,0.07211,True,Decision
42,population ages 0-14 female pct of total,0.08304,True,0.07199,True,Decision
43,prevalence of anemia among children pct of children under 5,0.08302,True,0.07112,True,Decision
44,population ages 45-49 male pct of male population,-0.08217,True,-0.07969,True,Decision
45,population ages 0-14 male pct of total,0.08181,True,0.07169,True,Decision
46,population ages 5-9 female pct of female population,0.08152,True,0.07143,True,Decision
47,population ages 5-9 male pct of male population,0.08017,True,0.07089,True,Decision
48,population ages 40-44 male pct of male population,-0.07767,True,-0.07528,True,Decision
49,population ages 50-54 male pct of male population,-0.07601,True,-0.07567,True,Decision
50,population ages 50-54 female pct of female population,-0.07572,True,-0.07577,True,Decision
51,renewable electricity output pct of total electricity output,0.07411,True,0.06374,True,Decision
52,employment in services female pct of female employment modeled ilo estimate,-0.07379,True,-0.07067,True,Decision
53,population ages 35-39 female pct of female population,-0.07252,True,-0.07462,True,Decision
54,population ages 10-14 female pct of female population,0.06951,True,0.06634,True,Decision
55,wage and salaried workers female pct of female employment modeled ilo estimate,-0.06907,True,-0.06217,True,Decision
56,self-employed female pct of female employment modeled ilo estimate,0.06907,True,0.06217,True,Decision
57,vulnerable employment female pct of female employment modeled ilo estimate,0.06836,True,0.06184,True,Decision
58,population ages 10-14 male pct of male population,0.06743,True,0.06391,True,Decision
59,individuals using the internet pct of population,-0.06519,True,-0.07502,True,Decision
60,livestock production index 2004-2006 = 100,-0.06467,True,-0.05843,True,Decision
61,population ages 55-59 male pct of male population,-0.06438,True,-0.06928,True,Decision
62,employment to population ratio 15+ male pct modeled ilo estimate,-0.0642,True,-0.06202,True,Decision
63,population ages 55-59 female pct of female population,-0.0635,True,-0.06664,True,Decision
64,forest area pct of land area,0.06273,True,0.0527,True,Decision
65,employment in agriculture female pct of female employment modeled ilo estimate,0.06237,True,0.06061,True,Decision
66,population ages 35-39 male pct of male population,-0.06203,True,-0.07122,True,Decision
67,employment in services pct of total employment modeled ilo estimate,-0.05987,True,-0.06299,True,Decision
68,wage and salaried workers total pct of total employment modeled ilo estimate,-0.05963,True,-0.05325,True,Decision
69,self-employed total pct of total employment modeled ilo estimate,0.05963,True,0.05325,True,Decision
70,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,-0.05946,True,-0.06462,True,Decision
71,vulnerable employment total pct of total employment modeled ilo estimate,0.0591,True,0.05363,True,Decision
72,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,0.05822,True,0.06483,True,Decision
73,food production index 2004-2006 = 100,-0.05653,True,-0.06898,True,Decision
74,cereal yield kg per hectare,-0.05582,True,-0.07273,True,Decision
75,renewable energy consumption pct of total final energy consumption,0.05507,True,0.05409,True,Decision
76,employment to population ratio ages 15-24 male pct modeled ilo estimate,-0.05411,True,-0.05218,True,Decision
77,population ages 15-19 female pct of female population,0.05402,True,0.05599,True,Decision
78,employment in agriculture pct of total employment modeled ilo estimate,0.05298,True,0.05757,True,Decision
79,population ages 60-64 male pct of male population,-0.05287,True,-0.05911,True,Decision
80,population ages 15-19 male pct of male population,0.05273,True,0.05368,True,Decision
81,population ages 60-64 female pct of female population,-0.05241,True,-0.05711,True,Decision
82,urban population growth annual pct,0.05173,True,0.06188,True,Decision
83,population ages 65 and above male pct of total,-0.04951,True,-0.05259,True,Decision
84,population ages 70-74 male pct of male population,-0.04909,True,-0.05189,True,Decision
85,population ages 75-79 male pct of male population,-0.04906,True,-0.05297,True,Decision
86,rural population growth annual pct,0.04861,True,0.05378,True,Decision
87,population ages 65 and above pct of total,-0.04857,True,-0.05308,True,Decision
88,population ages 80 and above male pct of male population,-0.04844,True,-0.05239,True,Decision
89,population ages 65-69 male pct of male population,-0.04806,True,-0.05139,True,Decision
90,population ages 65 and above female pct of total,-0.04769,True,-0.05271,True,Decision
91,population ages 65-69 female pct of female population,-0.04739,True,-0.05006,True,Decision
92,population ages 75-79 female pct of female population,-0.04675,True,-0.05304,True,Decision
93,population ages 80 and above female pct of female population,-0.04675,True,-0.05715,True,Decision
94,population ages 70-74 female pct of female population,-0.04629,True,-0.05194,True,Decision
95,wage and salaried workers male pct of male employment modeled ilo estimate,-0.04571,True,-0.04818,True,Decision
96,self-employed male pct of male employment modeled ilo estimate,0.04571,True,0.04818,True,Decision
97,fixed telephone subscriptions per 100 people,-0.04554,True,-0.05322,True,Decision
98,vulnerable employment male pct of male employment modeled ilo estimate,0.04552,True,0.04701,True,Decision
99,employment in agriculture male pct of male employment modeled ilo estimate,0.04549,True,0.0487,True,Decision
100,crop production index 2004-2006 = 100,-0.04388,True,-0.05712,True,Decision
101,employment in services male pct of male employment modeled ilo estimate,-0.04378,True,-0.04721,True,Decision
102,employment to population ratio ages 15-24 total pct modeled ilo estimate,-0.04365,True,-0.04404,True,Decision
103,arable land pct of land area,-0.04292,True,-0.05373,True,Decision
104,lifetime risk of maternal death 1 in  rate varies by country,-0.04256,True,-0.07141,True,Decision
105,population growth annual pct,0.04251,True,0.06681,True,Decision
106,population ages 30-34 female pct of female population,-0.04212,True,-0.04827,True,Decision
107,age dependency ratio old pct of working-age population,-0.04199,True,-0.04566,True,Decision
108,employment in industry female pct of female employment modeled ilo estimate,0.04188,True,0.03778,True,Decision
109,co2 emissions metric tons per capita,-0.04107,True,-0.05633,True,Decision
110,employment to population ratio 15+ total pct modeled ilo estimate,-0.03908,True,-0.04114,True,Decision
111,permanent cropland pct of land area,-0.03842,True,-0.05237,True,Decision
112,co2 emissions from solid fuel consumption pct of total,-0.03785,True,-0.05329,True,Decision
113,employment in industry male pct of male employment modeled ilo estimate,-0.03648,True,-0.04415,True,Decision
114,gdp per person employed constant 2011 ppp  ,-0.03645,True,-0.03821,True,Decision
115,population ages 30-34 male pct of male population,-0.03638,True,-0.04659,True,Decision
116,energy intensity level of primary energy mj  2011 ppp gdp,-0.03598,True,-0.06077,True,Decision
118,population ages 20-24 male pct of male population,0.03213,False,0.03718,True,Decision
119,contributing family workers male pct of male employment modeled ilo estimate,0.03153,False,0.03514,True,Decision
120,access to electricity rural pct of rural population,-0.03055,False,-0.04852,True,Decision
124,secondary education duration years,0.02936,False,0.03871,True,Decision
126,ratio of female to male labor force participation rate pct modeled ilo estimate,0.02908,False,0.04564,True,Decision
130,population total,-0.02456,False,-0.06098,True,Decision
132,population female,-0.02189,False,-0.0524,True,Decision
133,population ages 15-64 female,-0.02183,False,-0.05567,True,Decision
134,population male,-0.02179,False,-0.05267,True,Decision
135,population ages 15-64 total,-0.02178,False,-0.05631,True,Decision
136,population ages 15-64 male,-0.02173,False,-0.05675,True,Decision
140,labor force total,-0.02112,False,-0.05815,True,Decision
142,urban population,-0.02091,False,-0.06032,True,Decision
144,mineral rents pct of gdp,-0.02074,False,-0.03749,True,Decision
145,population ages 65 and above female,-0.01969,False,-0.06512,True,Decision
146,population ages 65 and above total,-0.01968,False,-0.06462,True,Decision
147,population ages 65 and above male,-0.01965,False,-0.06503,True,Decision
150,forest rents pct of gdp,0.01882,False,0.06228,True,Decision
