#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,fertility rate total births per woman,0.35639,True,0.28402,True
2,mortality rate under-5 per 1000 live births,0.35373,True,0.28459,True
3,mortality rate neonatal per 1000 live births,0.34213,True,0.2866,True
4,age dependency ratio pct of working-age population,0.34053,True,0.29583,True
5,birth rate crude per 1000 people,0.34013,True,0.28657,True
6,age dependency ratio young pct of working-age population,0.33741,True,0.29625,True
7,mortality rate infant per 1000 live births,0.3336,True,0.27992,True
8,population ages 0-4 male pct of male population,0.33288,True,0.28889,True
9,population ages 15-64 female pct of total,-0.32992,True,-0.28953,True
10,access to electricity pct of population,-0.32957,True,-0.26668,True
11,life expectancy at birth female years,-0.32763,True,-0.27881,True
12,population ages 0-4 female pct of female population,0.32657,True,0.28384,True
13,prevalence of anemia among children pct of children under 5,0.32608,True,0.27806,True
14,life expectancy at birth total years,-0.32517,True,-0.28025,True
15,population ages 15-64 pct of total,-0.32499,True,-0.29577,True
16,lifetime risk of maternal death pct,0.32043,True,0.30451,True
17,survival to age 65 female pct of cohort,-0.32011,True,-0.27774,True
18,population ages 15-64 male pct of total,-0.31965,True,-0.29653,True
19,life expectancy at birth male years,-0.31935,True,-0.27871,True
20,population ages 0-14 pct of total,0.31818,True,0.29257,True
21,population ages 0-14 male pct of total,0.31786,True,0.29363,True
22,population ages 5-9 male pct of male population,0.31478,True,0.29406,True
23,population ages 0-14 female pct of total,0.31406,True,0.28873,True
24,population ages 5-9 female pct of female population,0.31143,True,0.28913,True
25,employment in agriculture male pct of male employment modeled ilo estimate,0.30458,True,0.25432,True
26,access to electricity rural pct of rural population,-0.30355,True,-0.2447,True
27,maternal mortality ratio modeled estimate per 100000 live births,0.30283,True,0.29743,True
28,mortality rate adult female per 1000 female adults,0.29954,True,0.28668,True
29,employment in agriculture pct of total employment modeled ilo estimate,0.29931,True,0.25461,True
30,population ages 40-44 female pct of female population,-0.29687,True,-0.28905,True
31,survival to age 65 male pct of cohort,-0.29586,True,-0.27216,True
32,population ages 45-49 male pct of male population,-0.29292,True,-0.28654,True
33,immunization dpt pct of children ages 12-23 months,-0.29235,True,-0.24221,True
34,immunization measles pct of children ages 12-23 months,-0.29084,True,-0.2552,True
35,adolescent fertility rate births per 1000 women ages 15-19,0.29046,True,0.25473,True
36,population ages 45-49 female pct of female population,-0.28717,True,-0.28435,True
37,access to electricity urban pct of urban population,-0.28566,True,-0.26004,True
38,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.28417,True,0.25781,True
39,employment in industry male pct of male employment modeled ilo estimate,-0.28371,True,-0.25812,True
40,vulnerable employment male pct of male employment modeled ilo estimate,0.28346,True,0.24985,True
41,renewable energy consumption pct of total final energy consumption,0.28283,True,0.24414,True
42,population ages 40-44 male pct of male population,-0.28247,True,-0.28313,True
43,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.28143,True,0.25608,True
44,population ages 10-14 female pct of female population,0.28008,True,0.2792,True
45,vulnerable employment total pct of total employment modeled ilo estimate,0.27947,True,0.25118,True
46,wage and salaried workers male pct of male employment modeled ilo estimate,-0.2782,True,-0.24706,True
47,self-employed male pct of male employment modeled ilo estimate,0.2782,True,0.24706,True
48,employment in agriculture female pct of female employment modeled ilo estimate,0.27793,True,0.24365,True
49,population ages 10-14 male pct of male population,0.27792,True,0.27682,True
50,population ages 50-54 male pct of male population,-0.27788,True,-0.2789,True
51,self-employed total pct of total employment modeled ilo estimate,0.27592,True,0.2481,True
52,wage and salaried workers total pct of total employment modeled ilo estimate,-0.27592,True,-0.2481,True
53,population ages 35-39 female pct of female population,-0.27329,True,-0.27396,True
54,mobile cellular subscriptions per 100 people,-0.27234,True,-0.26578,True
55,employment in services pct of total employment modeled ilo estimate,-0.27223,True,-0.23576,True
56,vulnerable employment female pct of female employment modeled ilo estimate,0.26967,True,0.24624,True
57,employment in services male pct of male employment modeled ilo estimate,-0.26903,True,-0.22742,True
58,mortality rate adult male per 1000 male adults,0.26878,True,0.27274,True
59,self-employed female pct of female employment modeled ilo estimate,0.26815,True,0.24293,True
60,wage and salaried workers female pct of female employment modeled ilo estimate,-0.26815,True,-0.24293,True
61,population ages 50-54 female pct of female population,-0.2656,True,-0.27048,True
62,employment in services female pct of female employment modeled ilo estimate,-0.26359,True,-0.23511,True
63,rural population pct of total population,0.25633,True,0.24243,True
64,urban population pct of total,-0.25633,True,-0.24243,True
65,contributing family workers male pct of male employment modeled ilo estimate,0.25353,True,0.2021,True
66,population ages 55-59 male pct of male population,-0.25178,True,-0.26842,True
67,population ages 35-39 male pct of male population,-0.24103,True,-0.26276,True
68,employment in industry pct of total employment modeled ilo estimate,-0.23992,True,-0.22436,True
69,death rate crude per 1000 people,0.23752,True,0.20224,True
70,individuals using the internet pct of population,-0.2364,True,-0.2754,True
71,population ages 55-59 female pct of female population,-0.23612,True,-0.24761,True
72,population ages 15-19 female pct of female population,0.22722,True,0.24062,True
73,contributing family workers total pct of total employment modeled ilo estimate,0.2271,True,0.18879,True
74,fixed telephone subscriptions per 100 people,-0.22242,True,-0.25901,True
75,population ages 60-64 male pct of male population,-0.22036,True,-0.24953,True
76,population ages 15-19 male pct of male population,0.22005,True,0.22986,True
77,urban population growth annual pct,0.21725,True,0.22407,True
78,population ages 60-64 female pct of female population,-0.2125,True,-0.23614,True
79,population ages 70-74 male pct of male population,-0.21104,True,-0.25055,True
80,population ages 75-79 male pct of male population,-0.20704,True,-0.24366,True
81,population ages 75-79 female pct of female population,-0.20672,True,-0.24598,True
82,population ages 65 and above male pct of total,-0.20666,True,-0.24593,True
83,population ages 65 and above pct of total,-0.20545,True,-0.2442,True
84,population ages 70-74 female pct of female population,-0.20493,True,-0.24117,True
85,population ages 65 and above female pct of total,-0.20376,True,-0.24291,True
86,population ages 65-69 male pct of male population,-0.20217,True,-0.24006,True
87,population ages 65-69 female pct of female population,-0.19932,True,-0.2283,True
88,contributing family workers female pct of female employment modeled ilo estimate,0.19619,True,0.16985,True
89,gdp per person employed constant 2011 ppp  ,-0.193,True,-0.24472,True
90,population ages 80 and above female pct of female population,-0.19274,True,-0.24645,True
91,population ages 80 and above male pct of male population,-0.19174,True,-0.23908,True
92,co2 emissions from liquid fuel consumption pct of total,0.19067,True,0.19253,True
93,cereal yield kg per hectare,-0.19043,True,-0.2405,True
94,age dependency ratio old pct of working-age population,-0.18513,True,-0.22455,True
95,rural population growth annual pct,0.18466,True,0.22023,True
96,lifetime risk of maternal death 1 in  rate varies by country,-0.17557,True,-0.27322,True
97,population ages 30-34 female pct of female population,-0.17368,True,-0.19736,True
98,forest rents pct of gdp,0.17345,True,0.21057,True
99,co2 emissions metric tons per capita,-0.17152,True,-0.24182,True
100,population growth annual pct,0.16892,True,0.21747,True
101,livestock production index 2004-2006 = 100,-0.16557,True,-0.16594,True
102,employers male pct of male employment modeled ilo estimate,-0.15861,True,-0.18641,True
103,population ages 30-34 male pct of male population,-0.15261,True,-0.20276,True
104,energy intensity level of primary energy mj  2011 ppp gdp,0.15073,True,0.1517,True
105,temparature ($^\circ$c),0.14678,True,0.16815,True
106,employers total pct of total employment modeled ilo estimate,-0.14245,True,-0.17286,True
107,food production index 2004-2006 = 100,-0.13167,True,-0.14306,True
108,co2 emissions from gaseous fuel consumption pct of total,-0.12968,True,-0.15761,True
109,population ages 20-24 female pct of female population,0.12928,True,0.11206,True
110,co2 emissions from solid fuel consumption pct of total,-0.1285,True,-0.16449,True
111,number of maternal deaths,0.12218,True,0.24743,True
112,rainfall (mm),-0.11473,True,-0.132,True
113,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.11204,True,0.10917,True
114,employers female pct of female employment modeled ilo estimate,-0.11112,True,-0.16329,True
115,population ages 20-24 male pct of male population,0.11066,True,0.10553,True
116,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.10728,True,0.08415,True
117,employment to population ratio 15+ male pct modeled ilo estimate,0.10274,True,0.09671,True
118,total natural resources rents pct of gdp,0.1022,True,0.16783,True
119,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.09857,True,0.08165,True
120,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,0.0939,True,0.08789,True
121,crop production index 2004-2006 = 100,-0.08949,True,-0.1147,True
122,forest area pct of land area,-0.08847,True,-0.09139,True
123,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.08737,True,0.07046,True
124,employment to population ratio 15+ total pct modeled ilo estimate,0.085,True,0.07729,True
125,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.08243,True,0.07187,True
126,primary school starting age years,0.08091,True,0.08556,True
127,agricultural land pct of land area,0.06913,True,0.0622,True
128,renewable electricity output pct of total electricity output,0.06902,True,0.0656,True
129,mobile cellular subscriptions,-0.06796,True,-0.18082,True
130,fixed telephone subscriptions,-0.0667,True,-0.18334,True
131,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.06546,True,0.08643,True
132,lower secondary school starting age years,0.06503,True,0.06597,True
133,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.06198,True,-0.09343,True
134,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.06181,True,0.05458,True
135,number of under-five deaths,0.06165,True,0.1981,True
136,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.05995,True,0.05976,True
137,employment to population ratio 15+ female pct modeled ilo estimate,0.05949,True,0.07476,True
138,natural gas rents pct of gdp,-0.05923,True,-0.11007,True
139,population ages 65 and above female,-0.05856,True,-0.10217,True
140,population ages 65 and above total,-0.05708,True,-0.10115,True
141,population ages 65 and above male,-0.0554,True,-0.1003,True
142,population density people per sq. km of land area,-0.05487,True,-0.0979,True
143,urban population,-0.05377,True,-0.07715,True
144,cereal production metric tons,-0.05377,True,-0.05328,True
145,employment in industry female pct of female employment modeled ilo estimate,-0.05319,True,-0.08,True
146,co2 emissions kt,-0.05149,True,-0.12524,True
147,population ages 25-29 male pct of male population,-0.0511,True,-0.04998,True
148,co2 emissions from liquid fuel consumption kt,-0.0503,True,-0.12051,True
149,capture fisheries production metric tons,-0.04923,True,-0.0641,True
150,total fisheries production metric tons,-0.04838,True,-0.07237,True
153,number of infant deaths,0.04786,True,0.18578,True
154,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.04738,True,-0.07336,True
158,co2 emissions from solid fuel consumption kt,-0.04518,True,-0.12261,True
159,refugee population by country or territory of origin,0.04513,True,0.10613,True
161,surface area sq. km,-0.04295,True,0.05937,True
162,land area sq. km,-0.04287,True,0.05976,True
163,arable land hectares per person,0.04267,True,0.1401,True
164,co2 emissions from gaseous fuel consumption kt,-0.04253,True,-0.11858,True
165,coal rents pct of gdp,-0.04242,True,-0.07982,True
169,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.03457,True,-0.04688,True
170,unemployment male pct of male labor force modeled ilo estimate,-0.03449,True,-0.05907,True
171,number of neonatal deaths,0.03326,False,0.18181,True
172,population ages 25-29 female pct of female population,-0.03085,False,-0.03609,True
173,secondary education duration years,0.02941,False,0.05477,True
174,permanent cropland pct of land area,-0.02835,False,-0.04216,True
