#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,survival to age 65 female pct of cohort,0.58345,True,0.5009,True,Decision
2,mortality rate adult female per 1000 female adults,-0.58088,True,-0.51861,True,Decision
3,life expectancy at birth female years,0.57381,True,0.49533,True,Decision
4,age dependency ratio young pct of working-age population,-0.57179,True,-0.50721,True,Decision
5,age dependency ratio pct of working-age population,-0.57178,True,-0.51246,True,Decision
6,life expectancy at birth total years,0.56959,True,0.49653,True,Decision
7,fertility rate total births per woman,-0.56791,True,-0.49316,True,Decision
8,birth rate crude per 1000 people,-0.56658,True,-0.49648,True,Decision
9,population ages 15-64 female pct of total,0.56411,True,0.50804,True,Decision
10,population ages 0-4 male pct of male population,-0.56376,True,-0.50012,True,Decision
11,access to electricity pct of population,0.56293,True,0.48038,True,Decision
12,mortality rate infant per 1000 live births,-0.56189,True,-0.49322,True,Decision
13,life expectancy at birth male years,0.55965,True,0.49551,True,Decision
14,population ages 15-64 pct of total,0.55569,True,0.51236,True,Decision
15,population ages 0-4 female pct of female population,-0.55551,True,-0.49265,True,Decision
16,adolescent fertility rate births per 1000 women ages 15-19,-0.55503,True,-0.48763,True,Decision
17,population ages 5-9 male pct of male population,-0.54967,True,-0.50546,True,Decision
18,population ages 0-14 pct of total,-0.54957,True,-0.50194,True,Decision
19,mortality rate under-5 per 1000 live births,-0.54868,True,-0.49301,True,Decision
20,population ages 0-14 male pct of total,-0.54827,True,-0.50213,True,Decision
21,population ages 15-64 male pct of total,0.54631,True,0.51114,True,Decision
22,maternal mortality ratio modeled estimate per 100000 live births,-0.54467,True,-0.5037,True,Decision
23,population ages 5-9 female pct of female population,-0.54422,True,-0.50154,True,Decision
24,population ages 0-14 female pct of total,-0.54312,True,-0.49728,True,Decision
25,survival to age 65 male pct of cohort,0.54192,True,0.48948,True,Decision
26,access to electricity urban pct of urban population,0.53666,True,0.48557,True,Decision
27,prevalence of anemia among children pct of children under 5,-0.53161,True,-0.46252,True,Decision
28,mortality rate adult male per 1000 male adults,-0.52597,True,-0.49488,True,Decision
29,lifetime risk of maternal death pct,-0.52373,True,-0.50986,True,Decision
30,population ages 45-49 male pct of male population,0.51492,True,0.49319,True,Decision
31,mortality rate neonatal per 1000 live births,-0.51367,True,-0.47239,True,Decision
32,immunization measles pct of children ages 12-23 months,0.50727,True,0.45423,True,Decision
33,immunization dpt pct of children ages 12-23 months,0.50714,True,0.46207,True,Decision
34,population ages 40-44 female pct of female population,0.50445,True,0.48516,True,Decision
35,population ages 45-49 female pct of female population,0.50301,True,0.48968,True,Decision
36,population ages 10-14 female pct of female population,-0.49214,True,-0.48523,True,Decision
37,population ages 50-54 male pct of male population,0.49116,True,0.4859,True,Decision
38,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.48822,True,-0.44966,True,Decision
39,population ages 10-14 male pct of male population,-0.48779,True,-0.47641,True,Decision
40,population ages 40-44 male pct of male population,0.48648,True,0.4835,True,Decision
41,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.48364,True,-0.44781,True,Decision
42,renewable energy consumption pct of total final energy consumption,-0.48163,True,-0.42202,True,Decision
43,access to electricity rural pct of rural population,0.47713,True,0.42646,True,Decision
44,population ages 50-54 female pct of female population,0.47585,True,0.47532,True,Decision
45,self-employed female pct of female employment modeled ilo estimate,-0.45111,True,-0.41215,True,Decision
46,wage and salaried workers female pct of female employment modeled ilo estimate,0.45111,True,0.41215,True,Decision
47,vulnerable employment female pct of female employment modeled ilo estimate,-0.44959,True,-0.41191,True,Decision
48,vulnerable employment total pct of total employment modeled ilo estimate,-0.44596,True,-0.40135,True,Decision
49,population ages 35-39 female pct of female population,0.4459,True,0.4551,True,Decision
50,population ages 55-59 male pct of male population,0.44478,True,0.46733,True,Decision
51,wage and salaried workers total pct of total employment modeled ilo estimate,0.44292,True,0.39916,True,Decision
52,self-employed total pct of total employment modeled ilo estimate,-0.44292,True,-0.39916,True,Decision
53,mobile cellular subscriptions per 100 people,0.43702,True,0.4298,True,Decision
54,employment in agriculture pct of total employment modeled ilo estimate,-0.43146,True,-0.39954,True,Decision
55,employment in agriculture female pct of female employment modeled ilo estimate,-0.42693,True,-0.39656,True,Decision
56,vulnerable employment male pct of male employment modeled ilo estimate,-0.42595,True,-0.3844,True,Decision
57,population ages 55-59 female pct of female population,0.42523,True,0.44146,True,Decision
58,wage and salaried workers male pct of male employment modeled ilo estimate,0.41928,True,0.38232,True,Decision
59,self-employed male pct of male employment modeled ilo estimate,-0.41928,True,-0.38232,True,Decision
60,employment in industry male pct of male employment modeled ilo estimate,0.4179,True,0.39811,True,Decision
61,employment in agriculture male pct of male employment modeled ilo estimate,-0.41371,True,-0.3843,True,Decision
62,individuals using the internet pct of population,0.41106,True,0.45896,True,Decision
63,forest rents pct of gdp,-0.40658,True,-0.44799,True,Decision
64,employment in industry pct of total employment modeled ilo estimate,0.40636,True,0.36481,True,Decision
65,population ages 35-39 male pct of male population,0.40323,True,0.45576,True,Decision
66,population ages 15-19 female pct of female population,-0.39333,True,-0.41795,True,Decision
67,population ages 60-64 male pct of male population,0.3855,True,0.42225,True,Decision
68,population ages 15-19 male pct of male population,-0.38437,True,-0.40266,True,Decision
69,death rate crude per 1000 people,-0.38203,True,-0.35559,True,Decision
70,employment in services female pct of female employment modeled ilo estimate,0.37765,True,0.36045,True,Decision
71,population ages 60-64 female pct of female population,0.37685,True,0.40647,True,Decision
72,fixed telephone subscriptions per 100 people,0.37017,True,0.4454,True,Decision
73,employment in services pct of total employment modeled ilo estimate,0.36897,True,0.35502,True,Decision
74,population ages 70-74 male pct of male population,0.3654,True,0.41883,True,Decision
75,population ages 65 and above male pct of total,0.36505,True,0.42519,True,Decision
76,total natural resources rents pct of gdp,-0.36309,True,-0.34515,True,Decision
77,population ages 65 and above pct of total,0.36235,True,0.42221,True,Decision
78,population ages 65-69 male pct of male population,0.36087,True,0.40856,True,Decision
79,population ages 65-69 female pct of female population,0.36008,True,0.40095,True,Decision
80,population ages 75-79 male pct of male population,0.36008,True,0.42893,True,Decision
81,population ages 65 and above female pct of total,0.35908,True,0.42187,True,Decision
82,population ages 70-74 female pct of female population,0.35723,True,0.41432,True,Decision
83,population ages 75-79 female pct of female population,0.35678,True,0.42793,True,Decision
84,cereal yield kg per hectare,0.34869,True,0.43893,True,Decision
85,population ages 80 and above male pct of male population,0.34687,True,0.43273,True,Decision
86,employment in services male pct of male employment modeled ilo estimate,0.34555,True,0.33389,True,Decision
87,population ages 80 and above female pct of female population,0.34091,True,0.43814,True,Decision
88,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.33556,True,0.27214,True,Decision
89,age dependency ratio old pct of working-age population,0.32717,True,0.39057,True,Decision
90,rural population pct of total population,-0.326,True,-0.32052,True,Decision
91,urban population pct of total,0.326,True,0.32052,True,Decision
92,contributing family workers male pct of male employment modeled ilo estimate,-0.30727,True,-0.3067,True,Decision
93,population growth annual pct,-0.30709,True,-0.39708,True,Decision
94,gdp per person employed constant 2011 ppp  ,0.30558,True,0.37467,True,Decision
95,urban population growth annual pct,-0.3054,True,-0.34963,True,Decision
96,lifetime risk of maternal death 1 in  rate varies by country,0.2931,True,0.47005,True,Decision
97,rural population growth annual pct,-0.28303,True,-0.33008,True,Decision
98,co2 emissions metric tons per capita,0.27586,True,0.38514,True,Decision
99,contributing family workers total pct of total employment modeled ilo estimate,-0.26248,True,-0.26765,True,Decision
100,population ages 30-34 female pct of female population,0.26123,True,0.30193,True,Decision
101,energy intensity level of primary energy mj  2011 ppp gdp,-0.2592,True,-0.19594,True,Decision
102,co2 emissions from liquid fuel consumption pct of total,-0.24957,True,-0.24776,True,Decision
103,population ages 30-34 male pct of male population,0.24444,True,0.32937,True,Decision
104,co2 emissions from gaseous fuel consumption pct of total,0.23137,True,0.26513,True,Decision
105,employers male pct of male employment modeled ilo estimate,0.22961,True,0.26958,True,Decision
106,population ages 20-24 female pct of female population,-0.22614,True,-0.20757,True,Decision
107,temparature ($^\circ$c),-0.22535,True,-0.22052,True,Decision
108,co2 emissions from solid fuel consumption pct of total,0.21444,True,0.3059,True,Decision
109,renewable electricity output pct of total electricity output,-0.20649,True,-0.17906,True,Decision
110,population ages 20-24 male pct of male population,-0.2064,True,-0.20137,True,Decision
111,contributing family workers female pct of female employment modeled ilo estimate,-0.20182,True,-0.22764,True,Decision
112,employers total pct of total employment modeled ilo estimate,0.20112,True,0.24898,True,Decision
113,mineral rents pct of gdp,-0.19909,True,-0.05232,True,Decision
114,employment in industry female pct of female employment modeled ilo estimate,0.18189,True,0.22376,True,Decision
116,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.15261,True,-0.19882,True,Decision
117,livestock production index 2004-2006 = 100,0.14508,True,0.20491,True,Decision
118,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.14198,True,0.14109,True,Decision
119,number of maternal deaths,-0.13504,True,-0.33941,True,Decision
120,unemployment total pct of total labor force modeled ilo estimate,-0.13114,True,-0.03619,True,Decision
121,lower secondary school starting age years,-0.12785,True,-0.13246,True,Decision
122,employment to population ratio 15+ male pct modeled ilo estimate,0.12568,True,0.11464,True,Decision
123,population ages 65 and above female,0.12248,True,0.25504,True,Decision
124,mobile cellular subscriptions,0.12197,True,0.30295,True,Decision
125,unemployment male pct of male labor force modeled ilo estimate,-0.12181,True,-0.05124,True,Decision
126,fixed telephone subscriptions,0.12081,True,0.33501,True,Decision
127,population ages 65 and above total,0.12013,True,0.25356,True,Decision
128,labor force female pct of total labor force,-0.11954,True,-0.18129,True,Decision
129,population ages 65 and above male,0.11741,True,0.25267,True,Decision
130,labor force total,0.11532,True,0.16178,True,Decision
