#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,immunization measles pct of children ages 12-23 months,-0.09271,True,-0.04529,True,Decision
2,immunization dpt pct of children ages 12-23 months,-0.08754,True,-0.04531,True,Decision
3,access to electricity urban pct of urban population,-0.07273,True,-0.04613,True,Decision
4,total natural resources rents pct of gdp,0.06614,True,0.04076,True,Decision
5,access to electricity pct of population,-0.05714,True,-0.04296,True,Decision
6,mortality rate adult female per 1000 female adults,0.05659,True,0.04218,True,Decision
7,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.05459,True,0.04254,True,Decision
8,survival to age 65 female pct of cohort,-0.05447,True,-0.04153,True,Decision
9,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.05407,True,0.04243,True,Decision
10,forest rents pct of gdp,0.0535,True,0.04263,True,Decision
12,life expectancy at birth female years,-0.05107,True,-0.0405,True,Decision
13,life expectancy at birth total years,-0.05099,True,-0.04043,True,Decision
14,life expectancy at birth male years,-0.0504,True,-0.04027,True,Decision
15,survival to age 65 male pct of cohort,-0.04891,True,-0.04021,True,Decision
16,mortality rate infant per 1000 live births,0.04802,True,0.03977,True,Decision
17,mortality rate adult male per 1000 male adults,0.04789,True,0.041,True,Decision
18,renewable electricity output pct of total electricity output,0.04547,True,0.0359,True,Decision
19,prevalence of anemia among children pct of children under 5,0.04509,True,0.03918,True,Decision
20,mortality rate under-5 per 1000 live births,0.04496,True,0.03944,True,Decision
21,death rate crude per 1000 people,0.04463,True,0.03834,True,Decision
23,vulnerable employment female pct of female employment modeled ilo estimate,0.04241,True,0.03848,True,Decision
24,wage and salaried workers female pct of female employment modeled ilo estimate,-0.04218,True,-0.03842,True,Decision
25,self-employed female pct of female employment modeled ilo estimate,0.04218,True,0.03842,True,Decision
26,fertility rate total births per woman,0.04175,True,0.03752,True,Decision
27,birth rate crude per 1000 people,0.04161,True,0.03646,True,Decision
28,mortality rate neonatal per 1000 live births,0.03999,True,0.03719,True,Decision
29,vulnerable employment total pct of total employment modeled ilo estimate,0.03998,True,0.03594,True,Decision
30,self-employed total pct of total employment modeled ilo estimate,0.03941,True,0.03542,True,Decision
31,wage and salaried workers total pct of total employment modeled ilo estimate,-0.03941,True,-0.03542,True,Decision
32,population ages 15-64 female pct of total,-0.0393,True,-0.03652,True,Decision
33,population ages 0-4 male pct of male population,0.03877,True,0.03488,True,Decision
34,population ages 0-4 female pct of female population,0.03873,True,0.03418,True,Decision
35,age dependency ratio pct of working-age population,0.03861,True,0.03583,True,Decision
36,population ages 40-44 female pct of female population,-0.03844,True,-0.03734,True,Decision
37,age dependency ratio young pct of working-age population,0.03836,True,0.03472,True,Decision
39,adolescent fertility rate births per 1000 women ages 15-19,0.03818,True,0.03607,True,Decision
40,population ages 15-64 pct of total,-0.03807,True,-0.03558,True,Decision
42,employment in services female pct of female employment modeled ilo estimate,-0.0378,True,-0.0342,True,Decision
46,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,-0.03722,True,-0.03605,True,Decision
48,population ages 15-64 male pct of total,-0.03695,True,-0.03491,True,Decision
50,population ages 45-49 female pct of female population,-0.03673,True,-0.03646,True,Decision
51,population ages 45-49 male pct of male population,-0.03643,True,-0.03583,True,Decision
57,population ages 40-44 male pct of male population,-0.03521,True,-0.03574,True,Decision
58,vulnerable employment male pct of male employment modeled ilo estimate,0.03516,True,0.03459,True,Decision
60,population ages 35-39 female pct of female population,-0.03445,True,-0.03576,True,Decision
61,self-employed male pct of male employment modeled ilo estimate,0.03433,True,0.03432,True,Decision
62,wage and salaried workers male pct of male employment modeled ilo estimate,-0.03433,True,-0.03432,True,Decision
65,maternal mortality ratio modeled estimate per 100000 live births,0.0342,True,0.03685,True,Decision
69,cereal yield kg per hectare,-0.03161,False,-0.04038,True,Decision
70,individuals using the internet pct of population,-0.03146,False,-0.04057,True,Decision
71,lifetime risk of maternal death pct,0.0314,False,0.03631,True,Decision
73,ratio of female to male labor force participation rate pct modeled ilo estimate,0.03113,False,0.03713,True,Decision
74,population ages 15-19 female pct of female population,0.03078,False,0.03398,True,Decision
78,population ages 35-39 male pct of male population,-0.02969,False,-0.03487,True,Decision
81,fixed telephone subscriptions per 100 people,-0.02916,False,-0.03552,True,Decision
11,oil rents pct of gdp,0.05254,True,0.02679,False,Decision
22,livestock production index 2004-2006 = 100,-0.04258,True,-0.02842,False,Decision
38,renewable energy consumption pct of total final energy consumption,0.03831,True,0.03393,False,Decision
41,employment in services pct of total employment modeled ilo estimate,-0.03799,True,-0.03345,False,Decision
43,employment in agriculture male pct of male employment modeled ilo estimate,0.03751,True,0.03311,False,Decision
44,population ages 0-14 pct of total,0.0373,True,0.03383,False,Decision
45,employment in agriculture pct of total employment modeled ilo estimate,0.03724,True,0.03306,False,Decision
47,population ages 0-14 female pct of total,0.03721,True,0.03381,False,Decision
49,population ages 0-14 male pct of total,0.03692,True,0.03335,False,Decision
52,population ages 5-9 female pct of female population,0.03603,True,0.03295,False,Decision
53,unemployment male pct of male labor force modeled ilo estimate,0.0358,True,0.02069,False,Decision
54,population ages 5-9 male pct of male population,0.03564,True,0.0325,False,Decision
55,unemployment total pct of total labor force modeled ilo estimate,0.03544,True,0.01978,False,Decision
56,employment in services male pct of male employment modeled ilo estimate,-0.03539,True,-0.03084,False,Decision
59,forest area pct of land area,0.03497,True,0.03137,False,Decision
63,employment in agriculture female pct of female employment modeled ilo estimate,0.03431,True,0.03113,False,Decision
64,population ages 10-14 female pct of female population,0.03425,True,0.03253,False,Decision
66,population ages 50-54 male pct of male population,-0.03396,True,-0.0335,False,Decision
67,population ages 50-54 female pct of female population,-0.03333,False,-0.03255,False,Decision
68,population ages 10-14 male pct of male population,0.03328,False,0.03108,False,Decision
72,employment in industry male pct of male employment modeled ilo estimate,-0.03126,False,-0.03207,False,Decision
75,population ages 15-19 male pct of male population,0.02992,False,0.03283,False,Decision
76,population ages 55-59 male pct of male population,-0.0298,False,-0.03008,False,Decision
