#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,-0.41511,True,-0.30019,True,Decision
2,mineral rents pct of gdp,0.39804,True,0.09312,True,Decision
3,adolescent fertility rate births per 1000 women ages 15-19,0.3902,True,0.31234,True,Decision
4,mortality rate adult female per 1000 female adults,0.37909,True,0.30037,True,Decision
5,access to electricity pct of population,-0.37209,True,-0.29728,True,Decision
6,access to electricity urban pct of urban population,-0.36765,True,-0.30319,True,Decision
7,survival to age 65 female pct of cohort,-0.36656,True,-0.29427,True,Decision
8,maternal mortality ratio modeled estimate per 100000 live births,0.36585,True,0.29951,True,Decision
9,forest rents pct of gdp,0.36175,True,0.31165,True,Decision
10,prevalence of anemia among children pct of children under 5,0.3617,True,0.29589,True,Decision
11,renewable energy consumption pct of total final energy consumption,0.35671,True,0.29088,True,Decision
12,total natural resources rents pct of gdp,0.35667,True,0.28836,True,Decision
13,age dependency ratio pct of working-age population,0.35175,True,0.28839,True,Decision
14,life expectancy at birth female years,-0.35035,True,-0.2895,True,Decision
15,population ages 15-64 female pct of total,-0.34751,True,-0.29038,True,Decision
16,age dependency ratio young pct of working-age population,0.34658,True,0.28238,True,Decision
17,life expectancy at birth total years,-0.33962,True,-0.28762,True,Decision
18,population ages 15-64 pct of total,-0.33808,True,-0.2885,True,Decision
19,population ages 0-4 male pct of male population,0.33745,True,0.2801,True,Decision
20,immunization dpt pct of children ages 12-23 months,-0.33674,True,-0.28742,True,Decision
21,population ages 0-4 female pct of female population,0.33609,True,0.28106,True,Decision
22,birth rate crude per 1000 people,0.33451,True,0.27972,True,Decision
23,fertility rate total births per woman,0.33218,True,0.27775,True,Decision
24,population ages 5-9 female pct of female population,0.3298,True,0.28878,True,Decision
25,population ages 5-9 male pct of male population,0.32962,True,0.28728,True,Decision
26,population ages 15-64 male pct of total,-0.3296,True,-0.28717,True,Decision
27,population ages 0-14 pct of total,0.32803,True,0.28109,True,Decision
28,population ages 0-14 female pct of total,0.32626,True,0.28206,True,Decision
29,population ages 0-14 male pct of total,0.32566,True,0.2816,True,Decision
30,life expectancy at birth male years,-0.32524,True,-0.28524,True,Decision
31,lifetime risk of maternal death pct,0.32073,True,0.29685,True,Decision
32,immunization measles pct of children ages 12-23 months,-0.32052,True,-0.29078,True,Decision
33,survival to age 65 male pct of cohort,-0.3205,True,-0.2824,True,Decision
34,mortality rate adult male per 1000 male adults,0.32046,True,0.28399,True,Decision
35,wage and salaried workers female pct of female employment modeled ilo estimate,-0.31792,True,-0.28737,True,Decision
36,self-employed female pct of female employment modeled ilo estimate,0.31792,True,0.28737,True,Decision
37,vulnerable employment female pct of female employment modeled ilo estimate,0.3172,True,0.28493,True,Decision
