#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,total natural resources rents pct of gdp,0.37664,True,0.23256,True
2,oil rents pct of gdp,0.3208,True,0.09942,True
3,population male pct of total,0.26521,True,0.16818,True
4,population female pct of total,-0.26521,True,-0.16818,True
5,labor force participation rate for ages 15-24 male pct modeled ilo estimate,-0.25472,True,-0.21252,True
6,population ages 60-64 female pct of female population,-0.22944,True,-0.23401,True
7,population ages 55-59 female pct of female population,-0.22473,True,-0.22847,True
8,population ages 30-34 female pct of female population,0.22113,True,0.09712,True
9,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.21472,True,0.206,True
10,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.21363,True,0.20569,True
11,employment to population ratio ages 15-24 male pct modeled ilo estimate,-0.21358,True,-0.19069,True
12,population ages 30-34 male pct of male population,0.19999,True,0.08597,True
13,population ages 65-69 female pct of female population,-0.19961,True,-0.23074,True
14,population ages 60-64 male pct of male population,-0.1995,True,-0.1991,True
15,age dependency ratio old pct of working-age population,-0.1992,True,-0.24606,True
16,population ages 80 and above male pct of male population,-0.19641,True,-0.23441,True
17,population ages 65 and above female pct of total,-0.19556,True,-0.2276,True
18,population ages 65 and above pct of total,-0.19449,True,-0.2251,True
19,population ages 70-74 female pct of female population,-0.193,True,-0.21871,True
20,access to electricity urban pct of urban population,-0.19009,True,-0.17617,True
21,population ages 65 and above male pct of total,-0.18953,True,-0.21963,True
22,population ages 75-79 female pct of female population,-0.18946,True,-0.22646,True
23,population ages 35-39 male pct of male population,0.18886,True,0.07932,True
24,population ages 80 and above female pct of female population,-0.18727,True,-0.23106,True
25,population ages 75-79 male pct of male population,-0.18696,True,-0.2264,True
26,labor force participation rate for ages 15-24 total pct modeled ilo estimate,-0.18659,True,-0.14721,True
27,population ages 70-74 male pct of male population,-0.18403,True,-0.20945,True
28,access to electricity pct of population,-0.18072,True,-0.16367,True
29,population ages 65-69 male pct of male population,-0.17895,True,-0.20827,True
30,population ages 50-54 female pct of female population,-0.17146,True,-0.17156,True
31,population ages 55-59 male pct of male population,-0.16928,True,-0.16222,True
32,employers male pct of male employment modeled ilo estimate,-0.16477,True,-0.1808,True
33,prevalence of anemia among children pct of children under 5,0.16265,True,0.16052,True
34,mineral rents pct of gdp,0.16166,True,-0.05419,True
35,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,-0.1608,True,-0.11559,True
36,population ages 5-9 female pct of female population,0.16059,True,0.15575,True
37,employment to population ratio ages 15-24 total pct modeled ilo estimate,-0.15745,True,-0.12872,True
38,population ages 0-4 female pct of female population,0.15439,True,0.13592,True
39,population ages 0-14 female pct of total,0.15415,True,0.14696,True
40,employers female pct of female employment modeled ilo estimate,-0.15166,True,-0.16843,True
41,access to electricity rural pct of rural population,-0.15163,True,-0.17201,True
42,maternal mortality ratio modeled estimate per 100000 live births,0.14981,True,0.12457,True
43,employers total pct of total employment modeled ilo estimate,-0.14975,True,-0.17324,True
45,immunization dpt pct of children ages 12-23 months,-0.14313,True,-0.07628,True
46,population ages 35-39 female pct of female population,0.1427,True,0.07287,True
47,population growth annual pct,0.13923,True,0.16795,True
48,life expectancy at birth female years,-0.13846,True,-0.13129,True
49,population ages 10-14 female pct of female population,0.13712,True,0.13797,True
50,immunization measles pct of children ages 12-23 months,-0.13528,True,-0.08874,True
51,mortality rate adult female per 1000 female adults,0.13486,True,0.08836,True
52,lifetime risk of maternal death pct,0.13369,True,0.12615,True
53,urban population growth annual pct,0.13304,True,0.17411,True
54,population ages 45-49 female pct of female population,-0.13182,True,-0.12394,True
55,survival to age 65 female pct of cohort,-0.13067,True,-0.10439,True
57,employment in industry female pct of female employment modeled ilo estimate,-0.12859,True,-0.1793,True
58,life expectancy at birth total years,-0.12292,True,-0.10507,True
60,arable land pct of land area,-0.12115,True,-0.13295,True
61,fertility rate total births per woman,0.11812,True,0.07906,True
62,mortality rate infant per 1000 live births,0.11763,True,0.12644,True
63,birth rate crude per 1000 people,0.1144,True,0.06826,True
64,gdp per person employed constant 2011 ppp  ,0.11435,True,0.03679,True
65,labor force participation rate for ages 15-24 female pct modeled ilo estimate,-0.11419,True,-0.08223,True
66,population ages 25-29 female pct of female population,0.11406,True,0.0848,True
67,population ages 0-14 pct of total,0.11147,True,0.08942,True
68,age dependency ratio young pct of working-age population,0.11087,True,0.07666,True
69,mortality rate under-5 per 1000 live births,0.10936,True,0.12568,True
71,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.10333,True,-0.08058,True
72,population density people per sq. km of land area,0.1027,True,-0.04268,True
73,life expectancy at birth male years,-0.10163,True,-0.08023,True
74,employment to population ratio ages 15-24 female pct modeled ilo estimate,-0.1008,True,-0.0748,True
75,fixed telephone subscriptions per 100 people,-0.10036,True,-0.13695,True
76,temparature ($^\circ$c),0.0967,True,0.10933,True
77,population ages 0-4 male pct of male population,0.09345,True,0.05736,True
78,population ages 50-54 male pct of male population,-0.09331,True,-0.09032,True
79,rural population growth annual pct,0.0922,True,0.12183,True
80,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,-0.09056,True,-0.08194,True
81,population ages 40-44 male pct of male population,0.08985,True,0.05526,True
82,population ages 5-9 male pct of male population,0.08933,True,0.08183,True
83,population ages 15-19 female pct of female population,0.08927,True,0.08804,True
84,energy intensity level of primary energy mj  2011 ppp gdp,0.089,True,0.12545,True
88,population ages 0-14 male pct of total,0.08347,True,0.07416,True
89,lifetime risk of maternal death 1 in  rate varies by country,-0.08297,True,-0.08515,True
90,mortality rate neonatal per 1000 live births,0.08225,True,0.11176,True
91,coal rents pct of gdp,-0.08052,True,-0.15651,True
92,employment in industry male pct of male employment modeled ilo estimate,-0.07959,True,-0.10254,True
93,preprimary education duration years,0.07543,True,0.086,True
94,crop production index 2004-2006 = 100,-0.07479,True,-0.15949,True
95,survival to age 65 male pct of cohort,-0.07138,True,-0.05371,True
97,agricultural land sq. km,0.06933,True,0.04771,True
98,co2 emissions from solid fuel consumption pct of total,-0.06825,True,-0.12907,True
101,co2 emissions from gaseous fuel consumption pct of total,-0.06239,True,-0.06777,True
102,permanent cropland pct of land area,-0.05885,True,-0.04968,True
103,arable land hectares per person,-0.05862,True,-0.06781,True
110,population ages 10-14 male pct of male population,0.05458,True,0.0735,True
111,agricultural land pct of land area,0.0535,True,0.04381,True
116,population ages 20-24 female pct of female population,0.05034,True,0.03613,True
118,death rate crude per 1000 people,-0.04448,True,-0.04838,True
119,population ages 20-24 male pct of male population,-0.04408,True,-0.06503,True
124,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,-0.04002,True,-0.03401,True
125,unemployment male pct of male labor force modeled ilo estimate,-0.03887,True,-0.1023,True
128,forest area pct of land area,-0.03554,True,-0.05135,True
129,primary education duration years,0.03484,True,0.03444,True
130,employment in services male pct of male employment modeled ilo estimate,0.03455,True,0.03514,True
131,co2 emissions metric tons per capita,0.03428,True,-0.03761,True
135,lower secondary school starting age years,0.03207,False,0.04315,True
136,employment in services pct of total employment modeled ilo estimate,-0.03073,False,-0.03691,True
137,individuals using the internet pct of population,-0.02936,False,-0.04688,True
139,fixed telephone subscriptions,0.02688,False,-0.10406,True
141,cereal yield kg per hectare,-0.02486,False,-0.0793,True
142,unemployment total pct of total labor force modeled ilo estimate,-0.02403,False,-0.08174,True
144,contributing family workers male pct of male employment modeled ilo estimate,0.02344,False,-0.05284,True
147,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.02033,False,0.05283,True
148,contributing family workers female pct of female employment modeled ilo estimate,-0.01918,False,-0.06167,True
155,land under cereal production hectares,-0.01684,False,-0.11259,True
