#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,mobile cellular subscriptions,0.41768,True,0.30006,True,Decision
2,labor force total,0.40286,True,0.37611,True,Decision
3,capture fisheries production metric tons,0.40241,True,0.33924,True,Decision
4,total fisheries production metric tons,0.39926,True,0.36817,True,Decision
5,urban population,0.39776,True,0.32715,True,Decision
6,population ages 65 and above male,0.37872,True,0.32815,True,Decision
7,population ages 65 and above total,0.37839,True,0.32876,True,Decision
8,population ages 65 and above female,0.37759,True,0.32926,True,Decision
9,population ages 15-64 female,0.37498,True,0.37505,True,Decision
10,population ages 15-64 total,0.37383,True,0.3742,True,Decision
11,population ages 15-64 male,0.37271,True,0.37298,True,Decision
12,population female,0.36881,True,0.37363,True,Decision
13,population total,0.36854,True,0.37467,True,Decision
14,population male,0.36654,True,0.37358,True,Decision
15,cereal production metric tons,0.35635,True,0.3377,True,Decision
16,co2 emissions from solid fuel consumption kt,0.3406,True,0.24624,True,Decision
17,fixed telephone subscriptions,0.33272,True,0.30465,True,Decision
18,rural population,0.32974,True,0.39909,True,Decision
19,population ages 0-14 male,0.32512,True,0.37309,True,Decision
20,population ages 0-14 total,0.32378,True,0.37252,True,Decision
21,co2 emissions kt,0.32355,True,0.26055,True,Decision
22,population ages 0-14 female,0.32219,True,0.3715,True,Decision
23,land under cereal production hectares,0.31163,True,0.30701,True,Decision
24,contributing family workers female pct of female employment modeled ilo estimate,0.25083,True,0.28164,True,Decision
25,land area sq. km,0.23889,True,0.27381,True,Decision
26,surface area sq. km,0.23403,True,0.26145,True,Decision
27,agricultural land sq. km,0.22882,True,0.17904,True,Decision
28,co2 emissions from liquid fuel consumption pct of total,-0.22086,True,-0.22194,True,Decision
29,co2 emissions from solid fuel consumption pct of total,0.21085,True,0.2074,True,Decision
30,urban population pct of total,-0.20329,True,-0.22225,True,Decision
31,rural population pct of total population,0.20329,True,0.22225,True,Decision
32,coal rents pct of gdp,0.20209,True,0.29693,True,Decision
33,population ages 25-29 female pct of female population,0.20149,True,0.26853,True,Decision
34,employment in services female pct of female employment modeled ilo estimate,-0.20138,True,-0.21757,True,Decision
35,co2 emissions from liquid fuel consumption kt,0.19393,True,0.2538,True,Decision
36,population ages 15-64 female pct of total,0.18844,True,0.1583,True,Decision
37,employment in industry female pct of female employment modeled ilo estimate,0.1837,True,0.188,True,Decision
38,employment to population ratio 15+ male pct modeled ilo estimate,0.18279,True,0.20332,True,Decision
39,contributing family workers total pct of total employment modeled ilo estimate,0.17939,True,0.24778,True,Decision
40,gdp per person employed constant 2011 ppp  ,-0.17908,True,-0.14366,True,Decision
41,cereal yield kg per hectare,0.17785,True,0.23732,True,Decision
42,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.17104,True,0.19199,True,Decision
43,employment in services pct of total employment modeled ilo estimate,-0.16346,True,-0.19215,True,Decision
44,population ages 20-24 male pct of male population,0.15845,True,0.15629,True,Decision
