#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,immunization measles pct of children ages 12-23 months,-0.0851,True,-0.04982,True
2,lifetime risk of maternal death pct,0.07903,True,0.04944,True
3,employment in agriculture male pct of male employment modeled ilo estimate,0.07702,True,0.05569,True
4,employment in agriculture pct of total employment modeled ilo estimate,0.07456,True,0.05433,True
5,employment in services male pct of male employment modeled ilo estimate,-0.07455,True,-0.05825,True
6,immunization dpt pct of children ages 12-23 months,-0.07368,True,-0.05037,True
7,employment in services pct of total employment modeled ilo estimate,-0.07309,True,-0.05682,True
8,access to electricity urban pct of urban population,-0.07251,True,-0.05318,True
9,access to electricity rural pct of rural population,-0.07189,True,-0.05243,True
10,employment in services female pct of female employment modeled ilo estimate,-0.06964,True,-0.05712,True
11,adolescent fertility rate births per 1000 women ages 15-19,0.06857,True,0.04717,True
12,age dependency ratio pct of working-age population,0.06581,True,0.05423,True
13,contributing family workers female pct of female employment modeled ilo estimate,0.06575,True,0.04903,True
14,fertility rate total births per woman,0.06575,True,0.04967,True
15,maternal mortality ratio modeled estimate per 100000 live births,0.06533,True,0.04853,True
16,employment in agriculture female pct of female employment modeled ilo estimate,0.06443,True,0.05069,True
17,access to electricity pct of population,-0.06348,True,-0.05088,True
18,population ages 15-64 female pct of total,-0.06291,True,-0.05588,True
19,employment in industry male pct of male employment modeled ilo estimate,-0.06108,True,-0.05351,True
20,birth rate crude per 1000 people,0.06099,True,0.04697,True
21,age dependency ratio young pct of working-age population,0.06066,True,0.04789,True
22,population ages 15-64 pct of total,-0.05983,True,-0.05373,True
23,mortality rate under-5 per 1000 live births,0.05958,True,0.04718,True
24,contributing family workers total pct of total employment modeled ilo estimate,0.05922,True,0.04785,True
25,population ages 0-4 male pct of male population,0.05766,True,0.04732,True
26,population ages 0-4 female pct of female population,0.0576,True,0.04674,True
27,vulnerable employment male pct of male employment modeled ilo estimate,0.05742,True,0.04763,True
28,oil rents pct of gdp,0.05735,True,0.05462,True
29,population ages 15-64 male pct of total,-0.05716,True,-0.05195,True
30,prevalence of anemia among children pct of children under 5,0.05682,True,0.04863,True
31,renewable energy consumption pct of total final energy consumption,0.0566,True,0.04757,True
32,self-employed male pct of male employment modeled ilo estimate,0.05617,True,0.04735,True
33,wage and salaried workers male pct of male employment modeled ilo estimate,-0.05617,True,-0.04735,True
34,life expectancy at birth female years,-0.05538,True,-0.04647,True
35,life expectancy at birth total years,-0.05488,True,-0.04613,True
36,vulnerable employment total pct of total employment modeled ilo estimate,0.05449,True,0.048,True
37,population ages 35-39 female pct of female population,-0.05391,True,-0.05279,True
38,survival to age 65 female pct of cohort,-0.05381,True,-0.0461,True
39,life expectancy at birth male years,-0.05377,True,-0.04623,True
40,self-employed total pct of total employment modeled ilo estimate,0.05353,True,0.04829,True
41,wage and salaried workers total pct of total employment modeled ilo estimate,-0.05353,True,-0.04829,True
42,mortality rate neonatal per 1000 live births,0.05329,True,0.04667,True
43,mortality rate infant per 1000 live births,0.05299,True,0.04545,True
44,population ages 0-14 pct of total,0.05279,True,0.04596,True
45,population ages 0-14 female pct of total,0.05255,True,0.04614,True
46,population ages 0-14 male pct of total,0.05236,True,0.04601,True
47,death rate crude per 1000 people,0.05225,True,0.04608,True
48,co2 emissions from liquid fuel consumption pct of total,0.05199,True,0.04977,True
49,population ages 5-9 female pct of female population,0.05194,True,0.04584,True
50,population ages 5-9 male pct of male population,0.05179,True,0.04573,True
51,vulnerable employment female pct of female employment modeled ilo estimate,0.05104,True,0.04779,True
52,mobile cellular subscriptions per 100 people,-0.05091,True,-0.04698,True
53,mortality rate adult female per 1000 female adults,0.05025,True,0.04508,True
54,wage and salaried workers female pct of female employment modeled ilo estimate,-0.05022,True,-0.04769,True
55,self-employed female pct of female employment modeled ilo estimate,0.05022,True,0.04769,True
56,survival to age 65 male pct of cohort,-0.04926,True,-0.04472,True
57,population ages 40-44 female pct of female population,-0.04884,True,-0.04569,True
58,employment in industry pct of total employment modeled ilo estimate,-0.04615,True,-0.03596,True
59,population ages 35-39 male pct of male population,-0.04613,True,-0.05187,True
60,urban population pct of total,-0.04611,True,-0.04401,True
61,rural population pct of total population,0.04611,True,0.04401,True
62,population ages 40-44 male pct of male population,-0.04597,True,-0.04496,True
63,total natural resources rents pct of gdp,0.04579,True,0.04286,True
64,mortality rate adult male per 1000 male adults,0.045,True,0.04518,True
65,contributing family workers male pct of male employment modeled ilo estimate,0.04487,True,0.04789,True
66,refugee population by country or territory of origin,0.04347,True,0.05274,True
