#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,livestock production index 2004-2006 = 100,-0.02512,False,-0.01976,False
2,food production index 2004-2006 = 100,-0.02177,False,-0.01931,False
3,population ages 20-24 male pct of male population,0.02175,False,0.02017,False
4,population ages 20-24 female pct of female population,0.02139,False,0.02034,False
5,mobile cellular subscriptions per 100 people,-0.01946,False,-0.01791,False
6,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.01825,False,0.01792,False
7,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.01699,False,0.01777,False
8,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.01573,False,-0.01572,False
9,population ages 15-19 male pct of male population,0.01517,False,0.01796,False
10,population ages 15-19 female pct of female population,0.01476,False,0.01814,False
11,population ages 45-49 female pct of female population,-0.01468,False,-0.0126,False
12,individuals using the internet pct of population,-0.01461,False,-0.01817,False
13,population ages 45-49 male pct of male population,-0.0141,False,-0.01263,False
14,population ages 50-54 female pct of female population,-0.0138,False,-0.01235,False
15,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.01356,False,0.01593,False
16,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.01344,False,-0.01514,False
17,population ages 50-54 male pct of male population,-0.01334,False,-0.01204,False
18,employment to population ratio 15+ male pct modeled ilo estimate,0.01328,False,0.01517,False
19,population ages 55-59 female pct of female population,-0.01261,False,-0.0115,False
20,population ages 55-59 male pct of male population,-0.01233,False,-0.01185,False
21,death rate crude per 1000 people,-0.01228,False,-0.01663,False
22,crop production index 2004-2006 = 100,-0.01214,False,-0.0162,False
23,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,-0.01176,False,-0.01489,False
24,preprimary education duration years,-0.01173,False,-0.01438,False
25,population ages 10-14 male pct of male population,0.01169,False,0.0111,False
26,labor force female pct of total labor force,-0.01135,False,-0.01504,False
27,population ages 40-44 male pct of male population,-0.01095,False,-0.01168,False
28,population ages 10-14 female pct of female population,0.0109,False,0.01082,False
29,population ages 40-44 female pct of female population,-0.01058,False,-0.0115,False
30,employment to population ratio 15+ female pct modeled ilo estimate,-0.01056,False,-0.01378,False
31,population ages 60-64 male pct of male population,-0.01043,False,-0.0098,False
32,population ages 5-9 male pct of male population,0.0103,False,0.01145,False
33,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.01025,False,-0.01289,False
34,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.01012,False,0.0137,False
35,population ages 60-64 female pct of female population,-0.0097,False,-0.00893,False
36,population ages 0-14 male pct of total,0.00966,False,0.01131,False
37,population ages 0-14 pct of total,0.00936,False,0.01102,False
38,population ages 5-9 female pct of female population,0.00935,False,0.01106,False
39,population ages 35-39 male pct of male population,-0.00932,False,-0.01197,False
40,population ages 65-69 male pct of male population,-0.0093,False,-0.00816,False
41,population ages 25-29 female pct of female population,0.00923,False,0.01379,False
42,population ages 75-79 male pct of male population,-0.00918,False,-0.00881,False
43,population ages 70-74 male pct of male population,-0.00898,False,-0.00833,False
44,population ages 75-79 female pct of female population,-0.00897,False,-0.00848,False
45,population ages 0-14 female pct of total,0.00888,False,0.01104,False
46,employment in industry female pct of female employment modeled ilo estimate,0.00885,False,0.0125,False
47,population ages 65 and above male pct of total,-0.00877,False,-0.0077,False
48,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,-0.00877,False,-0.01212,False
49,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.0087,False,-0.01197,False
50,agricultural land pct of land area,0.00867,False,0.00853,False
51,population ages 35-39 female pct of female population,-0.00862,False,-0.01181,False
52,fixed telephone subscriptions per 100 people,-0.00858,False,-0.00902,False
53,population ages 65 and above pct of total,-0.00855,False,-0.00791,False
54,population ages 65 and above female pct of total,-0.00834,False,-0.00749,False
55,population ages 15-64 male pct of total,-0.00825,False,-0.01087,False
56,population ages 65-69 female pct of female population,-0.00824,False,-0.00771,False
57,population ages 70-74 female pct of female population,-0.00818,False,-0.00789,False
58,lifetime risk of maternal death 1 in  rate varies by country,-0.00809,False,-0.00829,False
59,age dependency ratio old pct of working-age population,-0.00784,False,-0.00516,False
60,temparature ($^\circ$c),0.00771,False,0.00619,False
61,population ages 15-64 pct of total,-0.00768,False,-0.01113,False
62,population ages 80 and above female pct of female population,-0.00768,False,-0.00468,False
