#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,employment in industry female pct of female employment modeled ilo estimate,0.04185,True,0.03488,True,Decision
2,crop production index 2004-2006 = 100,-0.04175,True,-0.03762,True,Decision
7,death rate crude per 1000 people,-0.02652,False,-0.036,True,Decision
3,permanent cropland pct of land area,0.03382,False,0.01463,False,Decision
4,mobile cellular subscriptions per 100 people,-0.03061,False,-0.02876,False,Decision
5,rainfall (mm),0.03009,False,0.03154,False,Decision
6,population density people per sq. km of land area,0.02813,False,0.00349,False,Decision
8,employment in industry pct of total employment modeled ilo estimate,0.02579,False,0.02957,False,Decision
9,secondary education duration years,-0.02384,False,-0.02027,False,Decision
10,renewable energy consumption pct of total final energy consumption,-0.02012,False,-0.02246,False,Decision
11,population ages 55-59 female pct of female population,-0.01969,False,-0.0167,False,Decision
12,forest area pct of land area,0.01964,False,0.01906,False,Decision
13,individuals using the internet pct of population,-0.01926,False,-0.01738,False,Decision
14,employment to population ratio 15+ male pct modeled ilo estimate,0.01896,False,0.02222,False,Decision
15,arable land pct of land area,-0.01881,False,-0.02329,False,Decision
16,population ages 75-79 female pct of female population,-0.0179,False,-0.01613,False,Decision
17,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.01789,False,-0.02203,False,Decision
18,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.01769,False,-0.02512,False,Decision
19,agricultural land pct of land area,-0.01768,False,-0.018,False,Decision
20,temparature ($^\circ$c),0.01761,False,0.01987,False,Decision
21,population ages 55-59 male pct of male population,-0.01745,False,-0.0158,False,Decision
22,population ages 75-79 male pct of male population,-0.01733,False,-0.01488,False,Decision
23,co2 emissions from solid fuel consumption pct of total,-0.01681,False,-0.01526,False,Decision
24,age dependency ratio old pct of working-age population,-0.01679,False,-0.01472,False,Decision
25,population ages 80 and above female pct of female population,-0.01664,False,-0.0141,False,Decision
26,population ages 65 and above female pct of total,-0.01661,False,-0.01439,False,Decision
27,unemployment male pct of male labor force modeled ilo estimate,-0.01651,False,-0.02221,False,Decision
28,population ages 65 and above pct of total,-0.01637,False,-0.01384,False,Decision
29,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.01628,False,0.01918,False,Decision
30,immunization measles pct of children ages 12-23 months,0.0161,False,0.01961,False,Decision
31,unemployment total pct of total labor force modeled ilo estimate,-0.01599,False,-0.02046,False,Decision
32,population ages 65 and above male pct of total,-0.01588,False,-0.01288,False,Decision
33,population ages 70-74 female pct of female population,-0.01574,False,-0.01409,False,Decision
34,population ages 80 and above male pct of male population,-0.01545,False,-0.01209,False,Decision
35,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.01539,False,-0.02256,False,Decision
36,renewable electricity output pct of total electricity output,-0.01538,False,-0.01407,False,Decision
37,immunization dpt pct of children ages 12-23 months,0.01515,False,0.01905,False,Decision
38,population ages 70-74 male pct of male population,-0.01513,False,-0.01262,False,Decision
39,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.01506,False,-0.01632,False,Decision
40,population ages 65-69 male pct of male population,-0.01491,False,-0.01232,False,Decision
41,population ages 65-69 female pct of female population,-0.01489,False,-0.01243,False,Decision
42,preprimary education duration years,-0.01487,False,-0.0184,False,Decision
43,population ages 25-29 female pct of female population,0.01471,False,0.0219,False,Decision
44,employment in agriculture female pct of female employment modeled ilo estimate,-0.01425,False,-0.00905,False,Decision
45,population ages 35-39 female pct of female population,0.01414,False,0.01189,False,Decision
46,population ages 60-64 female pct of female population,-0.01412,False,-0.01111,False,Decision
47,unemployment female pct of female labor force modeled ilo estimate,-0.01384,False,-0.01492,False,Decision
48,population ages 60-64 male pct of male population,-0.01339,False,-0.01049,False,Decision
49,access to electricity pct of population,0.01338,False,0.00242,False,Decision
50,urban population pct of total,0.01337,False,0.01106,False,Decision
51,rural population pct of total population,-0.01337,False,-0.01106,False,Decision
52,population ages 30-34 female pct of female population,0.01315,False,0.01672,False,Decision
53,population ages 20-24 female pct of female population,0.0128,False,0.01269,False,Decision
54,arable land hectares per person,-0.01278,False,-0.0214,False,Decision
55,labor force female pct of total labor force,-0.01275,False,-0.02546,False,Decision
56,mortality rate neonatal per 1000 live births,-0.0127,False,-0.01167,False,Decision
57,population ages 50-54 female pct of female population,-0.0126,False,-0.01292,False,Decision
58,mortality rate infant per 1000 live births,-0.0123,False,-0.01124,False,Decision
59,mortality rate under-5 per 1000 live births,-0.01222,False,-0.01089,False,Decision
60,self-employed female pct of female employment modeled ilo estimate,-0.01212,False,-0.00835,False,Decision
61,wage and salaried workers female pct of female employment modeled ilo estimate,0.01212,False,0.00835,False,Decision
62,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,-0.01203,False,-0.01944,False,Decision
63,employment in industry male pct of male employment modeled ilo estimate,0.01198,False,0.01695,False,Decision
64,vulnerable employment female pct of female employment modeled ilo estimate,-0.01167,False,-0.00772,False,Decision
65,self-employed total pct of total employment modeled ilo estimate,-0.01165,False,-0.00712,False,Decision
66,wage and salaried workers total pct of total employment modeled ilo estimate,0.01165,False,0.00712,False,Decision
67,population ages 50-54 male pct of male population,-0.01158,False,-0.01227,False,Decision
68,lifetime risk of maternal death 1 in  rate varies by country,-0.01143,False,-0.00642,False,Decision
69,self-employed male pct of male employment modeled ilo estimate,-0.01141,False,-0.00834,False,Decision
70,wage and salaried workers male pct of male employment modeled ilo estimate,0.01141,False,0.00834,False,Decision
71,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.0114,False,-0.00522,False,Decision
72,vulnerable employment total pct of total employment modeled ilo estimate,-0.01132,False,-0.00778,False,Decision
73,adolescent fertility rate births per 1000 women ages 15-19,-0.01114,False,-0.00973,False,Decision
74,vulnerable employment male pct of male employment modeled ilo estimate,-0.01102,False,-0.00628,False,Decision
75,maternal mortality ratio modeled estimate per 100000 live births,-0.01085,False,0.00087,False,Decision
76,mortality rate adult female per 1000 female adults,-0.0107,False,-0.00363,False,Decision
77,access to electricity urban pct of urban population,0.01066,False,-0.0013,False,Decision
78,lifetime risk of maternal death pct,-0.01064,False,0.00217,False,Decision
79,employment in agriculture pct of total employment modeled ilo estimate,-0.01057,False,-0.00874,False,Decision
80,population ages 5-9 male pct of male population,0.01057,False,0.01492,False,Decision
81,urban population growth annual pct,0.01048,False,0.01131,False,Decision
82,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,-0.01036,False,-0.01749,False,Decision
83,population ages 10-14 female pct of female population,0.01034,False,0.01156,False,Decision
84,population ages 5-9 female pct of female population,0.01025,False,0.01473,False,Decision
85,population ages 10-14 male pct of male population,0.01021,False,0.01149,False,Decision
86,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.0101,False,0.01071,False,Decision
87,co2 emissions from gaseous fuel consumption pct of total,0.00963,False,0.01446,False,Decision
88,population ages 15-19 female pct of female population,0.00945,False,0.00985,False,Decision
89,mortality rate adult male per 1000 male adults,-0.00937,False,-0.00663,False,Decision
90,survival to age 65 female pct of cohort,0.00918,False,1e-05,False,Decision
91,mobile cellular subscriptions,-0.00914,False,-0.02554,False,Decision
92,employment to population ratio 15+ female pct modeled ilo estimate,-0.00899,False,-0.01603,False,Decision
93,cereal yield kg per hectare,-0.00894,False,-0.01095,False,Decision
94,population ages 65 and above female,-0.00888,False,-0.00752,False,Decision
95,population ages 35-39 male pct of male population,0.00878,False,0.00981,False,Decision
96,population ages 0-14 pct of total,0.00873,False,0.01393,False,Decision
97,population ages 0-14 male pct of total,0.00863,False,0.01356,False,Decision
98,population ages 65 and above total,-0.00861,False,-0.0078,False,Decision
99,co2 emissions from liquid fuel consumption pct of total,0.00856,False,0.0104,False,Decision
100,population ages 0-14 female pct of total,0.00847,False,0.01356,False,Decision
101,employment in agriculture male pct of male employment modeled ilo estimate,-0.00846,False,-0.00689,False,Decision
102,survival to age 65 male pct of cohort,0.00846,False,0.00471,False,Decision
103,agricultural land sq. km,-0.00836,False,-0.00971,False,Decision
104,fixed telephone subscriptions,-0.00831,False,0.00272,False,Decision
105,population ages 65 and above male,-0.00831,False,-0.00664,False,Decision
