#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
5,mobile cellular subscriptions per 100 people,-0.03696,True,-0.03579,True,Decision
41,arable land hectares per person,0.02236,False,0.0364,True,Decision
1,refugee population by country or territory of origin,0.07625,True,0.01272,False,Decision
2,co2 emissions from gaseous fuel consumption kt,0.05384,True,0.00184,False,Decision
3,co2 emissions from liquid fuel consumption kt,0.05136,True,-0.00383,False,Decision
4,immunization measles pct of children ages 12-23 months,-0.03839,True,-0.02513,False,Decision
6,mortality rate neonatal per 1000 live births,0.03657,True,0.02004,False,Decision
7,immunization dpt pct of children ages 12-23 months,-0.03546,True,-0.01885,False,Decision
8,lifetime risk of maternal death pct,0.03472,True,0.0166,False,Decision
9,fertility rate total births per woman,0.03411,True,0.02366,False,Decision
10,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.03363,False,-0.02357,False,Decision
11,labor force female pct of total labor force,-0.03315,False,-0.02027,False,Decision
12,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,-0.03042,False,-0.01905,False,Decision
13,population ages 15-64 female pct of total,-0.03035,False,-0.02534,False,Decision
14,age dependency ratio pct of working-age population,0.0294,False,0.02474,False,Decision
15,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.02923,False,-0.01616,False,Decision
16,population growth annual pct,0.02874,False,0.02257,False,Decision
17,employment to population ratio 15+ female pct modeled ilo estimate,-0.0285,False,-0.01795,False,Decision
18,contributing family workers female pct of female employment modeled ilo estimate,0.02815,False,0.00763,False,Decision
19,population ages 15-64 pct of total,-0.02755,False,-0.02474,False,Decision
20,fixed telephone subscriptions,0.02721,False,0.02371,False,Decision
21,birth rate crude per 1000 people,0.02703,False,0.02117,False,Decision
22,population ages 0-4 female pct of female population,0.02688,False,0.02153,False,Decision
23,access to electricity pct of population,-0.02679,False,-0.01178,False,Decision
24,age dependency ratio young pct of working-age population,0.02675,False,0.02262,False,Decision
25,agricultural land sq. km,0.02629,False,0.0282,False,Decision
26,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.02613,False,0.02596,False,Decision
27,population ages 0-4 male pct of male population,0.02593,False,0.02141,False,Decision
28,maternal mortality ratio modeled estimate per 100000 live births,0.02586,False,0.01565,False,Decision
29,adolescent fertility rate births per 1000 women ages 15-19,0.02567,False,0.02495,False,Decision
30,rural population growth annual pct,0.02506,False,0.0175,False,Decision
31,population ages 15-64 male pct of total,-0.02503,False,-0.02316,False,Decision
32,population ages 5-9 female pct of female population,0.02385,False,0.02195,False,Decision
33,surface area sq. km,0.02373,False,0.02858,False,Decision
34,population ages 0-14 female pct of total,0.0237,False,0.02162,False,Decision
35,contributing family workers male pct of male employment modeled ilo estimate,0.02352,False,0.00639,False,Decision
36,population ages 0-14 pct of total,0.02348,False,0.02216,False,Decision
37,land area sq. km,0.0234,False,0.02772,False,Decision
38,co2 emissions kt,0.02313,False,-0.0044,False,Decision
39,population ages 5-9 male pct of male population,0.02298,False,0.02235,False,Decision
40,population ages 0-14 male pct of total,0.02285,False,0.02186,False,Decision
