#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,mineral rents pct of gdp,0.02059,False,0.01876,False
2,secondary education duration years,-0.01918,False,-0.02042,False
3,employment to population ratio 15+ total pct modeled ilo estimate,0.01809,False,0.01772,False
4,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,0.01718,False,0.0171,False
5,number of maternal deaths,0.01599,False,0.01844,False
6,employment to population ratio 15+ male pct modeled ilo estimate,0.01569,False,0.01767,False
7,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.01516,False,0.01679,False
8,employment to population ratio 15+ female pct modeled ilo estimate,0.0148,False,0.01752,False
9,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.01356,False,0.01689,False
10,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.01249,False,0.01554,False
11,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.01244,False,0.01436,False
12,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.01201,False,0.01644,False
13,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.01172,False,0.01432,False
14,agricultural land sq. km,0.0114,False,0.01556,False
15,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.01138,False,0.01326,False
16,forest area sq. km,0.01127,False,0.01526,False
17,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.01123,False,0.01296,False
18,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.0103,False,0.01158,False
19,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.01029,False,0.01307,False
20,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.00994,False,0.01326,False
21,unemployment total pct of total labor force modeled ilo estimate,-0.00983,False,-0.01428,False
22,mobile cellular subscriptions per 100 people,0.00959,False,0.01097,False
23,unemployment female pct of female labor force modeled ilo estimate,-0.00952,False,-0.01444,False
24,death rate crude per 1000 people,-0.00943,False,-0.01219,False
25,urban population pct of total,0.0094,False,0.0092,False
26,rural population pct of total population,-0.0094,False,-0.0092,False
27,unemployment male pct of male labor force modeled ilo estimate,-0.00926,False,-0.01255,False
28,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.00907,False,-0.01209,False
29,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.00883,False,-0.01137,False
30,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.0084,False,-0.01152,False
31,fixed telephone subscriptions per 100 people,-0.00831,False,-0.00869,False
32,wage and salaried workers female pct of female employment modeled ilo estimate,-0.00789,False,-0.00986,False
33,self-employed female pct of female employment modeled ilo estimate,0.00789,False,0.00986,False
34,vulnerable employment female pct of female employment modeled ilo estimate,0.00761,False,0.00973,False
35,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.0075,False,-0.00786,False
36,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.0074,False,-0.00764,False
37,population ages 25-29 female pct of female population,0.00728,False,0.01096,False
38,gdp per person employed constant 2011 ppp  ,-0.00717,False,-0.00434,False
39,employment in industry pct of total employment modeled ilo estimate,-0.0071,False,-0.01253,False
40,ratio of female to male labor force participation rate pct modeled ilo estimate,0.00695,False,0.00647,False
41,co2 emissions from gaseous fuel consumption kt,0.00687,False,0.01738,False
42,wage and salaried workers total pct of total employment modeled ilo estimate,-0.00679,False,-0.00906,False
43,self-employed total pct of total employment modeled ilo estimate,0.00679,False,0.00906,False
44,capture fisheries production metric tons,0.0066,False,0.01419,False
45,mortality rate infant per 1000 live births,-0.0064,False,-0.00324,False
46,mortality rate neonatal per 1000 live births,-0.00639,False,-0.00318,False
47,contributing family workers female pct of female employment modeled ilo estimate,0.00633,False,0.01004,False
48,vulnerable employment total pct of total employment modeled ilo estimate,0.00632,False,0.00886,False
49,population ages 25-29 male pct of male population,0.00615,False,0.01171,False
50,access to electricity urban pct of urban population,0.0061,False,0.01299,False
51,labor force female pct of total labor force,0.00603,False,0.00421,False
52,mortality rate under-5 per 1000 live births,-0.00602,False,-0.00215,False
53,land under cereal production hectares,-0.00596,False,-0.00342,False
54,population ages 20-24 male pct of male population,0.00579,False,0.00461,False
55,contributing family workers total pct of total employment modeled ilo estimate,0.00569,False,0.01065,False
56,access to electricity pct of population,0.00567,False,-0.00394,False
57,employment in industry female pct of female employment modeled ilo estimate,-0.00556,False,-0.00715,False
58,preprimary education duration years,0.00545,False,0.00636,False
59,self-employed male pct of male employment modeled ilo estimate,0.00537,False,0.00764,False
60,wage and salaried workers male pct of male employment modeled ilo estimate,-0.00537,False,-0.00764,False
61,mortality rate adult male per 1000 male adults,-0.00514,False,-0.0033,False
62,cereal production metric tons,-0.00506,False,-0.00025,False
63,mortality rate adult female per 1000 female adults,-0.00506,False,-0.00013,False
64,employment in industry male pct of male employment modeled ilo estimate,-0.00495,False,-0.00864,False
65,co2 emissions from liquid fuel consumption kt,0.0049,False,0.01498,False
66,life expectancy at birth female years,0.00489,False,0.00321,False
67,population ages 30-34 female pct of female population,0.00487,False,0.00962,False
68,life expectancy at birth total years,0.00484,False,0.0036,False
69,life expectancy at birth male years,0.00465,False,0.00281,False
70,vulnerable employment male pct of male employment modeled ilo estimate,0.00465,False,0.00757,False
71,survival to age 65 female pct of cohort,0.00463,False,-0.00046,False
72,oil rents pct of gdp,-0.00458,False,0.00092,False
73,fixed telephone subscriptions,-0.0045,False,-0.00226,False
74,survival to age 65 male pct of cohort,0.00444,False,0.00171,False
75,population ages 70-74 female pct of female population,-0.0044,False,-0.00201,False
76,population ages 75-79 female pct of female population,-0.00439,False,-0.00138,False
77,population ages 20-24 female pct of female population,0.00433,False,0.00133,False
78,population ages 65 and above female,-0.00416,False,0.00314,False
79,forest rents pct of gdp,-0.00413,False,-0.00027,False
80,individuals using the internet pct of population,0.0041,False,0.00549,False
81,employers female pct of female employment modeled ilo estimate,0.00409,False,0.00799,False
82,urban population growth annual pct,-0.00404,False,-0.00355,False
83,population ages 65 and above total,-0.00403,False,0.00323,False
84,number of infant deaths,-0.00398,False,-0.00147,False
85,rural population,-0.00396,False,-0.0012,False
86,number of under-five deaths,-0.00396,False,-0.00108,False
87,refugee population by country or territory of origin,-0.00393,False,0.00146,False
88,population female,-0.0039,False,0.00324,False
89,population ages 0-14 female,-0.00389,False,0.00388,False
90,population ages 65 and above male,-0.00388,False,0.00334,False
91,population ages 0-14 total,-0.00388,False,0.00398,False
