#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,number of maternal deaths,0.0969,True,0.02782,False
2,number of under-five deaths,0.08546,True,0.014,False
3,number of neonatal deaths,0.08505,True,0.01442,False
4,number of infant deaths,0.08326,True,0.01373,False
5,population ages 0-14 female,0.03738,True,0.01718,False
6,population ages 0-14 total,0.03668,True,0.01725,False
7,population ages 0-14 male,0.03605,True,0.01726,False
8,rural population,0.0288,False,0.01299,False
9,land under cereal production hectares,0.02729,False,0.01235,False
10,arable land pct of land area,0.02534,False,0.0172,False
11,employment to population ratio 15+ male pct modeled ilo estimate,0.02155,False,0.02479,False
12,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.02091,False,0.02343,False
13,population total,0.02036,False,0.0156,False
14,population male,0.02034,False,0.0148,False
15,population female,0.01992,False,0.01522,False
16,vulnerable employment female pct of female employment modeled ilo estimate,0.01956,False,0.01882,False
17,wage and salaried workers female pct of female employment modeled ilo estimate,-0.01954,False,-0.01872,False
18,self-employed female pct of female employment modeled ilo estimate,0.01954,False,0.01872,False
19,self-employed male pct of male employment modeled ilo estimate,0.01951,False,0.01842,False
20,wage and salaried workers male pct of male employment modeled ilo estimate,-0.01951,False,-0.01842,False
21,wage and salaried workers total pct of total employment modeled ilo estimate,-0.01938,False,-0.01885,False
22,self-employed total pct of total employment modeled ilo estimate,0.01938,False,0.01885,False
23,vulnerable employment total pct of total employment modeled ilo estimate,0.01935,False,0.01876,False
24,vulnerable employment male pct of male employment modeled ilo estimate,0.01934,False,0.01842,False
25,mortality rate neonatal per 1000 live births,0.01828,False,0.01205,False
26,livestock production index 2004-2006 = 100,-0.01812,False,-0.0172,False
27,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.01771,False,0.02132,False
28,employment in agriculture female pct of female employment modeled ilo estimate,0.01656,False,0.01585,False
29,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.01631,False,0.02262,False
30,population ages 15-64 male,0.01631,False,0.0148,False
31,population ages 15-64 total,0.0161,False,0.01481,False
32,population ages 15-64 female,0.01588,False,0.01548,False
33,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.01583,False,0.01995,False
34,co2 emissions from solid fuel consumption pct of total,0.01549,False,0.01408,False
35,employment in services female pct of female employment modeled ilo estimate,-0.01536,False,-0.01523,False
36,fixed telephone subscriptions per 100 people,-0.0152,False,-0.01601,False
37,prevalence of anemia among children pct of children under 5,0.01477,False,0.01429,False
38,agricultural land sq. km,0.01469,False,0.02112,False
39,contributing family workers female pct of female employment modeled ilo estimate,0.01436,False,0.01744,False
40,employment in agriculture pct of total employment modeled ilo estimate,0.01394,False,0.01453,False
41,gdp per person employed constant 2011 ppp  ,-0.0139,False,-0.01411,False
42,food production index 2004-2006 = 100,-0.01342,False,-0.01665,False
43,unemployment total pct of total labor force modeled ilo estimate,-0.01339,False,-0.01894,False
44,employment in services pct of total employment modeled ilo estimate,-0.01298,False,-0.01312,False
45,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.01295,False,-0.01723,False
46,unemployment female pct of female labor force modeled ilo estimate,-0.01288,False,-0.01798,False
47,employment in agriculture male pct of male employment modeled ilo estimate,0.01266,False,0.01422,False
48,unemployment male pct of male labor force modeled ilo estimate,-0.01262,False,-0.01682,False
49,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.01253,False,-0.01611,False
50,contributing family workers total pct of total employment modeled ilo estimate,0.01221,False,0.01772,False
51,mineral rents pct of gdp,0.01207,False,0.01608,False
52,labor force total,0.01204,False,0.01609,False
53,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.01203,False,-0.01687,False
54,employment to population ratio 15+ total pct modeled ilo estimate,0.01197,False,0.01153,False
55,access to electricity rural pct of rural population,-0.01182,False,-0.0148,False
56,employment in services male pct of male employment modeled ilo estimate,-0.01156,False,-0.01307,False
57,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.01141,False,0.00784,False
58,employment in industry male pct of male employment modeled ilo estimate,-0.01118,False,-0.01565,False
59,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.01112,False,0.00789,False
60,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.01106,False,0.01399,False
61,population ages 75-79 female pct of female population,-0.01067,False,-0.00861,False
62,employment in industry pct of total employment modeled ilo estimate,-0.0104,False,-0.01788,False
63,contributing family workers male pct of male employment modeled ilo estimate,0.01027,False,0.01628,False
64,population ages 70-74 female pct of female population,-0.01019,False,-0.00817,False
65,population ages 80 and above female pct of female population,-0.00993,False,-0.00712,False
66,population ages 65 and above female pct of total,-0.00987,False,-0.00749,False
67,mortality rate infant per 1000 live births,0.00953,False,0.00977,False
68,population ages 65 and above pct of total,-0.00943,False,-0.00691,False
69,crop production index 2004-2006 = 100,-0.00934,False,-0.01417,False
70,capture fisheries production metric tons,0.0092,False,0.01928,False
71,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,0.0092,False,0.00703,False
72,population ages 75-79 male pct of male population,-0.00918,False,-0.00669,False
73,population ages 70-74 male pct of male population,-0.00917,False,-0.00648,False
74,age dependency ratio old pct of working-age population,-0.00915,False,-0.00601,False
75,urban population,0.00906,False,0.01635,False
76,population ages 50-54 male pct of male population,-0.00892,False,-0.00842,False
77,population ages 45-49 male pct of male population,-0.0089,False,-0.00929,False
78,population ages 10-14 female pct of female population,0.00879,False,0.00747,False
79,lower secondary school starting age years,-0.00879,False,-0.01061,False
80,population ages 65 and above male pct of total,-0.0087,False,-0.00561,False
81,immunization measles pct of children ages 12-23 months,-0.00866,False,-0.01412,False
82,immunization dpt pct of children ages 12-23 months,-0.00866,False,-0.0148,False
83,population ages 20-24 male pct of male population,0.00862,False,0.0073,False
84,lifetime risk of maternal death 1 in  rate varies by country,-0.0086,False,-0.00734,False
85,population ages 80 and above male pct of male population,-0.00858,False,-0.00424,False
86,forest area sq. km,0.00854,False,0.01868,False
87,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.00838,False,0.00987,False
88,population ages 55-59 male pct of male population,-0.00836,False,-0.00606,False
89,population ages 10-14 male pct of male population,0.00827,False,0.00785,False
90,population ages 20-24 female pct of female population,0.00822,False,0.00558,False
91,maternal mortality ratio modeled estimate per 100000 live births,0.00815,False,0.01764,False
92,co2 emissions metric tons per capita,-0.008,False,-0.00715,False
93,population ages 65-69 female pct of female population,-0.00792,False,-0.00604,False
94,cereal production metric tons,0.00786,False,0.01206,False
95,agricultural land pct of land area,0.00785,False,0.00858,False
96,rainfall (mm),-0.00782,False,-0.00545,False
97,population ages 5-9 female pct of female population,0.00778,False,0.00895,False
98,co2 emissions from liquid fuel consumption pct of total,-0.00766,False,-0.00677,False
99,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.00761,False,-0.00671,False
100,population ages 60-64 male pct of male population,-0.00758,False,-0.00416,False
101,population ages 65 and above male,0.00753,False,0.01523,False
102,population ages 15-19 female pct of female population,0.0075,False,0.00474,False
103,population ages 65-69 male pct of male population,-0.0075,False,-0.00515,False
104,individuals using the internet pct of population,-0.00747,False,-0.00977,False
105,population ages 5-9 male pct of male population,0.00745,False,0.00916,False
106,population ages 15-19 male pct of male population,0.00737,False,0.00494,False
107,mortality rate under-5 per 1000 live births,0.00736,False,0.00981,False
108,co2 emissions from gaseous fuel consumption pct of total,-0.00728,False,-0.00455,False
109,renewable energy consumption pct of total final energy consumption,0.00726,False,0.01237,False
110,labor force female pct of total labor force,-0.00721,False,-0.00785,False
111,population ages 0-14 pct of total,0.00721,False,0.00943,False
112,population ages 50-54 female pct of female population,-0.00719,False,-0.00671,False
113,population ages 0-14 female pct of total,0.00719,False,0.00886,False
114,mobile cellular subscriptions per 100 people,-0.00716,False,-0.0063,False
115,population ages 45-49 female pct of female population,-0.00715,False,-0.00745,False
116,employers male pct of male employment modeled ilo estimate,-0.00711,False,-0.00702,False
117,employers total pct of total employment modeled ilo estimate,-0.0071,False,-0.00714,False
118,population ages 65 and above total,0.00702,False,0.01514,False
119,population ages 0-14 male pct of total,0.00696,False,0.00915,False
120,temparature ($^\circ$c),0.00679,False,0.00698,False
121,population ages 25-29 female pct of female population,0.00662,False,0.01012,False
122,secondary education duration years,-0.00659,False,-0.00496,False
123,population ages 65 and above female,0.00654,False,0.01471,False
124,life expectancy at birth female years,-0.00651,False,-0.00768,False
125,primary education duration years,-0.00638,False,-0.01003,False
126,population ages 60-64 female pct of female population,-0.00626,False,-0.00272,False
127,urban population pct of total,-0.00621,False,-0.00579,False
128,rural population pct of total population,0.00621,False,0.00579,False
129,employers female pct of female employment modeled ilo estimate,-0.00613,False,-0.00562,False
130,population ages 55-59 female pct of female population,-0.00612,False,-0.00455,False
131,oil rents pct of gdp,-0.00601,False,0.00425,False
132,survival to age 65 female pct of cohort,-0.00595,False,-0.01002,False
133,life expectancy at birth total years,-0.00558,False,-0.00706,False
134,population ages 0-4 male pct of male population,0.00552,False,0.00987,False
135,population ages 0-4 female pct of female population,0.0055,False,0.00888,False
136,forest rents pct of gdp,-0.00546,False,0.00278,False
137,refugee population by country or territory of origin,-0.00541,False,0.00496,False
138,mobile cellular subscriptions,-0.00512,False,-0.00774,False
139,renewable electricity output pct of total electricity output,-0.005,False,0.00093,False
140,population ages 25-29 male pct of male population,0.00497,False,0.01109,False
141,population ages 40-44 male pct of male population,-0.00489,False,-0.00768,False
142,fixed telephone subscriptions,-0.00483,False,0.00451,False
143,co2 emissions from liquid fuel consumption kt,0.00478,False,0.01842,False
144,population ages 40-44 female pct of female population,-0.00474,False,-0.00756,False
145,survival to age 65 male pct of cohort,-0.00468,False,-0.00793,False
146,life expectancy at birth male years,-0.00456,False,-0.00737,False
147,population ages 15-64 male pct of total,-0.00455,False,-0.00946,False
148,age dependency ratio young pct of working-age population,0.00455,False,0.00924,False
149,employment in industry female pct of female employment modeled ilo estimate,-0.00444,False,-0.00334,False
150,preprimary education duration years,-0.00444,False,-0.00568,False
151,adolescent fertility rate births per 1000 women ages 15-19,0.00439,False,0.00979,False
152,primary school starting age years,-0.00438,False,-0.00513,False
153,lifetime risk of maternal death pct,0.00435,False,0.01754,False
154,natural gas rents pct of gdp,-0.00427,False,0.00604,False
155,birth rate crude per 1000 people,0.00418,False,0.00946,False
156,total natural resources rents pct of gdp,-0.00416,False,0.00451,False
157,population male pct of total,0.00408,False,0.01621,False
158,population female pct of total,-0.00408,False,-0.01621,False
159,forest area pct of land area,-0.00405,False,-0.00469,False
160,death rate crude per 1000 people,-0.00399,False,-0.00242,False
161,rural population growth annual pct,0.00395,False,0.00321,False
162,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.0039,False,-0.0017,False
163,access to electricity pct of population,-0.00381,False,-0.01239,False
164,population ages 15-64 pct of total,-0.00377,False,-0.00887,False
165,cereal yield kg per hectare,-0.00376,False,-0.00207,False
166,energy intensity level of primary energy mj  2011 ppp gdp,0.00362,False,0.01654,False
167,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.00338,False,0.00296,False
168,access to electricity urban pct of urban population,0.00304,False,-0.00017,False
169,surface area sq. km,0.00275,False,0.01852,False
170,co2 emissions from gaseous fuel consumption kt,0.00273,False,0.01468,False
171,arable land hectares per person,-0.00267,False,0.00402,False
172,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.00266,False,0.00245,False
173,population ages 15-64 female pct of total,-0.00257,False,-0.00616,False
174,co2 emissions kt,0.00255,False,0.02046,False
175,coal rents pct of gdp,0.00253,False,0.01372,False
176,population ages 30-34 female pct of female population,0.00236,False,0.00624,False
177,land area sq. km,0.00233,False,0.01852,False
178,employment to population ratio 15+ female pct modeled ilo estimate,0.00229,False,0.00203,False
179,fertility rate total births per woman,0.00215,False,0.01026,False
180,population density people per sq. km of land area,-0.00197,False,0.00278,False
181,co2 emissions from solid fuel consumption kt,0.00194,False,0.02387,False
182,age dependency ratio pct of working-age population,0.00189,False,0.00887,False
183,population growth annual pct,0.00186,False,0.00637,False
184,total fisheries production metric tons,0.00186,False,0.02143,False
185,mortality rate adult female per 1000 female adults,0.00178,False,0.00881,False
186,population ages 35-39 male pct of male population,-0.00178,False,-0.00227,False
187,population ages 35-39 female pct of female population,-0.00173,False,-0.00284,False
188,population ages 30-34 male pct of male population,0.00123,False,0.00611,False
189,mortality rate adult male per 1000 male adults,0.00096,False,0.00546,False
190,permanent cropland pct of land area,0.00089,False,0.01219,False
191,urban population growth annual pct,-0.00063,False,0.00076,False
192,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.00044,False,-0.00016,False
193,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,-0.00012,False,0.00091,False
