#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,mobile cellular subscriptions per 100 people,-0.1606,True,-0.15408,True,Decision
2,population ages 5-9 male pct of male population,0.14816,True,0.14822,True,Decision
3,population ages 5-9 female pct of female population,0.14331,True,0.14387,True,Decision
4,population ages 0-14 male pct of total,0.14212,True,0.14439,True,Decision
5,access to electricity rural pct of rural population,-0.14196,True,-0.11853,True,Decision
6,population ages 0-14 pct of total,0.14152,True,0.14487,True,Decision
7,population ages 15-64 male pct of total,-0.14012,True,-0.15054,True,Decision
8,population ages 15-64 pct of total,-0.13974,True,-0.14887,True,Decision
9,age dependency ratio young pct of working-age population,0.13885,True,0.14844,True,Decision
10,population ages 10-14 male pct of male population,0.13824,True,0.13626,True,Decision
11,population ages 0-14 female pct of total,0.13792,True,0.14053,True,Decision
12,population ages 15-64 female pct of total,-0.13694,True,-0.14195,True,Decision
13,mortality rate neonatal per 1000 live births,0.13682,True,0.13443,True,Decision
14,population ages 45-49 male pct of male population,-0.1362,True,-0.13466,True,Decision
15,population ages 10-14 female pct of female population,0.13595,True,0.13486,True,Decision
16,age dependency ratio pct of working-age population,0.13572,True,0.14881,True,Decision
17,population ages 0-4 male pct of male population,0.13447,True,0.13945,True,Decision
18,population ages 0-4 female pct of female population,0.13029,True,0.13371,True,Decision
19,prevalence of anemia among children pct of children under 5,0.12969,True,0.11181,True,Decision
20,mortality rate infant per 1000 live births,0.12932,True,0.13222,True,Decision
21,population ages 50-54 male pct of male population,-0.12715,True,-0.12721,True,Decision
22,birth rate crude per 1000 people,0.12591,True,0.13303,True,Decision
23,population ages 45-49 female pct of female population,-0.12555,True,-0.12581,True,Decision
24,population ages 40-44 male pct of male population,-0.12508,True,-0.13025,True,Decision
25,adolescent fertility rate births per 1000 women ages 15-19,0.12421,True,0.14402,True,Decision
26,fertility rate total births per woman,0.12404,True,0.13328,True,Decision
27,food production index 2004-2006 = 100,-0.12353,True,-0.14141,True,Decision
28,life expectancy at birth female years,-0.12237,True,-0.1252,True,Decision
29,life expectancy at birth total years,-0.12227,True,-0.12659,True,Decision
30,life expectancy at birth male years,-0.12133,True,-0.12765,True,Decision
31,population ages 40-44 female pct of female population,-0.12097,True,-0.12224,True,Decision
32,survival to age 65 female pct of cohort,-0.12044,True,-0.13228,True,Decision
33,individuals using the internet pct of population,-0.12022,True,-0.13612,True,Decision
34,population ages 55-59 male pct of male population,-0.11891,True,-0.12169,True,Decision
35,population ages 50-54 female pct of female population,-0.11891,True,-0.11958,True,Decision
36,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.11817,True,0.11088,True,Decision
37,mortality rate under-5 per 1000 live births,0.11793,True,0.13103,True,Decision
38,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.11709,True,0.10999,True,Decision
39,renewable energy consumption pct of total final energy consumption,0.11686,True,0.13324,True,Decision
40,survival to age 65 male pct of cohort,-0.11626,True,-0.12845,True,Decision
41,mortality rate adult female per 1000 female adults,0.11448,True,0.15408,True,Decision
42,employment in industry male pct of male employment modeled ilo estimate,-0.11379,True,-0.10796,True,Decision
43,mortality rate adult male per 1000 male adults,0.11239,True,0.14557,True,Decision
44,population ages 55-59 female pct of female population,-0.11171,True,-0.11284,True,Decision
45,employment in industry pct of total employment modeled ilo estimate,-0.11122,True,-0.11056,True,Decision
46,crop production index 2004-2006 = 100,-0.11107,True,-0.13383,True,Decision
47,access to electricity pct of population,-0.11037,True,-0.11395,True,Decision
48,vulnerable employment male pct of male employment modeled ilo estimate,0.11008,True,0.10774,True,Decision
49,livestock production index 2004-2006 = 100,-0.10979,True,-0.13598,True,Decision
50,population ages 15-19 male pct of male population,0.10959,True,0.11148,True,Decision
51,wage and salaried workers male pct of male employment modeled ilo estimate,-0.10898,True,-0.10482,True,Decision
52,self-employed male pct of male employment modeled ilo estimate,0.10898,True,0.10482,True,Decision
53,population ages 35-39 female pct of female population,-0.10814,True,-0.10332,True,Decision
54,population ages 15-19 female pct of female population,0.1078,True,0.11199,True,Decision
55,maternal mortality ratio modeled estimate per 100000 live births,0.10779,True,0.15548,True,Decision
56,employment in agriculture male pct of male employment modeled ilo estimate,0.10691,True,0.10544,True,Decision
57,vulnerable employment total pct of total employment modeled ilo estimate,0.10644,True,0.1043,True,Decision
58,wage and salaried workers total pct of total employment modeled ilo estimate,-0.10601,True,-0.1016,True,Decision
59,self-employed total pct of total employment modeled ilo estimate,0.10601,True,0.1016,True,Decision
60,population ages 60-64 male pct of male population,-0.1054,True,-0.10006,True,Decision
61,population ages 35-39 male pct of male population,-0.10487,True,-0.11266,True,Decision
62,population ages 60-64 female pct of female population,-0.10217,True,-0.09877,True,Decision
63,population ages 70-74 male pct of male population,-0.10184,True,-0.10387,True,Decision
