#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,mortality rate under-5 per 1000 live births,0.46703,True,0.34752,True
2,mortality rate infant per 1000 live births,0.44396,True,0.34264,True
3,fertility rate total births per woman,0.42532,True,0.30427,True
4,mortality rate neonatal per 1000 live births,0.42239,True,0.33855,True
5,life expectancy at birth total years,-0.42218,True,-0.33946,True
6,life expectancy at birth female years,-0.42123,True,-0.33371,True
7,mobile cellular subscriptions per 100 people,-0.41984,True,-0.4149,True
8,survival to age 65 female pct of cohort,-0.4192,True,-0.32745,True
9,life expectancy at birth male years,-0.41895,True,-0.34255,True
10,access to electricity pct of population,-0.41651,True,-0.30417,True
11,lifetime risk of maternal death pct,0.41495,True,0.3228,True
12,age dependency ratio pct of working-age population,0.41472,True,0.34675,True
13,birth rate crude per 1000 people,0.40394,True,0.31,True
14,mortality rate adult female per 1000 female adults,0.40389,True,0.33109,True
15,population ages 15-64 female pct of total,-0.40287,True,-0.34898,True
16,immunization measles pct of children ages 12-23 months,-0.40224,True,-0.34033,True
17,age dependency ratio young pct of working-age population,0.39692,True,0.33003,True
18,survival to age 65 male pct of cohort,-0.39621,True,-0.33887,True
19,population ages 15-64 pct of total,-0.39606,True,-0.3469,True
20,immunization dpt pct of children ages 12-23 months,-0.39498,True,-0.32786,True
21,access to electricity urban pct of urban population,-0.39468,True,-0.30214,True
22,maternal mortality ratio modeled estimate per 100000 live births,0.38838,True,0.31916,True
23,population ages 0-4 male pct of male population,0.38765,True,0.31449,True
24,population ages 15-64 male pct of total,-0.38707,True,-0.3419,True
25,death rate crude per 1000 people,0.37789,True,0.32286,True
26,population ages 0-4 female pct of female population,0.3735,True,0.30488,True
27,mortality rate adult male per 1000 male adults,0.37138,True,0.33608,True
28,population ages 0-14 male pct of total,0.3697,True,0.32837,True
29,prevalence of anemia among children pct of children under 5,0.36778,True,0.30576,True
30,population ages 0-14 pct of total,0.36623,True,0.32514,True
31,population ages 5-9 male pct of male population,0.36497,True,0.33027,True
32,population ages 0-14 female pct of total,0.35666,True,0.31743,True
33,population ages 5-9 female pct of female population,0.3524,True,0.31818,True
34,adolescent fertility rate births per 1000 women ages 15-19,0.35016,True,0.28375,True
35,employment in agriculture pct of total employment modeled ilo estimate,0.34494,True,0.27998,True
36,employment in agriculture male pct of male employment modeled ilo estimate,0.34275,True,0.27553,True
37,population ages 45-49 male pct of male population,-0.34164,True,-0.33045,True
38,population ages 45-49 female pct of female population,-0.3359,True,-0.32956,True
39,population ages 40-44 female pct of female population,-0.3359,True,-0.31979,True
40,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.33186,True,0.29151,True
41,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.32927,True,0.29016,True
42,employment in agriculture female pct of female employment modeled ilo estimate,0.32919,True,0.28019,True
43,access to electricity rural pct of rural population,-0.32864,True,-0.26747,True
44,renewable energy consumption pct of total final energy consumption,0.32859,True,0.2663,True
45,population ages 10-14 male pct of male population,0.3239,True,0.32028,True
46,population ages 40-44 male pct of male population,-0.32223,True,-0.31394,True
47,population ages 50-54 male pct of male population,-0.32078,True,-0.32341,True
48,employment in services pct of total employment modeled ilo estimate,-0.31782,True,-0.27293,True
49,employment in services male pct of male employment modeled ilo estimate,-0.31686,True,-0.26889,True
50,population ages 10-14 female pct of female population,0.31542,True,0.31255,True
51,population ages 50-54 female pct of female population,-0.31303,True,-0.31962,True
52,individuals using the internet pct of population,-0.31245,True,-0.36401,True
53,employment in services female pct of female employment modeled ilo estimate,-0.31061,True,-0.28108,True
54,vulnerable employment male pct of male employment modeled ilo estimate,0.30874,True,0.25825,True
55,vulnerable employment total pct of total employment modeled ilo estimate,0.30798,True,0.26494,True
56,population ages 35-39 female pct of female population,-0.30606,True,-0.31436,True
57,self-employed total pct of total employment modeled ilo estimate,0.30388,True,0.26286,True
58,wage and salaried workers total pct of total employment modeled ilo estimate,-0.30388,True,-0.26286,True
59,wage and salaried workers male pct of male employment modeled ilo estimate,-0.3034,True,-0.25802,True
60,self-employed male pct of male employment modeled ilo estimate,0.3034,True,0.25802,True
61,vulnerable employment female pct of female employment modeled ilo estimate,0.29727,True,0.26481,True
62,employment in industry male pct of male employment modeled ilo estimate,-0.29618,True,-0.25232,True
63,self-employed female pct of female employment modeled ilo estimate,0.29615,True,0.26174,True
64,wage and salaried workers female pct of female employment modeled ilo estimate,-0.29615,True,-0.26174,True
65,population ages 55-59 male pct of male population,-0.28747,True,-0.31309,True
66,population ages 35-39 male pct of male population,-0.27969,True,-0.29901,True
67,population ages 55-59 female pct of female population,-0.27639,True,-0.2964,True
68,rural population pct of total population,0.27256,True,0.26166,True
69,urban population pct of total,-0.27256,True,-0.26166,True
70,employment in industry pct of total employment modeled ilo estimate,-0.26594,True,-0.2239,True
71,forest rents pct of gdp,0.26218,True,0.2709,True
72,cereal yield kg per hectare,-0.26016,True,-0.32243,True
73,contributing family workers male pct of male employment modeled ilo estimate,0.25474,True,0.20739,True
74,livestock production index 2004-2006 = 100,-0.25383,True,-0.27832,True
75,population ages 60-64 male pct of male population,-0.24933,True,-0.28677,True
76,population ages 15-19 male pct of male population,0.24654,True,0.26107,True
77,population ages 15-19 female pct of female population,0.24236,True,0.26392,True
78,population ages 60-64 female pct of female population,-0.24213,True,-0.27045,True
79,food production index 2004-2006 = 100,-0.2306,True,-0.2697,True
80,energy intensity level of primary energy mj  2011 ppp gdp,0.22926,True,0.16588,True
81,contributing family workers total pct of total employment modeled ilo estimate,0.22812,True,0.19209,True
82,rural population growth annual pct,0.22648,True,0.26286,True
83,population ages 80 and above male pct of male population,-0.21777,True,-0.27728,True
84,urban population growth annual pct,0.21738,True,0.22124,True
85,population ages 65 and above male pct of total,-0.21432,True,-0.26541,True
86,population ages 70-74 male pct of male population,-0.21165,True,-0.26381,True
