#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,access to electricity rural pct of rural population,-0.19367,True,-0.162,True
2,prevalence of anemia among children pct of children under 5,0.19288,True,0.15802,True
3,mortality rate infant per 1000 live births,0.18692,True,0.16692,True
4,mortality rate neonatal per 1000 live births,0.18524,True,0.16639,True
5,life expectancy at birth female years,-0.18466,True,-0.16497,True
6,birth rate crude per 1000 people,0.18288,True,0.16253,True
7,life expectancy at birth total years,-0.18265,True,-0.16498,True
8,fertility rate total births per woman,0.18243,True,0.16289,True
9,population ages 0-4 male pct of male population,0.18202,True,0.16597,True
10,population ages 0-4 female pct of female population,0.18139,True,0.16416,True
11,mortality rate under-5 per 1000 live births,0.18048,True,0.16686,True
12,adolescent fertility rate births per 1000 women ages 15-19,0.18022,True,0.16887,True
13,age dependency ratio young pct of working-age population,0.18009,True,0.16519,True
14,survival to age 65 female pct of cohort,-0.17991,True,-0.16337,True
15,life expectancy at birth male years,-0.17878,True,-0.16482,True
16,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.17703,True,0.15885,True
17,population ages 0-14 pct of total,0.17682,True,0.16457,True
18,population ages 0-14 female pct of total,0.17579,True,0.16391,True
19,population ages 0-14 male pct of total,0.17543,True,0.16301,True
20,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.17513,True,0.15743,True
21,age dependency ratio pct of working-age population,0.17494,True,0.16309,True
22,population ages 5-9 female pct of female population,0.17474,True,0.16289,True
23,population ages 5-9 male pct of male population,0.17447,True,0.16166,True
24,population ages 15-64 female pct of total,-0.174,True,-0.16043,True
25,population ages 15-64 pct of total,-0.17218,True,-0.16264,True
26,population ages 15-64 male pct of total,-0.17002,True,-0.16213,True
27,access to electricity pct of population,-0.16891,True,-0.15829,True
28,survival to age 65 male pct of cohort,-0.16519,True,-0.15945,True
29,renewable energy consumption pct of total final energy consumption,0.16176,True,0.15314,True
30,population ages 45-49 male pct of male population,-0.16081,True,-0.15516,True
31,mortality rate adult female per 1000 female adults,0.1608,True,0.15876,True
32,population ages 40-44 female pct of female population,-0.16016,True,-0.15404,True
33,maternal mortality ratio modeled estimate per 100000 live births,0.15892,True,0.16523,True
34,population ages 10-14 female pct of female population,0.15852,True,0.15643,True
35,population ages 45-49 female pct of female population,-0.15747,True,-0.15428,True
36,mobile cellular subscriptions per 100 people,-0.15695,True,-0.15071,True
37,population ages 10-14 male pct of male population,0.1552,True,0.15196,True
38,population ages 50-54 male pct of male population,-0.15493,True,-0.15328,True
39,population ages 40-44 male pct of male population,-0.15462,True,-0.15469,True
40,population ages 50-54 female pct of female population,-0.15286,True,-0.15345,True
41,lifetime risk of maternal death pct,0.14945,True,0.16616,True
42,individuals using the internet pct of population,-0.14686,True,-0.16174,True
43,access to electricity urban pct of urban population,-0.14455,True,-0.1572,True
44,population ages 55-59 male pct of male population,-0.14429,True,-0.15058,True
45,forest rents pct of gdp,0.14316,True,0.1436,True
46,mortality rate adult male per 1000 male adults,0.14242,True,0.15478,True
47,vulnerable employment male pct of male employment modeled ilo estimate,0.14226,True,0.13617,True
48,vulnerable employment total pct of total employment modeled ilo estimate,0.142,True,0.13444,True
49,population ages 55-59 female pct of female population,-0.14196,True,-0.14859,True
50,population ages 35-39 female pct of female population,-0.14196,True,-0.14249,True
51,wage and salaried workers total pct of total employment modeled ilo estimate,-0.14156,True,-0.13258,True
52,self-employed total pct of total employment modeled ilo estimate,0.14156,True,0.13258,True
53,wage and salaried workers male pct of male employment modeled ilo estimate,-0.14099,True,-0.13448,True
54,self-employed male pct of male employment modeled ilo estimate,0.14099,True,0.13448,True
55,employment in agriculture male pct of male employment modeled ilo estimate,0.13934,True,0.13601,True
56,employment in industry male pct of male employment modeled ilo estimate,-0.13896,True,-0.13458,True
57,wage and salaried workers female pct of female employment modeled ilo estimate,-0.13813,True,-0.13219,True
58,self-employed female pct of female employment modeled ilo estimate,0.13813,True,0.13219,True
59,vulnerable employment female pct of female employment modeled ilo estimate,0.13735,True,0.13201,True
60,employment in industry pct of total employment modeled ilo estimate,-0.13453,True,-0.12966,True
61,population ages 15-19 female pct of female population,0.13379,True,0.1425,True
62,employment in agriculture pct of total employment modeled ilo estimate,0.13329,True,0.13278,True
63,population ages 35-39 male pct of male population,-0.13054,True,-0.14771,True
64,population ages 15-19 male pct of male population,0.12978,True,0.13513,True
65,fixed telephone subscriptions per 100 people,-0.12664,True,-0.14062,True
66,population ages 65 and above pct of total,-0.12537,True,-0.13957,True
67,population ages 60-64 female pct of female population,-0.12526,True,-0.13489,True
68,population ages 65 and above female pct of total,-0.1252,True,-0.14241,True
69,population ages 65 and above male pct of total,-0.12495,True,-0.13669,True
70,population ages 60-64 male pct of male population,-0.12409,True,-0.13097,True
71,population ages 80 and above male pct of male population,-0.12404,True,-0.15043,True
72,population ages 75-79 female pct of female population,-0.12403,True,-0.14585,True
73,population ages 70-74 male pct of male population,-0.12371,True,-0.13495,True
74,population ages 70-74 female pct of female population,-0.12344,True,-0.14043,True
75,gdp per person employed constant 2011 ppp  ,-0.12327,True,-0.14324,True
76,population ages 75-79 male pct of male population,-0.12319,True,-0.14102,True
77,population ages 65-69 female pct of female population,-0.12277,True,-0.13228,True
78,population ages 80 and above female pct of female population,-0.12176,True,-0.15366,True
79,cereal yield kg per hectare,-0.12128,True,-0.15191,True
80,population ages 65-69 male pct of male population,-0.12039,True,-0.12811,True
81,co2 emissions from liquid fuel consumption pct of total,0.11798,True,0.12174,True
82,employment in services male pct of male employment modeled ilo estimate,-0.11747,True,-0.11951,True
83,death rate crude per 1000 people,0.11713,True,0.10954,True
84,age dependency ratio old pct of working-age population,-0.11567,True,-0.13145,True
85,employment in agriculture female pct of female employment modeled ilo estimate,0.11344,True,0.12025,True
86,employment in services pct of total employment modeled ilo estimate,-0.11051,True,-0.11162,True
87,contributing family workers male pct of male employment modeled ilo estimate,0.11013,True,0.1176,True
88,immunization measles pct of children ages 12-23 months,-0.10815,True,-0.11856,True
89,population growth annual pct,0.1049,True,0.13225,True
90,co2 emissions metric tons per capita,-0.10475,True,-0.13983,True
91,urban population growth annual pct,0.1047,True,0.11286,True
92,employment in services female pct of female employment modeled ilo estimate,-0.09824,True,-0.10055,True
93,immunization dpt pct of children ages 12-23 months,-0.09775,True,-0.11874,True
94,lifetime risk of maternal death 1 in  rate varies by country,-0.095,True,-0.14494,True
95,co2 emissions from solid fuel consumption pct of total,-0.09488,True,-0.12031,True
96,temparature ($^\circ$c),0.0876,True,0.09345,True
97,population ages 20-24 female pct of female population,0.08698,True,0.0894,True
98,rural population pct of total population,0.08681,True,0.09075,True
99,urban population pct of total,-0.08681,True,-0.09075,True
100,rural population growth annual pct,0.08459,True,0.09854,True
101,contributing family workers total pct of total employment modeled ilo estimate,0.08264,True,0.10191,True
102,population ages 30-34 female pct of female population,-0.08235,True,-0.09802,True
103,population ages 30-34 male pct of male population,-0.08212,True,-0.11636,True
104,population ages 20-24 male pct of male population,0.07945,True,0.08623,True
105,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.0729,True,-0.08333,True
106,employers male pct of male employment modeled ilo estimate,-0.06993,True,-0.07864,True
107,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,-0.06891,True,-0.06217,True
108,energy intensity level of primary energy mj  2011 ppp gdp,0.0663,True,0.07129,True
109,renewable electricity output pct of total electricity output,0.06484,True,0.06919,True
110,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.06433,True,-0.074,True
111,co2 emissions from gaseous fuel consumption pct of total,-0.06363,True,-0.07301,True
112,employers total pct of total employment modeled ilo estimate,-0.05881,True,-0.06238,True
113,contributing family workers female pct of female employment modeled ilo estimate,0.05726,True,0.08626,True
114,employment in industry female pct of female employment modeled ilo estimate,-0.05608,True,-0.07443,True
115,livestock production index 2004-2006 = 100,-0.05492,True,-0.06989,True
116,food production index 2004-2006 = 100,-0.05397,True,-0.06079,True
117,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.05109,True,-0.05835,True
118,primary school starting age years,0.04991,True,0.04718,True
119,total natural resources rents pct of gdp,0.04843,True,0.0867,True
120,natural gas rents pct of gdp,-0.04715,True,-0.06158,True
121,crop production index 2004-2006 = 100,-0.04526,True,-0.05616,True
122,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,-0.04176,True,-0.04713,True
123,co2 emissions kt,-0.03939,True,-0.08798,True
124,coal rents pct of gdp,-0.03881,True,-0.09205,True
127,co2 emissions from liquid fuel consumption kt,-0.03642,True,-0.08051,True
128,forest area sq. km,0.03633,True,0.05342,True
129,forest area pct of land area,0.0363,True,0.04317,True
130,co2 emissions from gaseous fuel consumption kt,-0.03605,True,-0.08227,True
131,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.036,True,0.03502,True
132,co2 emissions from solid fuel consumption kt,-0.03536,True,-0.09082,True
133,total fisheries production metric tons,-0.03499,True,-0.03842,True
134,fixed telephone subscriptions,-0.03445,True,-0.09087,True
135,cereal production metric tons,-0.03327,False,-0.04716,True
136,population density people per sq. km of land area,-0.03261,False,-0.07789,True
138,secondary education duration years,0.03101,False,0.05069,True
139,population ages 65 and above female,-0.03023,False,-0.06941,True
141,population ages 65 and above total,-0.0292,False,-0.06704,True
143,population ages 65 and above male,-0.02805,False,-0.06499,True
144,mobile cellular subscriptions,-0.02778,False,-0.09176,True
157,number of maternal deaths,0.02311,False,0.12219,True
167,mineral rents pct of gdp,0.01971,False,0.04889,True
173,arable land hectares per person,0.01584,False,0.09347,True
177,refugee population by country or territory of origin,0.01349,False,0.05941,True
182,population male pct of total,-0.01002,False,0.03885,True
183,population female pct of total,0.01002,False,-0.03885,True
186,number of under-five deaths,0.0075,False,0.11324,True
188,number of infant deaths,0.00482,False,0.10849,True
190,number of neonatal deaths,-0.00092,False,0.10123,True
192,agricultural land sq. km,0.00021,False,0.04704,True
