#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,population growth annual pct,-0.05739,True,-0.04195,True
2,refugee population by country or territory of origin,0.04969,True,0.04304,True
3,temparature ($^\circ$c),-0.04061,True,-0.03691,True
4,number of maternal deaths,0.03576,True,0.04124,True
5,number of under-five deaths,0.03124,False,0.04096,True
6,number of infant deaths,0.02982,False,0.04064,True
7,number of neonatal deaths,0.02559,False,0.04044,True
8,agricultural land sq. km,0.0255,False,0.03481,True
9,forest area sq. km,0.02521,False,0.03413,True
10,land under cereal production hectares,0.0224,False,0.03494,True
11,population ages 0-14 female,0.02134,False,0.03942,True
12,population ages 0-14 total,0.02053,False,0.03942,True
13,population ages 0-14 male,0.01981,False,0.03942,True
15,co2 emissions from gaseous fuel consumption kt,0.01537,False,0.03888,True
17,land area sq. km,-0.01466,False,-0.04001,True
19,surface area sq. km,-0.0146,False,-0.04061,True
20,population female,0.01375,False,0.03738,True
21,population male,0.01292,False,0.03808,True
24,population ages 15-64 female,0.01159,False,0.03731,True
25,rural population,0.01151,False,0.03986,True
26,population ages 15-64 total,0.01128,False,0.03737,True
27,urban population,0.01104,False,0.03643,True
28,population ages 15-64 male,0.01098,False,0.03737,True
30,population total,-0.01095,False,-0.04061,True
31,cereal production metric tons,0.01047,False,0.03543,True
32,population ages 65 and above female,0.01044,False,0.03557,True
33,labor force total,0.00985,False,0.03752,True
35,population ages 65 and above total,0.00942,False,0.03621,True
49,population ages 65 and above male,0.00831,False,0.03626,True
87,mobile cellular subscriptions,0.00646,False,0.03549,True
110,co2 emissions kt,0.00516,False,0.0342,True
136,total fisheries production metric tons,0.00384,False,0.03622,True
164,co2 emissions from solid fuel consumption kt,0.00202,False,0.03583,True
180,primary school starting age years,-0.0014,False,0.03507,True
14,rainfall (mm),-0.01649,False,-0.01743,False
16,capture fisheries production metric tons,0.01475,False,0.03175,False
18,mobile cellular subscriptions per 100 people,-0.01461,False,-0.01741,False
22,access to electricity pct of population,0.0122,False,-0.00926,False
23,individuals using the internet pct of population,-0.01176,False,-0.00663,False
29,co2 emissions from liquid fuel consumption kt,0.01095,False,0.0335,False
34,death rate crude per 1000 people,-0.00984,False,-0.00952,False
36,population ages 45-49 male pct of male population,-0.00929,False,-0.01006,False
37,population ages 10-14 male pct of male population,0.00924,False,0.0089,False
