#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,maternal mortality ratio modeled estimate per 100000 live births,0.11383,True,0.07918,True,Decision
2,lifetime risk of maternal death pct,0.10626,True,0.08016,True,Decision
3,mortality rate adult female per 1000 female adults,0.1057,True,0.08382,True,Decision
4,death rate crude per 1000 people,0.09975,True,0.07174,True,Decision
5,mortality rate adult male per 1000 male adults,0.09775,True,0.07828,True,Decision
6,survival to age 65 female pct of cohort,-0.08962,True,-0.06884,True,Decision
7,mortality rate under-5 per 1000 live births,0.08437,True,0.0657,True,Decision
8,mortality rate infant per 1000 live births,0.08434,True,0.06468,True,Decision
9,life expectancy at birth female years,-0.08392,True,-0.06509,True,Decision
10,life expectancy at birth total years,-0.08368,True,-0.06431,True,Decision
11,survival to age 65 male pct of cohort,-0.08272,True,-0.06524,True,Decision
12,life expectancy at birth male years,-0.08259,True,-0.06264,True,Decision
13,access to electricity urban pct of urban population,-0.07588,True,-0.06994,True,Decision
14,population ages 15-64 female pct of total,-0.07361,True,-0.0865,True,Decision
15,population ages 15-64 pct of total,-0.0705,True,-0.08082,True,Decision
16,mobile cellular subscriptions per 100 people,-0.07038,True,-0.07364,True,Decision
17,food production index 2004-2006 = 100,-0.06972,True,-0.07088,True,Decision
18,age dependency ratio pct of working-age population,0.06907,True,0.08216,True,Decision
19,ratio of female to male labor force participation rate pct modeled ilo estimate,0.06705,True,0.07814,True,Decision
20,population ages 15-64 male pct of total,-0.06688,True,-0.07525,True,Decision
21,vulnerable employment total pct of total employment modeled ilo estimate,0.06667,True,0.05125,True,Decision
22,number of maternal deaths,0.06663,True,0.09225,True,Decision
23,self-employed total pct of total employment modeled ilo estimate,0.06612,True,0.05084,True,Decision
24,wage and salaried workers total pct of total employment modeled ilo estimate,-0.06612,True,-0.05084,True,Decision
25,access to electricity pct of population,-0.06599,True,-0.06025,True,Decision
26,mortality rate neonatal per 1000 live births,0.0649,True,0.06234,True,Decision
