#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,population ages 75-79 female pct of female population,0.02084,False,0.01755,False,Decision
2,population ages 75-79 male pct of male population,0.01959,False,0.01758,False,Decision
3,population ages 80 and above female pct of female population,0.01937,False,0.01636,False,Decision
4,age dependency ratio old pct of working-age population,0.01928,False,0.01694,False,Decision
5,cereal yield kg per hectare,0.01905,False,0.01997,False,Decision
6,fixed telephone subscriptions per 100 people,0.01886,False,0.01701,False,Decision
7,population ages 65 and above female pct of total,0.01828,False,0.01565,False,Decision
8,population ages 65 and above pct of total,0.01792,False,0.01598,False,Decision
9,population ages 70-74 female pct of female population,0.01778,False,0.01694,False,Decision
10,population ages 70-74 male pct of male population,0.01769,False,0.01739,False,Decision
11,arable land pct of land area,0.01768,False,0.01727,False,Decision
12,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,-0.01763,False,-0.01703,False,Decision
13,population ages 80 and above male pct of male population,0.01749,False,0.01588,False,Decision
14,population ages 65 and above male pct of total,0.01731,False,0.01553,False,Decision
15,population ages 55-59 male pct of male population,0.01621,False,0.01681,False,Decision
16,population ages 25-29 female pct of female population,-0.01577,False,-0.01742,False,Decision
17,population ages 20-24 female pct of female population,-0.01571,False,-0.01473,False,Decision
18,employment to population ratio 15+ male pct modeled ilo estimate,-0.01528,False,-0.01568,False,Decision
19,population ages 55-59 female pct of female population,0.01435,False,0.01446,False,Decision
20,population ages 20-24 male pct of male population,-0.01432,False,-0.01414,False,Decision
21,population ages 65-69 male pct of male population,0.01418,False,0.01443,False,Decision
22,lower secondary school starting age years,-0.01392,False,-0.01651,False,Decision
23,population ages 15-19 female pct of female population,-0.01342,False,-0.01251,False,Decision
24,population ages 65-69 female pct of female population,0.01338,False,0.01379,False,Decision
25,gdp per person employed constant 2011 ppp  ,0.01317,False,0.01463,False,Decision
26,wage and salaried workers male pct of male employment modeled ilo estimate,0.01289,False,0.01654,False,Decision
27,self-employed male pct of male employment modeled ilo estimate,-0.01289,False,-0.01654,False,Decision
28,population ages 50-54 male pct of male population,0.01288,False,0.01324,False,Decision
29,self-employed total pct of total employment modeled ilo estimate,-0.01283,False,-0.01618,False,Decision
