#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,mineral rents pct of gdp,0.02059,False,0.01876,False,Decision
2,secondary education duration years,-0.01918,False,-0.02042,False,Decision
3,employment to population ratio 15+ total pct modeled ilo estimate,0.01809,False,0.01772,False,Decision
4,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,0.01718,False,0.0171,False,Decision
5,number of maternal deaths,0.01599,False,0.01844,False,Decision
6,employment to population ratio 15+ male pct modeled ilo estimate,0.01569,False,0.01767,False,Decision
7,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.01516,False,0.01679,False,Decision
8,employment to population ratio 15+ female pct modeled ilo estimate,0.0148,False,0.01752,False,Decision
9,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.01356,False,0.01689,False,Decision
10,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.01249,False,0.01554,False,Decision
11,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.01244,False,0.01436,False,Decision
12,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.01201,False,0.01644,False,Decision
13,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.01172,False,0.01432,False,Decision
14,agricultural land sq. km,0.0114,False,0.01556,False,Decision
15,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.01138,False,0.01326,False,Decision
16,forest area sq. km,0.01127,False,0.01526,False,Decision
17,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.01123,False,0.01296,False,Decision
18,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.0103,False,0.01158,False,Decision
19,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.01029,False,0.01307,False,Decision
20,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.00994,False,0.01326,False,Decision
21,unemployment total pct of total labor force modeled ilo estimate,-0.00983,False,-0.01428,False,Decision
22,mobile cellular subscriptions per 100 people,0.00959,False,0.01097,False,Decision
23,unemployment female pct of female labor force modeled ilo estimate,-0.00952,False,-0.01444,False,Decision
24,death rate crude per 1000 people,-0.00943,False,-0.01219,False,Decision
25,urban population pct of total,0.0094,False,0.0092,False,Decision
26,rural population pct of total population,-0.0094,False,-0.0092,False,Decision
27,unemployment male pct of male labor force modeled ilo estimate,-0.00926,False,-0.01255,False,Decision
28,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.00907,False,-0.01209,False,Decision
29,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.00883,False,-0.01137,False,Decision
30,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.0084,False,-0.01152,False,Decision
31,fixed telephone subscriptions per 100 people,-0.00831,False,-0.00869,False,Decision
32,wage and salaried workers female pct of female employment modeled ilo estimate,-0.00789,False,-0.00986,False,Decision
33,self-employed female pct of female employment modeled ilo estimate,0.00789,False,0.00986,False,Decision
34,vulnerable employment female pct of female employment modeled ilo estimate,0.00761,False,0.00973,False,Decision
35,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.0075,False,-0.00786,False,Decision
36,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.0074,False,-0.00764,False,Decision
37,population ages 25-29 female pct of female population,0.00728,False,0.01096,False,Decision
38,gdp per person employed constant 2011 ppp  ,-0.00717,False,-0.00434,False,Decision
39,employment in industry pct of total employment modeled ilo estimate,-0.0071,False,-0.01253,False,Decision
40,ratio of female to male labor force participation rate pct modeled ilo estimate,0.00695,False,0.00647,False,Decision
41,co2 emissions from gaseous fuel consumption kt,0.00687,False,0.01738,False,Decision
42,wage and salaried workers total pct of total employment modeled ilo estimate,-0.00679,False,-0.00906,False,Decision
43,self-employed total pct of total employment modeled ilo estimate,0.00679,False,0.00906,False,Decision
44,capture fisheries production metric tons,0.0066,False,0.01419,False,Decision
45,mortality rate infant per 1000 live births,-0.0064,False,-0.00324,False,Decision
46,mortality rate neonatal per 1000 live births,-0.00639,False,-0.00318,False,Decision
47,contributing family workers female pct of female employment modeled ilo estimate,0.00633,False,0.01004,False,Decision
48,vulnerable employment total pct of total employment modeled ilo estimate,0.00632,False,0.00886,False,Decision
49,population ages 25-29 male pct of male population,0.00615,False,0.01171,False,Decision
50,access to electricity urban pct of urban population,0.0061,False,0.01299,False,Decision
51,labor force female pct of total labor force,0.00603,False,0.00421,False,Decision
52,mortality rate under-5 per 1000 live births,-0.00602,False,-0.00215,False,Decision
53,land under cereal production hectares,-0.00596,False,-0.00342,False,Decision
54,population ages 20-24 male pct of male population,0.00579,False,0.00461,False,Decision
55,contributing family workers total pct of total employment modeled ilo estimate,0.00569,False,0.01065,False,Decision
56,access to electricity pct of population,0.00567,False,-0.00394,False,Decision
57,employment in industry female pct of female employment modeled ilo estimate,-0.00556,False,-0.00715,False,Decision
58,preprimary education duration years,0.00545,False,0.00636,False,Decision
59,self-employed male pct of male employment modeled ilo estimate,0.00537,False,0.00764,False,Decision
60,wage and salaried workers male pct of male employment modeled ilo estimate,-0.00537,False,-0.00764,False,Decision
61,mortality rate adult male per 1000 male adults,-0.00514,False,-0.0033,False,Decision
62,cereal production metric tons,-0.00506,False,-0.00025,False,Decision
63,mortality rate adult female per 1000 female adults,-0.00506,False,-0.00013,False,Decision
64,employment in industry male pct of male employment modeled ilo estimate,-0.00495,False,-0.00864,False,Decision
65,co2 emissions from liquid fuel consumption kt,0.0049,False,0.01498,False,Decision
