#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,mortality rate adult female per 1000 female adults,0.11099,True,0.08135,True,Decision
2,mortality rate adult male per 1000 male adults,0.10397,True,0.07327,True,Decision
3,survival to age 65 female pct of cohort,-0.09672,True,-0.08181,True,Decision
4,employment in agriculture pct of total employment modeled ilo estimate,0.0925,True,0.07963,True,Decision
5,survival to age 65 male pct of cohort,-0.09133,True,-0.07373,True,Decision
6,employment in services pct of total employment modeled ilo estimate,-0.091,True,-0.08241,True,Decision
7,life expectancy at birth total years,-0.09017,True,-0.07918,True,Decision
8,vulnerable employment female pct of female employment modeled ilo estimate,0.09015,True,0.08086,True,Decision
9,life expectancy at birth female years,-0.09013,True,-0.08134,True,Decision
10,wage and salaried workers female pct of female employment modeled ilo estimate,-0.08987,True,-0.08139,True,Decision
11,self-employed female pct of female employment modeled ilo estimate,0.08987,True,0.08139,True,Decision
12,employment in agriculture male pct of male employment modeled ilo estimate,0.08973,True,0.07762,True,Decision
13,life expectancy at birth male years,-0.08934,True,-0.0755,True,Decision
14,self-employed total pct of total employment modeled ilo estimate,0.08933,True,0.07986,True,Decision
15,wage and salaried workers total pct of total employment modeled ilo estimate,-0.08933,True,-0.07986,True,Decision
16,employment in services female pct of female employment modeled ilo estimate,-0.08914,True,-0.08115,True,Decision
17,vulnerable employment total pct of total employment modeled ilo estimate,0.08878,True,0.07888,True,Decision
18,access to electricity urban pct of urban population,-0.0871,True,-0.08294,True,Decision
19,employment in agriculture female pct of female employment modeled ilo estimate,0.08692,True,0.07662,True,Decision
20,employment in services male pct of male employment modeled ilo estimate,-0.08475,True,-0.07572,True,Decision
21,self-employed male pct of male employment modeled ilo estimate,0.08409,True,0.07767,True,Decision
22,wage and salaried workers male pct of male employment modeled ilo estimate,-0.08409,True,-0.07767,True,Decision
23,vulnerable employment male pct of male employment modeled ilo estimate,0.08285,True,0.07627,True,Decision
24,access to electricity pct of population,-0.08263,True,-0.07843,True,Decision
