#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,life expectancy at birth female years,0.49261,True,0.47859,True
2,mobile cellular subscriptions per 100 people,0.48906,True,0.50716,True
3,life expectancy at birth total years,0.48174,True,0.4568,True
4,mortality rate infant per 1000 live births,-0.47903,True,-0.48156,True
5,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.4731,True,-0.46978,True
6,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.47167,True,-0.46873,True
7,mortality rate under-5 per 1000 live births,-0.469,True,-0.48378,True
8,survival to age 65 female pct of cohort,0.46783,True,0.44309,True
9,mortality rate neonatal per 1000 live births,-0.46427,True,-0.47264,True
10,life expectancy at birth male years,0.46346,True,0.43916,True
11,population ages 55-59 female pct of female population,0.45567,True,0.46352,True
12,prevalence of anemia among children pct of children under 5,-0.44621,True,-0.42805,True
13,access to electricity pct of population,0.44417,True,0.42651,True
14,mortality rate adult female per 1000 female adults,-0.44201,True,-0.42072,True
15,population ages 80 and above male pct of male population,0.43969,True,0.47907,True
16,employment in agriculture female pct of female employment modeled ilo estimate,-0.43903,True,-0.37765,True
17,population ages 55-59 male pct of male population,0.43755,True,0.44947,True
18,population ages 5-9 female pct of female population,-0.43528,True,-0.42337,True
19,population ages 0-14 female pct of total,-0.43303,True,-0.41767,True
20,population ages 0-4 female pct of female population,-0.43284,True,-0.40233,True
21,birth rate crude per 1000 people,-0.43134,True,-0.37206,True
22,fertility rate total births per woman,-0.42743,True,-0.34635,True
23,employment in services female pct of female employment modeled ilo estimate,0.42689,True,0.38795,True
24,employment in services pct of total employment modeled ilo estimate,0.42445,True,0.41,True
25,maternal mortality ratio modeled estimate per 100000 live births,-0.42422,True,-0.4486,True
26,employment in agriculture pct of total employment modeled ilo estimate,-0.42247,True,-0.3952,True
27,population ages 60-64 female pct of female population,0.42173,True,0.42452,True
28,population ages 80 and above female pct of female population,0.42044,True,0.46278,True
29,age dependency ratio young pct of working-age population,-0.42039,True,-0.38081,True
30,individuals using the internet pct of population,0.41933,True,0.46083,True
31,population ages 0-14 pct of total,-0.41844,True,-0.39553,True
32,population ages 60-64 male pct of male population,0.41738,True,0.42388,True
33,lifetime risk of maternal death pct,-0.41519,True,-0.45408,True
34,survival to age 65 male pct of cohort,0.41499,True,0.39924,True
35,access to electricity urban pct of urban population,0.41428,True,0.41356,True
36,population ages 50-54 female pct of female population,0.41318,True,0.41617,True
37,population ages 65 and above male pct of total,0.41249,True,0.44475,True
38,vulnerable employment female pct of female employment modeled ilo estimate,-0.41215,True,-0.35997,True
39,population ages 65 and above pct of total,0.41204,True,0.43893,True
40,population ages 0-4 male pct of male population,-0.41176,True,-0.37019,True
41,population ages 75-79 male pct of male population,0.40948,True,0.44953,True
42,population ages 65 and above female pct of total,0.40863,True,0.43398,True
43,population ages 5-9 male pct of male population,-0.40722,True,-0.39518,True
44,population ages 10-14 female pct of female population,-0.40704,True,-0.4066,True
45,self-employed female pct of female employment modeled ilo estimate,-0.40701,True,-0.35643,True
46,wage and salaried workers female pct of female employment modeled ilo estimate,0.40701,True,0.35643,True
47,population ages 0-14 male pct of total,-0.40513,True,-0.39155,True
48,immunization dpt pct of children ages 12-23 months,0.4038,True,0.32028,True
49,population ages 70-74 male pct of male population,0.40321,True,0.43432,True
50,age dependency ratio old pct of working-age population,0.40289,True,0.43755,True
51,vulnerable employment total pct of total employment modeled ilo estimate,-0.39992,True,-0.34454,True
52,population ages 75-79 female pct of female population,0.39929,True,0.43528,True
53,self-employed total pct of total employment modeled ilo estimate,-0.39762,True,-0.34953,True
54,wage and salaried workers total pct of total employment modeled ilo estimate,0.39762,True,0.34953,True
55,population ages 70-74 female pct of female population,0.39615,True,0.41991,True
56,immunization measles pct of children ages 12-23 months,0.3938,True,0.32281,True
57,employment in agriculture male pct of male employment modeled ilo estimate,-0.38968,True,-0.35756,True
58,population ages 50-54 male pct of male population,0.38231,True,0.38415,True
59,vulnerable employment male pct of male employment modeled ilo estimate,-0.3809,True,-0.33033,True
60,population ages 65-69 female pct of female population,0.37856,True,0.40701,True
61,population ages 65-69 male pct of male population,0.37523,True,0.41162,True
62,wage and salaried workers male pct of male employment modeled ilo estimate,0.3749,True,0.33979,True
63,self-employed male pct of male employment modeled ilo estimate,-0.3749,True,-0.33979,True
64,rural population pct of total population,-0.37483,True,-0.37289,True
65,urban population pct of total,0.37483,True,0.37289,True
