#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,access to electricity urban pct of urban population,-0.05192,True,-0.02159,False,Decision
2,lifetime risk of maternal death pct,0.04599,True,0.02052,False,Decision
3,maternal mortality ratio modeled estimate per 100000 live births,0.04395,True,0.02041,False,Decision
4,mortality rate neonatal per 1000 live births,0.04038,True,0.0208,False,Decision
5,mortality rate under-5 per 1000 live births,0.03828,True,0.02035,False,Decision
6,mortality rate infant per 1000 live births,0.03641,True,0.02048,False,Decision
7,access to electricity pct of population,-0.03232,False,-0.02141,False,Decision
8,population growth annual pct,0.03143,False,0.0203,False,Decision
9,rural population growth annual pct,0.02913,False,0.02054,False,Decision
10,contributing family workers total pct of total employment modeled ilo estimate,0.029,False,0.01928,False,Decision
11,death rate crude per 1000 people,0.02879,False,0.01984,False,Decision
12,life expectancy at birth total years,-0.02775,False,-0.0196,False,Decision
13,life expectancy at birth female years,-0.02772,False,-0.01962,False,Decision
14,life expectancy at birth male years,-0.02747,False,-0.0196,False,Decision
15,survival to age 65 female pct of cohort,-0.02721,False,-0.01905,False,Decision
16,fertility rate total births per woman,0.02693,False,0.01882,False,Decision
17,contributing family workers female pct of female employment modeled ilo estimate,0.02616,False,0.01882,False,Decision
18,mortality rate adult female per 1000 female adults,0.02483,False,0.01783,False,Decision
19,contributing family workers male pct of male employment modeled ilo estimate,0.02478,False,0.01836,False,Decision
20,survival to age 65 male pct of cohort,-0.02456,False,-0.01899,False,Decision
21,birth rate crude per 1000 people,0.02423,False,0.0185,False,Decision
22,urban population growth annual pct,0.02405,False,0.01975,False,Decision
23,urban population pct of total,-0.02371,False,-0.01987,False,Decision
24,rural population pct of total population,0.02371,False,0.01987,False,Decision
25,refugee population by country or territory of origin,0.02222,False,0.01924,False,Decision
26,population ages 0-4 male pct of male population,0.02192,False,0.01816,False,Decision
27,prevalence of anemia among children pct of children under 5,0.02191,False,0.01758,False,Decision
28,mortality rate adult male per 1000 male adults,0.02167,False,0.01792,False,Decision
29,population ages 0-4 female pct of female population,0.02166,False,0.01827,False,Decision
30,age dependency ratio pct of working-age population,0.02123,False,0.01764,False,Decision
31,age dependency ratio young pct of working-age population,0.02096,False,0.01766,False,Decision
32,population ages 15-64 female pct of total,-0.02071,False,-0.01762,False,Decision
33,population ages 15-64 pct of total,-0.02023,False,-0.01764,False,Decision
34,population ages 15-64 male pct of total,-0.0198,False,-0.01756,False,Decision
35,population ages 0-14 pct of total,0.01965,False,0.01767,False,Decision
36,population ages 0-14 male pct of total,0.01955,False,0.01764,False,Decision
37,population ages 0-14 female pct of total,0.01952,False,0.01766,False,Decision
38,population ages 5-9 male pct of male population,0.01931,False,0.01744,False,Decision
39,population ages 5-9 female pct of female population,0.01927,False,0.01759,False,Decision
40,secondary education duration years,-0.01918,False,-0.02042,False,Decision
41,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.01914,False,0.0181,False,Decision
42,employment in services female pct of female employment modeled ilo estimate,-0.0189,False,-0.01693,False,Decision
43,employment in services pct of total employment modeled ilo estimate,-0.01875,False,-0.01759,False,Decision
44,adolescent fertility rate births per 1000 women ages 15-19,0.0184,False,0.01612,False,Decision
45,population ages 45-49 male pct of male population,-0.01825,False,-0.01804,False,Decision
46,population ages 40-44 female pct of female population,-0.01824,False,-0.01726,False,Decision
47,population ages 45-49 female pct of female population,-0.01801,False,-0.01807,False,Decision
48,population ages 40-44 male pct of male population,-0.01754,False,-0.01742,False,Decision
49,employment in agriculture male pct of male employment modeled ilo estimate,0.01736,False,0.01604,False,Decision
50,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.01704,False,0.01679,False,Decision
51,employment in services male pct of male employment modeled ilo estimate,-0.01688,False,-0.01711,False,Decision
52,employment in agriculture pct of total employment modeled ilo estimate,0.01653,False,0.01618,False,Decision
53,population ages 35-39 female pct of female population,-0.01592,False,-0.01645,False,Decision
54,employment in industry female pct of female employment modeled ilo estimate,0.01564,False,0.01591,False,Decision
55,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.01544,False,0.01777,False,Decision
56,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.0154,False,0.01576,False,Decision
57,population ages 10-14 female pct of female population,0.01529,False,0.01433,False,Decision
58,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,0.01483,False,0.01596,False,Decision
59,population ages 10-14 male pct of male population,0.01478,False,0.01346,False,Decision
60,employment in agriculture female pct of female employment modeled ilo estimate,0.01463,False,0.01474,False,Decision
61,population ages 35-39 male pct of male population,-0.01448,False,-0.01662,False,Decision
62,population ages 50-54 female pct of female population,-0.01367,False,-0.0123,False,Decision
63,employment in industry male pct of male employment modeled ilo estimate,-0.01361,False,-0.01514,False,Decision
64,population ages 50-54 male pct of male population,-0.01359,False,-0.0122,False,Decision
65,land area sq. km,0.01333,False,0.01559,False,Decision
66,surface area sq. km,0.01316,False,0.01559,False,Decision
67,population ages 75-79 female pct of female population,-0.01275,False,-0.01725,False,Decision
68,ratio of female to male labor force participation rate pct modeled ilo estimate,0.01261,False,0.01685,False,Decision
69,population ages 70-74 female pct of female population,-0.0125,False,-0.01581,False,Decision
70,population ages 75-79 male pct of male population,-0.01249,False,-0.01673,False,Decision
71,population ages 65 and above pct of total,-0.01248,False,-0.01549,False,Decision
72,population ages 65 and above male pct of total,-0.01246,False,-0.01539,False,Decision
73,population ages 65 and above female pct of total,-0.01245,False,-0.01618,False,Decision
74,temparature ($^\circ$c),0.01244,False,0.01798,False,Decision
75,population ages 70-74 male pct of male population,-0.01239,False,-0.01463,False,Decision
76,population ages 80 and above male pct of male population,-0.01237,False,-0.01821,False,Decision
77,unemployment total pct of total labor force modeled ilo estimate,0.01231,False,0.01614,False,Decision
