#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,mortality rate adult male per 1000 male adults,0.05112,True,0.03472,True,Decision
2,mortality rate adult female per 1000 female adults,0.05016,True,0.03555,True,Decision
3,access to electricity pct of population,-0.04997,True,-0.03829,True,Decision
4,access to electricity urban pct of urban population,-0.04846,True,-0.03669,True,Decision
5,maternal mortality ratio modeled estimate per 100000 live births,0.04555,True,0.03632,True,Decision
6,survival to age 65 female pct of cohort,-0.04534,True,-0.03475,True,Decision
7,survival to age 65 male pct of cohort,-0.04504,True,-0.03433,True,Decision
8,age dependency ratio pct of working-age population,0.04455,True,0.03648,True,Decision
9,life expectancy at birth male years,-0.04434,True,-0.03412,True,Decision
11,rural population pct of total population,0.04307,True,0.03697,True,Decision
12,urban population pct of total,-0.04307,True,-0.03697,True,Decision
13,age dependency ratio young pct of working-age population,0.04292,True,0.03553,True,Decision
14,employment in industry pct of total employment modeled ilo estimate,-0.04277,True,-0.0381,True,Decision
15,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,0.04266,True,0.03543,True,Decision
16,lifetime risk of maternal death pct,0.04261,True,0.0348,True,Decision
19,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.04202,True,0.03696,True,Decision
23,population ages 15-64 female pct of total,-0.0415,True,-0.03578,True,Decision
25,population ages 15-64 pct of total,-0.04134,True,-0.03651,True,Decision
26,population ages 15-64 male pct of total,-0.04116,True,-0.03661,True,Decision
29,population ages 10-14 male pct of male population,0.03974,True,0.03831,True,Decision
30,population ages 5-9 male pct of male population,0.03968,True,0.03558,True,Decision
34,population ages 0-14 male pct of total,0.0394,True,0.03477,True,Decision
35,population ages 10-14 female pct of female population,0.03911,True,0.03769,True,Decision
36,population ages 0-14 pct of total,0.03904,True,0.0349,True,Decision
37,population ages 5-9 female pct of female population,0.03858,True,0.0343,True,Decision
44,population ages 0-14 female pct of total,0.0382,True,0.03409,True,Decision
52,co2 emissions from liquid fuel consumption pct of total,0.03581,True,0.03401,True,Decision
53,population ages 50-54 male pct of male population,-0.03563,True,-0.0361,True,Decision
54,population ages 45-49 male pct of male population,-0.03525,True,-0.0346,True,Decision
68,population ages 15-19 male pct of male population,0.03262,False,0.03613,True,Decision
69,population ages 55-59 male pct of male population,-0.03229,False,-0.03526,True,Decision
71,population ages 55-59 female pct of female population,-0.03175,False,-0.03456,True,Decision
73,population ages 15-19 female pct of female population,0.03131,False,0.03446,True,Decision
74,ratio of female to male labor force participation rate pct modeled ilo estimate,0.03127,False,0.03475,True,Decision
77,employment in industry female pct of female employment modeled ilo estimate,-0.03068,False,-0.03515,True,Decision
78,population ages 35-39 male pct of male population,-0.03057,False,-0.0343,True,Decision
80,individuals using the internet pct of population,-0.02892,False,-0.03731,True,Decision
83,co2 emissions from gaseous fuel consumption pct of total,-0.02807,False,-0.03707,True,Decision
86,cereal yield kg per hectare,-0.02737,False,-0.03606,True,Decision
89,gdp per person employed constant 2011 ppp  ,-0.02713,False,-0.03477,True,Decision
96,population ages 30-34 male pct of male population,-0.02548,False,-0.03473,True,Decision
99,labor force female pct of total labor force,0.02463,False,0.03457,True,Decision
110,co2 emissions metric tons per capita,-0.02236,False,-0.03474,True,Decision
113,energy intensity level of primary energy mj  2011 ppp gdp,0.02143,False,0.03735,True,Decision
119,lifetime risk of maternal death 1 in  rate varies by country,-0.01958,False,-0.03595,True,Decision
133,co2 emissions from gaseous fuel consumption kt,-0.01221,False,-0.03711,True,Decision
136,oil rents pct of gdp,-0.01154,False,-0.03478,True,Decision
140,natural gas rents pct of gdp,-0.01127,False,-0.03401,True,Decision
151,mobile cellular subscriptions,-0.01043,False,-0.03976,True,Decision
10,life expectancy at birth total years,-0.04338,True,-0.03325,False,Decision
17,renewable energy consumption pct of total final energy consumption,0.0421,True,0.03117,False,Decision
18,life expectancy at birth female years,-0.04209,True,-0.03247,False,Decision
20,mortality rate under-5 per 1000 live births,0.04174,True,0.03226,False,Decision
21,fertility rate total births per woman,0.04158,True,0.03249,False,Decision
22,employment in agriculture pct of total employment modeled ilo estimate,0.04158,True,0.03216,False,Decision
24,access to electricity rural pct of rural population,-0.04148,True,-0.03269,False,Decision
