#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,total natural resources rents pct of gdp,0.31817,True,0.21845,True,Decision
2,oil rents pct of gdp,0.26786,True,0.093,True,Decision
3,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.25953,True,0.24695,True,Decision
4,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.25791,True,0.2463,True,Decision
5,population ages 55-59 female pct of female population,-0.25636,True,-0.26326,True,Decision
6,population ages 60-64 female pct of female population,-0.25132,True,-0.25512,True,Decision
7,access to electricity pct of population,-0.23297,True,-0.20177,True,Decision
8,population ages 60-64 male pct of male population,-0.23044,True,-0.22984,True,Decision
9,population ages 5-9 female pct of female population,0.22924,True,0.2197,True,Decision
10,population ages 50-54 female pct of female population,-0.22222,True,-0.22544,True,Decision
11,prevalence of anemia among children pct of children under 5,0.2212,True,0.20907,True,Decision
12,access to electricity urban pct of urban population,-0.22017,True,-0.21156,True,Decision
13,population ages 0-14 female pct of total,0.21952,True,0.20795,True,Decision
14,population ages 0-4 female pct of female population,0.21556,True,0.18841,True,Decision
15,population ages 55-59 male pct of male population,-0.21514,True,-0.21353,True,Decision
16,population ages 80 and above male pct of male population,-0.21294,True,-0.25035,True,Decision
17,access to electricity rural pct of rural population,-0.21025,True,-0.20849,True,Decision
18,maternal mortality ratio modeled estimate per 100000 live births,0.20648,True,0.21326,True,Decision
19,life expectancy at birth female years,-0.20602,True,-0.19842,True,Decision
20,mortality rate adult female per 1000 female adults,0.20297,True,0.18694,True,Decision
21,population ages 45-49 female pct of female population,-0.20279,True,-0.19609,True,Decision
22,population ages 10-14 female pct of female population,0.20162,True,0.20222,True,Decision
23,population ages 65 and above pct of total,-0.20161,True,-0.23449,True,Decision
24,immunization dpt pct of children ages 12-23 months,-0.20112,True,-0.17086,True,Decision
25,population ages 65 and above male pct of total,-0.20096,True,-0.2314,True,Decision
26,population ages 65 and above female pct of total,-0.20034,True,-0.23591,True,Decision
27,survival to age 65 female pct of cohort,-0.19901,True,-0.17906,True,Decision
28,immunization measles pct of children ages 12-23 months,-0.19882,True,-0.17954,True,Decision
29,population ages 75-79 male pct of male population,-0.19858,True,-0.23653,True,Decision
30,population ages 80 and above female pct of female population,-0.19848,True,-0.24681,True,Decision
31,population ages 70-74 female pct of female population,-0.19823,True,-0.22723,True,Decision
32,population ages 70-74 male pct of male population,-0.19743,True,-0.22406,True,Decision
33,age dependency ratio old pct of working-age population,-0.19689,True,-0.24321,True,Decision
34,population ages 65-69 female pct of female population,-0.19684,True,-0.23159,True,Decision
35,life expectancy at birth total years,-0.19525,True,-0.18251,True,Decision
36,age dependency ratio young pct of working-age population,0.19494,True,0.1638,True,Decision
37,mortality rate infant per 1000 live births,0.19256,True,0.20598,True,Decision
38,fertility rate total births per woman,0.19136,True,0.14161,True,Decision
39,population ages 75-79 female pct of female population,-0.19123,True,-0.23422,True,Decision
40,lifetime risk of maternal death pct,0.19089,True,0.21553,True,Decision
41,population ages 0-14 pct of total,0.19041,True,0.16871,True,Decision
42,birth rate crude per 1000 people,0.18456,True,0.13499,True,Decision
43,population ages 65-69 male pct of male population,-0.1836,True,-0.21514,True,Decision
44,mortality rate under-5 per 1000 live births,0.17921,True,0.20602,True,Decision
45,population ages 5-9 male pct of male population,0.17913,True,0.16913,True,Decision
46,life expectancy at birth male years,-0.17909,True,-0.16626,True,Decision
47,mortality rate neonatal per 1000 live births,0.17655,True,0.19729,True,Decision
48,labor force participation rate for ages 15-24 male pct modeled ilo estimate,-0.1764,True,-0.14834,True,Decision
49,population ages 15-64 female pct of total,-0.17517,True,-0.13121,True,Decision
50,population ages 0-4 male pct of male population,0.17272,True,0.13416,True,Decision
51,population male pct of total,0.17252,True,0.13835,True,Decision
52,population female pct of total,-0.17252,True,-0.13835,True,Decision
53,adolescent fertility rate births per 1000 women ages 15-19,0.17234,True,0.10419,True,Decision
54,population ages 0-14 male pct of total,0.16966,True,0.15823,True,Decision
55,employers male pct of male employment modeled ilo estimate,-0.16811,True,-0.17742,True,Decision
56,population ages 50-54 male pct of male population,-0.16441,True,-0.1643,True,Decision
57,age dependency ratio pct of working-age population,0.16042,True,0.10285,True,Decision
58,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,-0.15931,True,-0.13717,True,Decision
59,forest rents pct of gdp,0.15471,True,0.09048,True,Decision
60,survival to age 65 male pct of cohort,-0.15273,True,-0.14685,True,Decision
61,renewable energy consumption pct of total final energy consumption,0.15264,True,0.09951,True,Decision
62,employers total pct of total employment modeled ilo estimate,-0.1506,True,-0.16386,True,Decision
63,mobile cellular subscriptions per 100 people,-0.14899,True,-0.16862,True,Decision
64,employment to population ratio ages 15-24 male pct modeled ilo estimate,-0.14861,True,-0.13043,True,Decision
65,mortality rate adult male per 1000 male adults,0.14579,True,0.14029,True,Decision
66,urban population growth annual pct,0.14416,True,0.18381,True,Decision
67,population ages 10-14 male pct of male population,0.14221,True,0.15619,True,Decision
68,population growth annual pct,0.1393,True,0.18666,True,Decision
69,population ages 45-49 male pct of male population,-0.13644,True,-0.12286,True,Decision
70,individuals using the internet pct of population,-0.13555,True,-0.15793,True,Decision
71,population ages 15-64 pct of total,-0.13531,True,-0.10242,True,Decision
72,population ages 15-19 female pct of female population,0.13117,True,0.1329,True,Decision
74,employment in industry male pct of male employment modeled ilo estimate,-0.12662,True,-0.1361,True,Decision
75,crop production index 2004-2006 = 100,-0.125,True,-0.22584,True,Decision
76,lifetime risk of maternal death 1 in  rate varies by country,-0.12413,True,-0.14167,True,Decision
77,labor force participation rate for ages 15-24 total pct modeled ilo estimate,-0.12156,True,-0.09239,True,Decision
78,arable land pct of land area,-0.12032,True,-0.10877,True,Decision
79,rural population growth annual pct,0.11839,True,0.14806,True,Decision
80,mineral rents pct of gdp,0.11798,True,-0.04397,True,Decision
81,population ages 15-64 male pct of total,-0.11737,True,-0.0887,True,Decision
82,fixed telephone subscriptions per 100 people,-0.11704,True,-0.15822,True,Decision
83,employers female pct of female employment modeled ilo estimate,-0.11485,True,-0.14992,True,Decision
85,energy intensity level of primary energy mj  2011 ppp gdp,0.10761,True,0.15301,True,Decision
86,vulnerable employment total pct of total employment modeled ilo estimate,0.10597,True,0.0508,True,Decision
87,vulnerable employment female pct of female employment modeled ilo estimate,0.10528,True,0.05162,True,Decision
88,employment in agriculture female pct of female employment modeled ilo estimate,0.10525,True,0.04366,True,Decision
89,employment to population ratio ages 15-24 total pct modeled ilo estimate,-0.10413,True,-0.08107,True,Decision
90,population ages 40-44 female pct of female population,-0.10391,True,-0.09192,True,Decision
91,self-employed female pct of female employment modeled ilo estimate,0.10144,True,0.04909,True,Decision
92,wage and salaried workers female pct of female employment modeled ilo estimate,-0.10144,True,-0.04909,True,Decision
93,cereal yield kg per hectare,-0.10116,True,-0.15679,True,Decision
94,employment in agriculture pct of total employment modeled ilo estimate,0.09911,True,0.08001,True,Decision
95,coal rents pct of gdp,-0.09534,True,-0.1369,True,Decision
96,wage and salaried workers total pct of total employment modeled ilo estimate,-0.09493,True,-0.04686,True,Decision
