#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,mortality rate under-5 per 1000 live births,0.55237,True,0.40713,True
2,mortality rate infant per 1000 live births,0.52408,True,0.40237,True
3,fertility rate total births per woman,0.50883,True,0.3945,True
4,life expectancy at birth female years,-0.50232,True,-0.40316,True
5,life expectancy at birth total years,-0.50179,True,-0.40371,True
6,survival to age 65 female pct of cohort,-0.50087,True,-0.39848,True
7,life expectancy at birth male years,-0.49625,True,-0.40305,True
8,access to electricity pct of population,-0.49469,True,-0.38488,True
9,mortality rate neonatal per 1000 live births,0.49109,True,0.39353,True
10,birth rate crude per 1000 people,0.48674,True,0.39532,True
11,lifetime risk of maternal death pct,0.48251,True,0.37918,True
12,mortality rate adult female per 1000 female adults,0.47934,True,0.39038,True
13,age dependency ratio pct of working-age population,0.47873,True,0.40393,True
14,access to electricity urban pct of urban population,-0.47353,True,-0.38491,True
15,age dependency ratio young pct of working-age population,0.4719,True,0.40192,True
16,survival to age 65 male pct of cohort,-0.46996,True,-0.39679,True
17,population ages 0-4 male pct of male population,0.46623,True,0.3948,True
18,population ages 15-64 female pct of total,-0.46129,True,-0.4021,True
19,population ages 0-4 female pct of female population,0.45442,True,0.38881,True
20,population ages 15-64 pct of total,-0.4544,True,-0.40358,True
21,maternal mortality ratio modeled estimate per 100000 live births,0.45425,True,0.37463,True
22,mobile cellular subscriptions per 100 people,-0.44845,True,-0.43964,True
23,population ages 15-64 male pct of total,-0.44776,True,-0.4025,True
24,population ages 0-14 male pct of total,0.44326,True,0.40025,True
25,population ages 0-14 pct of total,0.44128,True,0.39901,True
26,prevalence of anemia among children pct of children under 5,0.43961,True,0.36705,True
27,mortality rate adult male per 1000 male adults,0.43915,True,0.38369,True
28,population ages 5-9 male pct of male population,0.4358,True,0.39868,True
29,immunization measles pct of children ages 12-23 months,-0.43452,True,-0.3601,True
30,population ages 0-14 female pct of total,0.43387,True,0.39515,True
31,immunization dpt pct of children ages 12-23 months,-0.42898,True,-0.35592,True
32,population ages 5-9 female pct of female population,0.42673,True,0.39258,True
33,employment in agriculture male pct of male employment modeled ilo estimate,0.42615,True,0.34806,True
34,employment in agriculture pct of total employment modeled ilo estimate,0.42501,True,0.34878,True
35,adolescent fertility rate births per 1000 women ages 15-19,0.4234,True,0.35486,True
36,death rate crude per 1000 people,0.41707,True,0.33722,True
37,access to electricity rural pct of rural population,-0.402,True,-0.33942,True
38,population ages 45-49 male pct of male population,-0.40088,True,-0.38579,True
39,employment in agriculture female pct of female employment modeled ilo estimate,0.39899,True,0.33647,True
40,population ages 40-44 female pct of female population,-0.39573,True,-0.37741,True
41,population ages 45-49 female pct of female population,-0.39414,True,-0.38734,True
42,population ages 50-54 male pct of male population,-0.38847,True,-0.38906,True
43,population ages 10-14 male pct of male population,0.38831,True,0.38396,True
44,population ages 10-14 female pct of female population,0.38609,True,0.38217,True
45,employment in services male pct of male employment modeled ilo estimate,-0.38487,True,-0.3287,True
46,employment in services pct of total employment modeled ilo estimate,-0.3845,True,-0.33319,True
47,employment in industry male pct of male employment modeled ilo estimate,-0.38311,True,-0.33611,True
48,vulnerable employment male pct of male employment modeled ilo estimate,0.38173,True,0.32372,True
49,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.3816,True,0.34087,True
50,renewable energy consumption pct of total final energy consumption,0.3809,True,0.30859,True
51,vulnerable employment total pct of total employment modeled ilo estimate,0.37983,True,0.33214,True
52,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.37852,True,0.33914,True
