#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,total natural resources rents pct of gdp,0.31817,True,0.21845,True
2,oil rents pct of gdp,0.26786,True,0.093,True
3,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.25953,True,0.24695,True
4,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.25791,True,0.2463,True
5,population ages 55-59 female pct of female population,-0.25636,True,-0.26326,True
6,population ages 60-64 female pct of female population,-0.25132,True,-0.25512,True
7,access to electricity pct of population,-0.23297,True,-0.20177,True
8,population ages 60-64 male pct of male population,-0.23044,True,-0.22984,True
9,population ages 5-9 female pct of female population,0.22924,True,0.2197,True
10,population ages 50-54 female pct of female population,-0.22222,True,-0.22544,True
11,prevalence of anemia among children pct of children under 5,0.2212,True,0.20907,True
12,access to electricity urban pct of urban population,-0.22017,True,-0.21156,True
13,population ages 0-14 female pct of total,0.21952,True,0.20795,True
14,population ages 0-4 female pct of female population,0.21556,True,0.18841,True
15,population ages 55-59 male pct of male population,-0.21514,True,-0.21353,True
16,population ages 80 and above male pct of male population,-0.21294,True,-0.25035,True
17,access to electricity rural pct of rural population,-0.21025,True,-0.20849,True
18,maternal mortality ratio modeled estimate per 100000 live births,0.20648,True,0.21326,True
19,life expectancy at birth female years,-0.20602,True,-0.19842,True
20,mortality rate adult female per 1000 female adults,0.20297,True,0.18694,True
21,population ages 45-49 female pct of female population,-0.20279,True,-0.19609,True
22,population ages 10-14 female pct of female population,0.20162,True,0.20222,True
23,population ages 65 and above pct of total,-0.20161,True,-0.23449,True
24,immunization dpt pct of children ages 12-23 months,-0.20112,True,-0.17086,True
25,population ages 65 and above male pct of total,-0.20096,True,-0.2314,True
26,population ages 65 and above female pct of total,-0.20034,True,-0.23591,True
27,survival to age 65 female pct of cohort,-0.19901,True,-0.17906,True
28,immunization measles pct of children ages 12-23 months,-0.19882,True,-0.17954,True
29,population ages 75-79 male pct of male population,-0.19858,True,-0.23653,True
30,population ages 80 and above female pct of female population,-0.19848,True,-0.24681,True
31,population ages 70-74 female pct of female population,-0.19823,True,-0.22723,True
32,population ages 70-74 male pct of male population,-0.19743,True,-0.22406,True
33,age dependency ratio old pct of working-age population,-0.19689,True,-0.24321,True
34,population ages 65-69 female pct of female population,-0.19684,True,-0.23159,True
35,life expectancy at birth total years,-0.19525,True,-0.18251,True
36,age dependency ratio young pct of working-age population,0.19494,True,0.1638,True
37,mortality rate infant per 1000 live births,0.19256,True,0.20598,True
38,fertility rate total births per woman,0.19136,True,0.14161,True
39,population ages 75-79 female pct of female population,-0.19123,True,-0.23422,True
40,lifetime risk of maternal death pct,0.19089,True,0.21553,True
41,population ages 0-14 pct of total,0.19041,True,0.16871,True
42,birth rate crude per 1000 people,0.18456,True,0.13499,True
43,population ages 65-69 male pct of male population,-0.1836,True,-0.21514,True
44,mortality rate under-5 per 1000 live births,0.17921,True,0.20602,True
45,population ages 5-9 male pct of male population,0.17913,True,0.16913,True
46,life expectancy at birth male years,-0.17909,True,-0.16626,True
47,mortality rate neonatal per 1000 live births,0.17655,True,0.19729,True
48,labor force participation rate for ages 15-24 male pct modeled ilo estimate,-0.1764,True,-0.14834,True
49,population ages 15-64 female pct of total,-0.17517,True,-0.13121,True
50,population ages 0-4 male pct of male population,0.17272,True,0.13416,True
51,population male pct of total,0.17252,True,0.13835,True
52,population female pct of total,-0.17252,True,-0.13835,True
53,adolescent fertility rate births per 1000 women ages 15-19,0.17234,True,0.10419,True
54,population ages 0-14 male pct of total,0.16966,True,0.15823,True
55,employers male pct of male employment modeled ilo estimate,-0.16811,True,-0.17742,True
56,population ages 50-54 male pct of male population,-0.16441,True,-0.1643,True
57,age dependency ratio pct of working-age population,0.16042,True,0.10285,True
58,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,-0.15931,True,-0.13717,True
59,forest rents pct of gdp,0.15471,True,0.09048,True
60,survival to age 65 male pct of cohort,-0.15273,True,-0.14685,True
61,renewable energy consumption pct of total final energy consumption,0.15264,True,0.09951,True
