#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,co2 emissions from gaseous fuel consumption kt,0.07167,True,0.02097,False,Decision
2,co2 emissions from liquid fuel consumption kt,0.0677,True,0.02068,False,Decision
3,co2 emissions kt,0.03423,True,0.01968,False,Decision
4,co2 emissions metric tons per capita,0.0314,False,0.02013,False,Decision
5,fixed telephone subscriptions,0.03131,False,0.01887,False,Decision
6,agricultural land sq. km,0.03045,False,0.01881,False,Decision
7,surface area sq. km,0.02929,False,0.0191,False,Decision
8,land area sq. km,0.02892,False,0.01819,False,Decision
9,cereal production metric tons,0.02848,False,0.01805,False,Decision
10,fixed telephone subscriptions per 100 people,0.02654,False,0.0208,False,Decision
11,forest area sq. km,0.02624,False,0.01853,False,Decision
12,land under cereal production hectares,0.02325,False,0.01819,False,Decision
13,co2 emissions from solid fuel consumption kt,0.01691,False,0.01915,False,Decision
14,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.01674,False,-0.02088,False,Decision
15,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.01672,False,-0.0209,False,Decision
16,arable land hectares per person,0.01544,False,0.01839,False,Decision
17,prevalence of anemia among children pct of children under 5,-0.01489,False,-0.02045,False,Decision
18,gdp per person employed constant 2011 ppp  ,0.01472,False,0.01569,False,Decision
19,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.01418,False,0.01483,False,Decision
20,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.014,False,0.01565,False,Decision
21,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.01339,False,0.01513,False,Decision
22,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.01333,False,0.01497,False,Decision
23,population ages 65 and above female,0.01318,False,0.01733,False,Decision
24,wage and salaried workers male pct of male employment modeled ilo estimate,0.01296,False,0.01671,False,Decision
25,self-employed male pct of male employment modeled ilo estimate,-0.01296,False,-0.01671,False,Decision
26,population ages 20-24 female pct of female population,-0.01292,False,-0.01352,False,Decision
27,urban population,0.0129,False,0.01733,False,Decision
28,employment in services pct of total employment modeled ilo estimate,0.01289,False,0.01444,False,Decision
29,employment in services male pct of male employment modeled ilo estimate,0.01276,False,0.01402,False,Decision
30,self-employed total pct of total employment modeled ilo estimate,-0.01275,False,-0.01573,False,Decision
31,wage and salaried workers total pct of total employment modeled ilo estimate,0.01275,False,0.01573,False,Decision
32,vulnerable employment male pct of male employment modeled ilo estimate,-0.0125,False,-0.01564,False,Decision
33,vulnerable employment total pct of total employment modeled ilo estimate,-0.01238,False,-0.01524,False,Decision
34,self-employed female pct of female employment modeled ilo estimate,-0.01226,False,-0.01393,False,Decision
35,wage and salaried workers female pct of female employment modeled ilo estimate,0.01226,False,0.01393,False,Decision
36,employment in agriculture male pct of male employment modeled ilo estimate,-0.01223,False,-0.01611,False,Decision
37,vulnerable employment female pct of female employment modeled ilo estimate,-0.01222,False,-0.01326,False,Decision
38,employment in agriculture pct of total employment modeled ilo estimate,-0.0119,False,-0.01611,False,Decision
39,population ages 20-24 male pct of male population,-0.01177,False,-0.01228,False,Decision
40,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.01165,False,0.01431,False,Decision
41,population ages 40-44 female pct of female population,0.01164,False,0.01392,False,Decision
42,population ages 65 and above total,0.01126,False,0.01733,False,Decision
43,employment in services female pct of female employment modeled ilo estimate,0.01101,False,0.01063,False,Decision
44,population ages 75-79 female pct of female population,0.01093,False,0.01181,False,Decision
45,employment in agriculture female pct of female employment modeled ilo estimate,-0.0109,False,-0.01511,False,Decision
46,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.01084,False,0.01363,False,Decision
47,renewable energy consumption pct of total final energy consumption,-0.01075,False,-0.01229,False,Decision
48,cereal yield kg per hectare,0.01071,False,0.01273,False,Decision
49,capture fisheries production metric tons,0.01067,False,0.01748,False,Decision
50,population ages 40-44 male pct of male population,0.01067,False,0.01308,False,Decision
51,population ages 25-29 female pct of female population,-0.01067,False,-0.01213,False,Decision
52,population ages 80 and above female pct of female population,0.0106,False,0.01124,False,Decision
53,contributing family workers female pct of female employment modeled ilo estimate,-0.01017,False,-0.01771,False,Decision
54,contributing family workers total pct of total employment modeled ilo estimate,-0.01006,False,-0.01781,False,Decision
55,mobile cellular subscriptions per 100 people,-0.00993,False,-0.01103,False,Decision
56,population ages 75-79 male pct of male population,0.00981,False,0.01058,False,Decision
57,population ages 45-49 female pct of female population,0.00976,False,0.00966,False,Decision
58,population ages 15-19 female pct of female population,-0.00957,False,-0.00753,False,Decision
59,contributing family workers male pct of male employment modeled ilo estimate,-0.00954,False,-0.01824,False,Decision
60,urban population pct of total,0.00947,False,0.00923,False,Decision
61,rural population pct of total population,-0.00947,False,-0.00923,False,Decision
62,renewable electricity output pct of total electricity output,-0.00931,False,-0.00988,False,Decision
63,population ages 65 and above female pct of total,0.0093,False,0.01005,False,Decision
64,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.00922,False,0.01144,False,Decision
65,population ages 65 and above male,0.00918,False,0.01733,False,Decision
66,population ages 80 and above male pct of male population,0.00909,False,0.01045,False,Decision
67,co2 emissions from solid fuel consumption pct of total,0.00906,False,0.01244,False,Decision
68,age dependency ratio old pct of working-age population,0.00902,False,0.01042,False,Decision
69,mortality rate neonatal per 1000 live births,-0.00902,False,-0.00754,False,Decision
70,population ages 45-49 male pct of male population,0.00893,False,0.00848,False,Decision
71,population ages 35-39 male pct of male population,0.00879,False,0.0146,False,Decision
72,population ages 50-54 female pct of female population,0.00878,False,0.00741,False,Decision
73,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.00873,False,0.0106,False,Decision
74,population ages 70-74 female pct of female population,0.0087,False,0.01138,False,Decision
75,population ages 65 and above pct of total,0.00865,False,0.00935,False,Decision
76,unemployment total pct of total labor force modeled ilo estimate,-0.00864,False,-0.0119,False,Decision
77,access to electricity rural pct of rural population,0.0086,False,0.01413,False,Decision
78,unemployment female pct of female labor force modeled ilo estimate,-0.00858,False,-0.01076,False,Decision
79,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.00847,False,-0.01152,False,Decision
80,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.00841,False,-0.01153,False,Decision
81,population ages 35-39 female pct of female population,0.00839,False,0.01399,False,Decision
82,mortality rate infant per 1000 live births,-0.00838,False,-0.00765,False,Decision
83,permanent cropland pct of land area,-0.00833,False,-0.01117,False,Decision
84,employment in industry male pct of male employment modeled ilo estimate,0.0082,False,0.01243,False,Decision
85,unemployment male pct of male labor force modeled ilo estimate,-0.00811,False,-0.01031,False,Decision
86,population ages 15-19 male pct of male population,-0.00791,False,-0.00693,False,Decision
87,mortality rate under-5 per 1000 live births,-0.00773,False,-0.00764,False,Decision
88,access to electricity pct of population,0.00773,False,0.01366,False,Decision
89,population ages 65 and above male pct of total,0.00771,False,0.00877,False,Decision
90,population ages 25-29 male pct of male population,-0.00762,False,-0.01181,False,Decision
91,population ages 70-74 male pct of male population,0.00762,False,0.00916,False,Decision
92,population ages 0-4 female pct of female population,-0.00761,False,-0.00478,False,Decision
93,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.0076,False,-0.00953,False,Decision
94,population ages 50-54 male pct of male population,0.00755,False,0.00602,False,Decision
95,co2 emissions from liquid fuel consumption pct of total,-0.00739,False,-0.00922,False,Decision
96,maternal mortality ratio modeled estimate per 100000 live births,-0.00711,False,-0.00977,False,Decision
97,employment to population ratio 15+ female pct modeled ilo estimate,0.0071,False,0.00867,False,Decision
98,birth rate crude per 1000 people,-0.00708,False,-0.00426,False,Decision
99,population ages 0-4 male pct of male population,-0.00704,False,-0.00425,False,Decision
100,population ages 0-14 female pct of total,-0.007,False,-0.00455,False,Decision
101,total natural resources rents pct of gdp,-0.00699,False,-0.00785,False,Decision
102,life expectancy at birth male years,0.0069,False,0.00613,False,Decision
103,life expectancy at birth total years,0.0069,False,0.00696,False,Decision
104,life expectancy at birth female years,0.00683,False,0.00632,False,Decision
105,population ages 10-14 female pct of female population,-0.00674,False,-0.00485,False,Decision
106,food production index 2004-2006 = 100,-0.0067,False,-0.01256,False,Decision
107,population ages 0-14 pct of total,-0.00653,False,-0.00402,False,Decision
108,age dependency ratio young pct of working-age population,-0.00646,False,-0.00312,False,Decision
109,survival to age 65 female pct of cohort,0.00637,False,0.00441,False,Decision
110,labor force female pct of total labor force,0.00632,False,0.00521,False,Decision
111,lifetime risk of maternal death pct,-0.00629,False,-0.00958,False,Decision
112,survival to age 65 male pct of cohort,0.00621,False,0.00343,False,Decision
113,mortality rate adult female per 1000 female adults,-0.00619,False,-0.00263,False,Decision
114,population ages 0-14 male pct of total,-0.00616,False,-0.00342,False,Decision
115,population female,0.00614,False,0.0161,False,Decision
116,population ages 5-9 female pct of female population,-0.00612,False,-0.00379,False,Decision
117,access to electricity urban pct of urban population,0.0061,False,0.01299,False,Decision
118,employment to population ratio 15+ total pct modeled ilo estimate,0.00606,False,0.01006,False,Decision
119,mortality rate adult male per 1000 male adults,-0.00598,False,-0.00397,False,Decision
120,crop production index 2004-2006 = 100,-0.00594,False,-0.0106,False,Decision
121,population total,0.00585,False,0.01732,False,Decision
122,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.0058,False,0.00748,False,Decision
123,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.0058,False,0.00725,False,Decision
124,population ages 65-69 female pct of female population,0.00579,False,0.00715,False,Decision
125,ratio of female to male labor force participation rate pct modeled ilo estimate,0.00578,False,0.00264,False,Decision
126,immunization dpt pct of children ages 12-23 months,0.00577,False,0.00191,False,Decision
127,fertility rate total births per woman,-0.00565,False,-0.00166,False,Decision
128,livestock production index 2004-2006 = 100,-0.00562,False,-0.01073,False,Decision
129,population ages 10-14 male pct of male population,-0.00556,False,-0.00351,False,Decision
130,temparature ($^\circ$c),-0.00552,False,-0.0092,False,Decision
