#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,number of under-five deaths,0.12481,True,0.02088,False,Decision
2,number of neonatal deaths,0.12394,True,0.02089,False,Decision
3,number of infant deaths,0.12172,True,0.02088,False,Decision
4,number of maternal deaths,0.12103,True,0.02091,False,Decision
5,population ages 0-14 female,0.05675,True,0.02041,False,Decision
6,population ages 0-14 total,0.05575,True,0.02041,False,Decision
7,population ages 0-14 male,0.05484,True,0.02041,False,Decision
8,rural population,0.04468,True,0.01957,False,Decision
9,land under cereal production hectares,0.04456,True,0.02089,False,Decision
10,arable land pct of land area,0.03706,True,0.0201,False,Decision
11,population male,0.03262,False,0.01828,False,Decision
12,population total,0.03254,False,0.01828,False,Decision
13,mortality rate neonatal per 1000 live births,0.03224,False,0.02022,False,Decision
14,population female,0.03208,False,0.01828,False,Decision
15,population ages 15-64 male,0.02685,False,0.01828,False,Decision
16,population ages 15-64 total,0.02657,False,0.01828,False,Decision
17,population ages 15-64 female,0.02626,False,0.01828,False,Decision
18,co2 emissions from solid fuel consumption pct of total,0.02367,False,0.01765,False,Decision
19,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.02363,False,0.01895,False,Decision
20,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.02312,False,0.01879,False,Decision
21,vulnerable employment male pct of male employment modeled ilo estimate,0.0227,False,0.01848,False,Decision
22,employment in agriculture female pct of female employment modeled ilo estimate,0.0224,False,0.01811,False,Decision
23,employment in services female pct of female employment modeled ilo estimate,-0.02222,False,-0.01931,False,Decision
24,self-employed male pct of male employment modeled ilo estimate,0.02221,False,0.0184,False,Decision
25,wage and salaried workers male pct of male employment modeled ilo estimate,-0.02221,False,-0.0184,False,Decision
26,livestock production index 2004-2006 = 100,-0.02215,False,-0.01952,False,Decision
27,prevalence of anemia among children pct of children under 5,0.02164,False,0.01741,False,Decision
28,vulnerable employment total pct of total employment modeled ilo estimate,0.02103,False,0.01766,False,Decision
29,wage and salaried workers total pct of total employment modeled ilo estimate,-0.02061,False,-0.01759,False,Decision
30,self-employed total pct of total employment modeled ilo estimate,0.02061,False,0.01759,False,Decision
31,labor force total,0.02054,False,0.01813,False,Decision
32,vulnerable employment female pct of female employment modeled ilo estimate,0.02006,False,0.01688,False,Decision
33,mortality rate infant per 1000 live births,0.01987,False,0.01706,False,Decision
34,wage and salaried workers female pct of female employment modeled ilo estimate,-0.01974,False,-0.01661,False,Decision
35,self-employed female pct of female employment modeled ilo estimate,0.01974,False,0.01661,False,Decision
36,mobile cellular subscriptions per 100 people,-0.01972,False,-0.01989,False,Decision
37,employment in services pct of total employment modeled ilo estimate,-0.01927,False,-0.01781,False,Decision
38,employment in agriculture pct of total employment modeled ilo estimate,0.01821,False,0.01667,False,Decision
39,urban population pct of total,-0.01818,False,-0.01739,False,Decision
40,rural population pct of total population,0.01818,False,0.01739,False,Decision
41,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.01772,False,-0.01596,False,Decision
42,employment in services male pct of male employment modeled ilo estimate,-0.01671,False,-0.01704,False,Decision
43,mortality rate under-5 per 1000 live births,0.01643,False,0.01602,False,Decision
44,labor force female pct of total labor force,-0.01622,False,-0.0153,False,Decision
45,cereal production metric tons,0.01617,False,0.01731,False,Decision
46,urban population,0.01613,False,0.01823,False,Decision
47,employment in agriculture male pct of male employment modeled ilo estimate,0.01607,False,0.01573,False,Decision
48,food production index 2004-2006 = 100,-0.01571,False,-0.01826,False,Decision
49,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.01546,False,-0.01566,False,Decision
50,access to electricity rural pct of rural population,-0.0154,False,-0.01547,False,Decision
51,employment to population ratio 15+ male pct modeled ilo estimate,0.01479,False,0.01739,False,Decision
52,individuals using the internet pct of population,-0.01467,False,-0.01931,False,Decision
53,population ages 65 and above male,0.01453,False,0.01819,False,Decision
54,immunization dpt pct of children ages 12-23 months,-0.01441,False,-0.01605,False,Decision
55,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.0144,False,0.01635,False,Decision
56,immunization measles pct of children ages 12-23 months,-0.01433,False,-0.01569,False,Decision
57,life expectancy at birth female years,-0.0141,False,-0.01407,False,Decision
58,contributing family workers female pct of female employment modeled ilo estimate,0.01398,False,0.01462,False,Decision
59,population ages 65 and above total,0.01396,False,0.01817,False,Decision
60,lower secondary school starting age years,-0.01392,False,-0.01651,False,Decision
61,co2 emissions from liquid fuel consumption pct of total,-0.01374,False,-0.01452,False,Decision
62,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,-0.01373,False,-0.0156,False,Decision
63,population ages 65 and above female,0.01341,False,0.01766,False,Decision
64,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.01332,False,0.01583,False,Decision
65,fixed telephone subscriptions per 100 people,-0.01319,False,-0.01395,False,Decision
66,employers male pct of male employment modeled ilo estimate,-0.01318,False,-0.01698,False,Decision
67,survival to age 65 female pct of cohort,-0.01305,False,-0.01371,False,Decision
68,contributing family workers male pct of male employment modeled ilo estimate,0.0128,False,0.016,False,Decision
69,employers female pct of female employment modeled ilo estimate,-0.01276,False,-0.01595,False,Decision
70,primary education duration years,-0.01276,False,-0.01811,False,Decision
71,life expectancy at birth total years,-0.01273,False,-0.01359,False,Decision
72,gdp per person employed constant 2011 ppp  ,-0.01248,False,-0.01561,False,Decision
73,employers total pct of total employment modeled ilo estimate,-0.01229,False,-0.01648,False,Decision
74,agricultural land pct of land area,0.01221,False,0.01413,False,Decision
75,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.0121,False,0.01514,False,Decision
76,population ages 10-14 female pct of female population,0.01198,False,0.01141,False,Decision
77,preprimary education duration years,-0.01173,False,-0.01438,False,Decision
78,contributing family workers total pct of total employment modeled ilo estimate,0.01157,False,0.01441,False,Decision
79,employment to population ratio 15+ female pct modeled ilo estimate,-0.01156,False,-0.01465,False,Decision
80,life expectancy at birth male years,-0.0111,False,-0.01323,False,Decision
81,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.01106,False,0.01555,False,Decision
82,survival to age 65 male pct of cohort,-0.01105,False,-0.01292,False,Decision
83,access to electricity pct of population,-0.01105,False,-0.01358,False,Decision
84,crop production index 2004-2006 = 100,-0.01091,False,-0.01592,False,Decision
85,employment in industry male pct of male employment modeled ilo estimate,-0.01085,False,-0.01349,False,Decision
86,population ages 50-54 male pct of male population,-0.01082,False,-0.01058,False,Decision
87,population ages 10-14 male pct of male population,0.01079,False,0.01039,False,Decision
88,population ages 5-9 female pct of female population,0.01075,False,0.01147,False,Decision
89,population ages 75-79 female pct of female population,-0.0107,False,-0.01079,False,Decision
90,population ages 45-49 male pct of male population,-0.01049,False,-0.01097,False,Decision
