#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,population ages 65-69 male pct of male population,0.04736,True,0.04186,True
2,fixed telephone subscriptions per 100 people,0.04718,True,0.041,True
3,population ages 70-74 female pct of female population,0.04615,True,0.04116,True
4,population ages 65-69 female pct of female population,0.04599,True,0.04071,True
5,population ages 70-74 male pct of male population,0.04545,True,0.03875,True
6,age dependency ratio old pct of working-age population,0.04384,True,0.03762,True
7,population ages 65 and above male pct of total,0.04281,True,0.03775,True
8,population ages 65 and above pct of total,0.0427,True,0.03736,True
9,population ages 65 and above female pct of total,0.04246,True,0.03745,True
10,population ages 75-79 female pct of female population,0.03862,True,0.0357,True
13,population ages 15-19 female pct of female population,-0.03684,True,-0.03592,True
15,population ages 50-54 male pct of male population,0.03439,True,0.03508,True
16,population ages 15-19 male pct of male population,-0.03412,True,-0.03455,True
18,population ages 50-54 female pct of female population,0.03307,False,0.03438,True
19,urban population growth annual pct,-0.03277,False,-0.03585,True
20,population ages 45-49 female pct of female population,0.03273,False,0.03403,True
24,employment in industry male pct of male employment modeled ilo estimate,0.03117,False,0.03438,True
28,population growth annual pct,-0.03002,False,-0.03396,True
34,employment in agriculture male pct of male employment modeled ilo estimate,-0.02884,False,-0.03494,True
39,birth rate crude per 1000 people,-0.02764,False,-0.03621,True
51,mortality rate neonatal per 1000 live births,-0.02608,False,-0.03506,True
77,access to electricity rural pct of rural population,0.02106,False,0.03463,True
95,co2 emissions from liquid fuel consumption kt,0.01694,False,0.03432,True
133,refugee population by country or territory of origin,-0.00987,False,-0.03789,True
142,fixed telephone subscriptions,0.00798,False,0.03625,True
176,co2 emissions kt,0.00308,False,0.03569,True
11,population ages 80 and above female pct of female population,0.03751,True,0.03358,False
12,population ages 75-79 male pct of male population,0.03715,True,0.03348,False
14,population ages 80 and above male pct of male population,0.0361,True,0.03298,False
17,population ages 45-49 male pct of male population,0.03351,False,0.03389,False
21,population ages 10-14 female pct of female population,-0.03221,False,-0.03267,False
22,population ages 60-64 male pct of male population,0.03202,False,0.03216,False
23,population ages 55-59 male pct of male population,0.03147,False,0.03041,False
25,population ages 60-64 female pct of female population,0.03086,False,0.03119,False
26,population ages 0-14 female pct of total,-0.03008,False,-0.03167,False
27,population ages 10-14 male pct of male population,-0.03005,False,-0.03145,False
29,prevalence of anemia among children pct of children under 5,-0.02996,False,-0.03386,False
30,population ages 20-24 female pct of female population,-0.02958,False,-0.02964,False
31,population ages 55-59 female pct of female population,0.02949,False,0.02912,False
32,population ages 0-14 pct of total,-0.02925,False,-0.03123,False
33,population ages 0-4 female pct of female population,-0.02885,False,-0.03309,False
35,population ages 5-9 female pct of female population,-0.02872,False,-0.02975,False
36,population ages 0-14 male pct of total,-0.02862,False,-0.03142,False
37,cereal yield kg per hectare,0.02782,False,0.03085,False
38,population ages 0-4 male pct of male population,-0.02777,False,-0.0336,False
40,employment in agriculture pct of total employment modeled ilo estimate,-0.0275,False,-0.03226,False
41,population ages 5-9 male pct of male population,-0.02724,False,-0.02794,False
42,primary school starting age years,-0.027,False,-0.02607,False
43,survival to age 65 male pct of cohort,0.0267,False,0.03139,False
44,self-employed male pct of male employment modeled ilo estimate,-0.0265,False,-0.02648,False
45,wage and salaried workers male pct of male employment modeled ilo estimate,0.0265,False,0.02648,False
46,life expectancy at birth male years,0.02634,False,0.03137,False
47,life expectancy at birth total years,0.02622,False,0.03275,False
48,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.02617,False,-0.02941,False
49,wage and salaried workers total pct of total employment modeled ilo estimate,0.02615,False,0.02454,False
50,self-employed total pct of total employment modeled ilo estimate,-0.02615,False,-0.02454,False
52,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.02605,False,-0.02969,False
53,life expectancy at birth female years,0.02583,False,0.03369,False
54,population ages 20-24 male pct of male population,-0.02578,False,-0.02742,False
55,employment in industry pct of total employment modeled ilo estimate,0.02556,False,0.02599,False
56,age dependency ratio young pct of working-age population,-0.02539,False,-0.02888,False
57,self-employed female pct of female employment modeled ilo estimate,-0.02511,False,-0.02284,False
58,wage and salaried workers female pct of female employment modeled ilo estimate,0.02511,False,0.02284,False
59,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.02478,False,0.02888,False
60,vulnerable employment total pct of total employment modeled ilo estimate,-0.02474,False,-0.02244,False
61,vulnerable employment male pct of male employment modeled ilo estimate,-0.0247,False,-0.02331,False
62,vulnerable employment female pct of female employment modeled ilo estimate,-0.02456,False,-0.02061,False
63,employment in agriculture female pct of female employment modeled ilo estimate,-0.02456,False,-0.02539,False
64,survival to age 65 female pct of cohort,0.02406,False,0.03279,False
65,adolescent fertility rate births per 1000 women ages 15-19,-0.02373,False,-0.02824,False
66,employment in services pct of total employment modeled ilo estimate,0.02365,False,0.02369,False
67,population ages 25-29 female pct of female population,-0.02362,False,-0.02722,False
68,co2 emissions metric tons per capita,0.02357,False,0.03183,False
69,fertility rate total births per woman,-0.02348,False,-0.03348,False
70,mortality rate infant per 1000 live births,-0.02329,False,-0.03213,False
71,employment in services male pct of male employment modeled ilo estimate,0.02284,False,0.02418,False
72,urban population pct of total,0.02259,False,0.02206,False
73,rural population pct of total population,-0.02259,False,-0.02206,False
74,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.02235,False,0.02538,False
75,lifetime risk of maternal death 1 in  rate varies by country,0.02216,False,0.02914,False
76,lower secondary school starting age years,-0.02153,False,-0.02066,False
78,gdp per person employed constant 2011 ppp  ,0.02091,False,0.02453,False
79,mortality rate under-5 per 1000 live births,-0.02076,False,-0.03135,False
80,contributing family workers male pct of male employment modeled ilo estimate,-0.02075,False,-0.02321,False
81,employment in services female pct of female employment modeled ilo estimate,0.02055,False,0.01868,False
82,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.02002,False,-0.02377,False
83,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.01979,False,0.02488,False
84,renewable energy consumption pct of total final energy consumption,-0.01937,False,-0.01968,False
85,access to electricity pct of population,0.01894,False,0.03347,False
86,contributing family workers total pct of total employment modeled ilo estimate,-0.0189,False,-0.02062,False
87,secondary education duration years,0.01824,False,0.013,False
88,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.01808,False,0.02047,False
89,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.018,False,0.02051,False
90,total natural resources rents pct of gdp,-0.01741,False,-0.02834,False
91,contributing family workers female pct of female employment modeled ilo estimate,-0.0174,False,-0.01732,False
92,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.01738,False,-0.01769,False
93,rural population growth annual pct,-0.01732,False,-0.02605,False
94,temparature ($^\circ$c),-0.01704,False,-0.0205,False
96,unemployment female pct of female labor force modeled ilo estimate,-0.0169,False,-0.01851,False
97,immunization measles pct of children ages 12-23 months,0.01637,False,0.01353,False
98,population ages 25-29 male pct of male population,-0.01626,False,-0.02232,False
99,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.01614,False,0.01919,False
100,immunization dpt pct of children ages 12-23 months,0.01591,False,0.01662,False
101,mobile cellular subscriptions per 100 people,-0.01582,False,-0.01257,False
102,forest area pct of land area,0.01521,False,0.01499,False
103,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.01516,False,0.0158,False
104,access to electricity urban pct of urban population,0.01494,False,0.03182,False
105,employment in industry female pct of female employment modeled ilo estimate,0.01479,False,0.01571,False
106,population ages 15-64 male pct of total,0.01457,False,0.01522,False
107,mortality rate adult male per 1000 male adults,-0.01429,False,-0.0116,False
108,population ages 30-34 female pct of female population,-0.01427,False,-0.01615,False
109,population ages 40-44 male pct of male population,0.01404,False,0.01625,False
110,maternal mortality ratio modeled estimate per 100000 live births,-0.01401,False,-0.02098,False
111,age dependency ratio pct of working-age population,-0.01354,False,-0.01126,False
112,permanent cropland pct of land area,-0.01353,False,-0.00812,False
113,mortality rate adult female per 1000 female adults,-0.01317,False,-0.01468,False
114,population ages 40-44 female pct of female population,0.01285,False,0.01267,False
115,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.0126,False,-0.01279,False
116,lifetime risk of maternal death pct,-0.01246,False,-0.02309,False
117,unemployment total pct of total labor force modeled ilo estimate,-0.01228,False,-0.01203,False
118,population ages 15-64 pct of total,0.01196,False,0.01125,False
119,oil rents pct of gdp,-0.01142,False,-0.00477,False
120,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.01126,False,0.01266,False
121,forest rents pct of gdp,-0.01109,False,-0.02822,False
122,capture fisheries production metric tons,0.01099,False,0.02726,False
123,co2 emissions from gaseous fuel consumption kt,0.01076,False,0.03368,False
124,co2 emissions from solid fuel consumption pct of total,0.01061,False,0.02177,False
125,agricultural land pct of land area,-0.01053,False,-0.00981,False
126,number of infant deaths,-0.01033,False,-0.01177,False
127,mineral rents pct of gdp,-0.01024,False,-0.0223,False
128,number of under-five deaths,-0.01023,False,-0.01187,False
129,labor force female pct of total labor force,0.01009,False,0.00442,False
130,forest area sq. km,0.01007,False,0.01828,False
131,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.00996,False,0.01056,False
132,arable land hectares per person,0.00991,False,-0.00546,False
134,population male pct of total,-0.00983,False,-0.02313,False
135,population female pct of total,0.00983,False,0.02313,False
136,population ages 15-64 female pct of total,0.00964,False,0.00728,False
137,number of neonatal deaths,-0.00954,False,-0.01124,False
138,renewable electricity output pct of total electricity output,-0.0093,False,-0.00607,False
139,land under cereal production hectares,-0.00874,False,0.01081,False
140,co2 emissions from liquid fuel consumption pct of total,-0.00872,False,-0.00893,False
141,population ages 30-34 male pct of male population,-0.0082,False,-0.00762,False
143,rural population,-0.00788,False,0.01503,False
144,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,-0.00785,False,-0.01079,False
145,unemployment male pct of male labor force modeled ilo estimate,-0.00785,False,-0.00534,False
146,preprimary education duration years,-0.00769,False,-0.00983,False
147,population ages 0-14 male,-0.00763,False,0.01642,False
148,population ages 0-14 total,-0.00762,False,0.01635,False
149,population ages 0-14 female,-0.00761,False,0.01628,False
150,coal rents pct of gdp,-0.00741,False,0.009,False
151,cereal production metric tons,-0.00688,False,0.01719,False
152,ratio of female to male labor force participation rate pct modeled ilo estimate,0.00666,False,0.00157,False
153,livestock production index 2004-2006 = 100,-0.00647,False,-0.00434,False
154,co2 emissions from gaseous fuel consumption pct of total,0.00614,False,0.01144,False
155,employment to population ratio 15+ female pct modeled ilo estimate,0.00594,False,0.00666,False
156,mobile cellular subscriptions,-0.00587,False,0.00994,False
157,arable land pct of land area,0.00559,False,0.0121,False
158,population ages 35-39 female pct of female population,-0.00534,False,-0.00965,False
159,agricultural land sq. km,-0.00527,False,0.00781,False
160,population male,-0.00509,False,0.02257,False
161,employers female pct of female employment modeled ilo estimate,-0.00498,False,-0.00385,False
162,population ages 15-64 male,-0.00489,False,0.02347,False
163,population ages 15-64 total,-0.00483,False,0.02363,False
164,population ages 15-64 female,-0.00476,False,0.02401,False
165,population female,-0.00467,False,0.02321,False
166,individuals using the internet pct of population,0.00456,False,0.00184,False
167,population total,-0.00454,False,0.02398,False
168,employers total pct of total employment modeled ilo estimate,-0.00453,False,-0.0022,False
169,labor force total,-0.00452,False,0.02667,False
170,primary education duration years,-0.00432,False,-0.00169,False
171,population ages 65 and above female,0.00398,False,0.03246,False
172,employment to population ratio 15+ male pct modeled ilo estimate,-0.00381,False,-0.00494,False
173,natural gas rents pct of gdp,0.00341,False,0.00384,False
174,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.0033,False,0.00068,False
175,death rate crude per 1000 people,0.00312,False,0.00947,False
177,population ages 65 and above total,0.00274,False,0.03153,False
178,food production index 2004-2006 = 100,-0.0027,False,0.00093,False
179,number of maternal deaths,-0.00258,False,-0.00514,False
180,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,-0.00221,False,-0.00321,False
181,employers male pct of male employment modeled ilo estimate,-0.00219,False,0.00019,False
182,co2 emissions from solid fuel consumption kt,-0.00212,False,0.0317,False
183,population density people per sq. km of land area,-0.00167,False,0.02099,False
184,surface area sq. km,0.00152,False,0.00594,False
185,population ages 35-39 male pct of male population,-0.00144,False,-0.00519,False
186,population ages 65 and above male,0.0014,False,0.03209,False
187,employment to population ratio 15+ total pct modeled ilo estimate,0.00133,False,0.00284,False
188,energy intensity level of primary energy mj  2011 ppp gdp,-0.00127,False,0.00773,False
189,total fisheries production metric tons,-0.00088,False,0.02669,False
190,crop production index 2004-2006 = 100,0.00081,False,0.00341,False
191,land area sq. km,0.0007,False,0.00457,False
192,urban population,-0.00044,False,0.02844,False
193,rainfall (mm),-0.00029,False,0.00998,False
