#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,cereal production metric tons,0.04173,True,0.01963,False
2,surface area sq. km,0.03003,False,0.01957,False
3,land area sq. km,0.02887,False,0.01767,False
4,land under cereal production hectares,0.02322,False,0.01813,False
5,cereal yield kg per hectare,0.02217,False,0.02024,False
6,gdp per person employed constant 2011 ppp  ,0.02084,False,0.01863,False
7,population ages 65-69 female pct of female population,0.0202,False,0.0172,False
8,population ages 65-69 male pct of male population,0.01971,False,0.01819,False
9,population ages 65 and above female,0.01917,False,0.01833,False
10,population ages 60-64 female pct of female population,0.0185,False,0.0181,False
11,mobile cellular subscriptions,0.01809,False,0.01912,False
12,fixed telephone subscriptions,0.01789,False,0.01792,False
13,population ages 65 and above total,0.01775,False,0.0183,False
14,population ages 55-59 female pct of female population,0.01767,False,0.01824,False
15,population ages 60-64 male pct of male population,0.0176,False,0.01687,False
16,population ages 55-59 male pct of male population,0.01754,False,0.01838,False
17,individuals using the internet pct of population,0.0168,False,0.0156,False
18,population ages 80 and above male pct of male population,0.01673,False,0.01556,False
19,employment in services male pct of male employment modeled ilo estimate,0.01671,False,0.01948,False
20,urban population,0.01627,False,0.01828,False
21,population ages 65 and above male,0.0162,False,0.0183,False
22,population ages 65 and above male pct of total,0.01604,False,0.01529,False
23,number of maternal deaths,0.01599,False,0.01844,False
24,employment in services pct of total employment modeled ilo estimate,0.01579,False,0.01945,False
25,age dependency ratio old pct of working-age population,0.0155,False,0.01455,False
26,temparature ($^\circ$c),-0.01483,False,-0.01592,False
27,population ages 65 and above pct of total,0.01479,False,0.01368,False
28,population ages 65 and above female pct of total,0.01387,False,0.01287,False
29,self-employed male pct of male employment modeled ilo estimate,-0.0138,False,-0.01795,False
30,wage and salaried workers male pct of male employment modeled ilo estimate,0.0138,False,0.01795,False
31,prevalence of anemia among children pct of children under 5,-0.01363,False,-0.01998,False
32,population ages 70-74 male pct of male population,0.01351,False,0.01353,False
33,wage and salaried workers total pct of total employment modeled ilo estimate,0.0134,False,0.01772,False
34,self-employed total pct of total employment modeled ilo estimate,-0.0134,False,-0.01772,False
35,vulnerable employment male pct of male employment modeled ilo estimate,-0.01302,False,-0.01757,False
36,vulnerable employment total pct of total employment modeled ilo estimate,-0.01286,False,-0.01732,False
37,population ages 70-74 female pct of female population,0.01283,False,0.0133,False
38,employment in services female pct of female employment modeled ilo estimate,0.01281,False,0.01618,False
39,self-employed female pct of female employment modeled ilo estimate,-0.01272,False,-0.01644,False
40,wage and salaried workers female pct of female employment modeled ilo estimate,0.01272,False,0.01644,False
41,vulnerable employment female pct of female employment modeled ilo estimate,-0.01263,False,-0.01618,False
42,population ages 80 and above female pct of female population,0.01252,False,0.01287,False
43,population ages 50-54 male pct of male population,0.01241,False,0.01257,False
44,employment in agriculture male pct of male employment modeled ilo estimate,-0.01237,False,-0.0169,False
45,employment in agriculture pct of total employment modeled ilo estimate,-0.01199,False,-0.01682,False
46,population ages 15-19 female pct of female population,-0.01196,False,-0.0113,False
47,population ages 50-54 female pct of female population,0.01194,False,0.01183,False
48,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.0119,False,-0.01309,False
49,population ages 75-79 male pct of male population,0.01177,False,0.01258,False
50,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.01177,False,-0.01279,False
51,agricultural land sq. km,0.0114,False,0.01556,False
52,population ages 15-19 male pct of male population,-0.01133,False,-0.01163,False
53,forest area sq. km,0.01127,False,0.01526,False
54,mobile cellular subscriptions per 100 people,0.01127,False,0.0143,False
55,employment in agriculture female pct of female employment modeled ilo estimate,-0.01093,False,-0.01548,False
56,urban population pct of total,0.01092,False,0.01185,False
57,rural population pct of total population,-0.01092,False,-0.01185,False
58,population ages 10-14 female pct of female population,-0.01031,False,-0.00893,False
59,contributing family workers female pct of female employment modeled ilo estimate,-0.01021,False,-0.01885,False
60,contributing family workers total pct of total employment modeled ilo estimate,-0.01011,False,-0.0191,False
61,population ages 20-24 female pct of female population,-0.00999,False,-0.01046,False
62,mortality rate neonatal per 1000 live births,-0.00983,False,-0.01028,False
63,population ages 0-14 female pct of total,-0.00979,False,-0.00842,False
64,population ages 0-4 female pct of female population,-0.00977,False,-0.00814,False
65,life expectancy at birth male years,0.00975,False,0.01031,False
66,population ages 10-14 male pct of male population,-0.00974,False,-0.009,False
67,contributing family workers male pct of male employment modeled ilo estimate,-0.00958,False,-0.01932,False
68,population ages 0-14 pct of total,-0.00955,False,-0.00787,False
69,population ages 0-4 male pct of male population,-0.00949,False,-0.01015,False
70,life expectancy at birth total years,0.00946,False,0.01046,False
71,population ages 0-14 male pct of total,-0.00941,False,-0.0078,False
72,urban population growth annual pct,-0.00933,False,-0.0121,False
73,birth rate crude per 1000 people,-0.00921,False,-0.00827,False
74,life expectancy at birth female years,0.00908,False,0.01055,False
75,population ages 5-9 female pct of female population,-0.00901,False,-0.00719,False
76,mortality rate infant per 1000 live births,-0.009,False,-0.00947,False
77,survival to age 65 male pct of cohort,0.00893,False,0.00768,False
78,population ages 75-79 female pct of female population,0.00891,False,0.01035,False
79,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,-0.00879,False,-0.01139,False
80,population ages 20-24 male pct of male population,-0.00872,False,-0.00929,False
81,population ages 25-29 female pct of female population,-0.00871,False,-0.0109,False
82,access to electricity rural pct of rural population,0.0086,False,0.01413,False
83,population ages 5-9 male pct of male population,-0.00859,False,-0.0069,False
84,age dependency ratio young pct of working-age population,-0.00854,False,-0.00673,False
85,fixed telephone subscriptions per 100 people,0.00837,False,0.00902,False
86,mortality rate under-5 per 1000 live births,-0.00821,False,-0.00953,False
87,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.00803,False,-0.01041,False
88,survival to age 65 female pct of cohort,0.00798,False,0.00907,False
89,total natural resources rents pct of gdp,-0.00783,False,-0.01235,False
90,adolescent fertility rate births per 1000 women ages 15-19,-0.00777,False,-0.00518,False
91,access to electricity pct of population,0.00773,False,0.01366,False
92,population female,0.00772,False,0.01822,False
93,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.00767,False,0.00965,False
94,fertility rate total births per woman,-0.00761,False,-0.00812,False
95,population total,0.00742,False,0.01822,False
96,unemployment female pct of female labor force modeled ilo estimate,-0.00729,False,-0.00734,False
97,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.00715,False,-0.00695,False
98,ratio of female to male labor force participation rate pct modeled ilo estimate,0.00713,False,0.0079,False
99,population ages 30-34 female pct of female population,-0.007,False,-0.00833,False
100,employment in industry female pct of female employment modeled ilo estimate,-0.0069,False,-0.00881,False
101,co2 emissions from gaseous fuel consumption kt,0.00687,False,0.01738,False
102,population male,0.00684,False,0.01822,False
103,population ages 15-64 female,0.00684,False,0.01822,False
104,population growth annual pct,-0.00672,False,-0.00842,False
105,labor force female pct of total labor force,0.0067,False,0.0072,False
106,capture fisheries production metric tons,0.0066,False,0.01419,False
107,population ages 15-64 total,0.00659,False,0.01822,False
108,immunization dpt pct of children ages 12-23 months,0.00649,False,0.00449,False
109,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.00637,False,0.0078,False
110,unemployment total pct of total labor force modeled ilo estimate,-0.00636,False,-0.00657,False
111,population ages 15-64 male,0.00636,False,0.01822,False
112,labor force total,0.00624,False,0.01805,False
113,access to electricity urban pct of urban population,0.0061,False,0.01299,False
114,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.00607,False,0.00514,False
115,rainfall (mm),-0.00582,False,-0.00446,False
116,population ages 35-39 female pct of female population,-0.00564,False,-0.00947,False
117,population ages 25-29 male pct of male population,-0.00562,False,-0.00791,False
118,population ages 0-14 female,0.00552,False,0.015,False
119,employment to population ratio 15+ male pct modeled ilo estimate,-0.00545,False,-0.00665,False
120,preprimary education duration years,0.00545,False,0.00636,False
121,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.00542,False,-0.00505,False
122,unemployment male pct of male labor force modeled ilo estimate,-0.0053,False,-0.00573,False
123,population ages 0-14 total,0.00519,False,0.01492,False
124,oil rents pct of gdp,-0.0051,False,-0.00315,False
125,immunization measles pct of children ages 12-23 months,0.00506,False,0.00106,False
126,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.00505,False,0.00788,False
127,natural gas rents pct of gdp,-0.00504,False,-0.0152,False
128,co2 emissions from liquid fuel consumption kt,0.0049,False,0.01498,False
129,population ages 0-14 male,0.00489,False,0.01491,False
130,population ages 30-34 male pct of male population,-0.00466,False,-0.00554,False
131,secondary education duration years,-0.00466,False,-0.00592,False
132,population ages 35-39 male pct of male population,-0.00466,False,-0.0087,False
133,forest rents pct of gdp,-0.00457,False,-0.01072,False
134,employment to population ratio 15+ female pct modeled ilo estimate,0.00441,False,0.00589,False
135,age dependency ratio pct of working-age population,-0.00426,False,-0.001,False
136,population ages 45-49 male pct of male population,0.00406,False,0.00282,False
137,mineral rents pct of gdp,-0.00402,False,-0.00084,False
138,refugee population by country or territory of origin,-0.00402,False,-0.00779,False
139,primary education duration years,0.00373,False,0.00392,False
140,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,-0.00367,False,-0.00903,False
141,population ages 45-49 female pct of female population,0.00364,False,0.00293,False
142,population ages 15-64 male pct of total,0.00363,False,0.001,False
143,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.00363,False,0.00481,False
144,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.00351,False,0.00319,False
145,livestock production index 2004-2006 = 100,-0.00347,False,-0.0048,False
146,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.00332,False,0.00374,False
147,rural population growth annual pct,-0.00329,False,-0.00741,False
148,lifetime risk of maternal death 1 in  rate varies by country,-0.00327,False,0.00297,False
149,food production index 2004-2006 = 100,-0.00327,False,-0.00528,False
150,population ages 15-64 pct of total,0.00326,False,0.001,False
151,number of under-five deaths,-0.00321,False,0.00402,False
152,mortality rate adult male per 1000 male adults,0.00311,False,0.00795,False
153,primary school starting age years,-0.00309,False,-0.00363,False
154,population ages 15-64 female pct of total,0.00309,False,0.00111,False
155,number of infant deaths,-0.00305,False,0.00412,False
156,population density people per sq. km of land area,-0.00302,False,-0.00922,False
157,employment in industry pct of total employment modeled ilo estimate,-0.00301,False,-0.00817,False
158,co2 emissions from liquid fuel consumption pct of total,0.00291,False,0.00495,False
159,number of neonatal deaths,-0.00272,False,0.00559,False
160,population male pct of total,-0.00268,False,-0.00306,False
161,population female pct of total,0.00268,False,0.00306,False
162,mortality rate adult female per 1000 female adults,0.00243,False,0.0094,False
163,permanent cropland pct of land area,0.00231,False,0.01029,False
164,co2 emissions kt,0.00231,False,0.01529,False
165,crop production index 2004-2006 = 100,-0.00229,False,-0.00412,False
166,employment in industry male pct of male employment modeled ilo estimate,0.00205,False,-0.00011,False
167,population ages 40-44 male pct of male population,-0.00181,False,-0.00334,False
168,co2 emissions from solid fuel consumption pct of total,-0.00177,False,0.00226,False
169,employers female pct of female employment modeled ilo estimate,0.00175,False,0.0046,False
170,total fisheries production metric tons,0.00172,False,0.01619,False
171,coal rents pct of gdp,-0.00171,False,0.00997,False
172,maternal mortality ratio modeled estimate per 100000 live births,0.00168,False,0.01054,False
173,population ages 40-44 female pct of female population,-0.00156,False,-0.00331,False
174,energy intensity level of primary energy mj  2011 ppp gdp,0.00155,False,0.00992,False
175,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,-0.00155,False,-0.00208,False
176,co2 emissions metric tons per capita,-0.00152,False,0.00188,False
177,lower secondary school starting age years,0.00149,False,0.0015,False
178,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.0014,False,0.00079,False
179,arable land pct of land area,-0.00123,False,0.00422,False
180,lifetime risk of maternal death pct,0.00122,False,0.01147,False
181,agricultural land pct of land area,-0.00112,False,-0.00199,False
182,co2 emissions from gaseous fuel consumption pct of total,-0.00108,False,0.00147,False
183,co2 emissions from solid fuel consumption kt,0.0009,False,0.01602,False
