#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,urban population growth annual pct,0.0428,True,0.03385,False
2,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.03578,True,0.02352,False
3,food production index 2004-2006 = 100,-0.03524,True,-0.03299,False
4,employment to population ratio 15+ total pct modeled ilo estimate,0.03464,True,0.02483,False
5,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.03422,True,0.02463,False
6,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.03383,False,0.0221,False
7,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,0.03376,False,0.022,False
8,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.03272,False,0.0278,False
9,crop production index 2004-2006 = 100,-0.03228,False,-0.033,False
10,mobile cellular subscriptions per 100 people,-0.03225,False,-0.03239,False
11,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.03204,False,0.02344,False
12,employment to population ratio 15+ male pct modeled ilo estimate,0.03145,False,0.02867,False
13,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.03135,False,0.02529,False
14,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.03112,False,0.02521,False
15,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.03104,False,0.02191,False
16,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.03099,False,0.02253,False
17,urban population pct of total,-0.03027,False,-0.02492,False
18,rural population pct of total population,0.03027,False,0.02492,False
19,access to electricity rural pct of rural population,-0.02996,False,-0.02227,False
20,employment in services pct of total employment modeled ilo estimate,-0.02974,False,-0.02497,False
21,employment in agriculture pct of total employment modeled ilo estimate,0.0296,False,0.02263,False
22,employment in agriculture female pct of female employment modeled ilo estimate,0.02952,False,0.02334,False
23,employment in services female pct of female employment modeled ilo estimate,-0.02905,False,-0.02485,False
24,livestock production index 2004-2006 = 100,-0.0286,False,-0.03172,False
25,employment in services male pct of male employment modeled ilo estimate,-0.02713,False,-0.02402,False
26,employment to population ratio 15+ female pct modeled ilo estimate,0.02701,False,0.01821,False
27,employment in agriculture male pct of male employment modeled ilo estimate,0.02695,False,0.02247,False
28,mortality rate neonatal per 1000 live births,0.02685,False,0.0192,False
29,access to electricity pct of population,-0.02639,False,-0.02262,False
30,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.02614,False,0.02293,False
31,secondary education duration years,-0.02484,False,-0.027,False
32,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.02462,False,0.01705,False
33,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.02456,False,0.01786,False
34,renewable energy consumption pct of total final energy consumption,0.02445,False,0.01607,False
35,renewable electricity output pct of total electricity output,0.02392,False,0.01714,False
36,population ages 5-9 male pct of male population,0.02301,False,0.02142,False
37,population ages 5-9 female pct of female population,0.02277,False,0.02174,False
38,individuals using the internet pct of population,-0.0225,False,-0.02712,False
39,population ages 0-14 pct of total,0.02239,False,0.02095,False
40,population ages 0-14 male pct of total,0.02232,False,0.02127,False
41,population ages 0-14 female pct of total,0.02208,False,0.02108,False
42,population ages 10-14 female pct of female population,0.02203,False,0.02092,False
43,population ages 0-4 male pct of male population,0.02172,False,0.02119,False
44,prevalence of anemia among children pct of children under 5,0.02144,False,0.01987,False
45,population ages 50-54 male pct of male population,-0.02129,False,-0.02065,False
46,population ages 10-14 male pct of male population,0.02104,False,0.01957,False
47,population ages 0-4 female pct of female population,0.02085,False,0.02124,False
48,population ages 50-54 female pct of female population,-0.02082,False,-0.01932,False
49,age dependency ratio young pct of working-age population,0.02061,False,0.02104,False
50,population ages 15-64 pct of total,-0.01973,False,-0.02033,False
51,population ages 15-64 male pct of total,-0.01971,False,-0.02058,False
52,employment in industry male pct of male employment modeled ilo estimate,-0.01966,False,-0.01357,False
53,population ages 15-64 female pct of total,-0.01956,False,-0.01979,False
54,population ages 45-49 male pct of male population,-0.01951,False,-0.01816,False
55,population ages 55-59 male pct of male population,-0.01938,False,-0.01789,False
56,population ages 45-49 female pct of female population,-0.01938,False,-0.01823,False
57,population ages 75-79 male pct of male population,-0.01935,False,-0.02041,False
58,population ages 65 and above male pct of total,-0.01915,False,-0.01911,False
59,population ages 80 and above male pct of male population,-0.01897,False,-0.02231,False
60,population ages 15-19 female pct of female population,0.01891,False,0.0189,False
61,population ages 55-59 female pct of female population,-0.01873,False,-0.01599,False
62,population ages 80 and above female pct of female population,-0.01866,False,-0.02253,False
63,population ages 70-74 male pct of male population,-0.01865,False,-0.01848,False
64,population ages 65 and above pct of total,-0.01863,False,-0.01802,False
65,population ages 65-69 male pct of male population,-0.01844,False,-0.0171,False
66,population ages 75-79 female pct of female population,-0.01841,False,-0.01858,False
67,age dependency ratio pct of working-age population,0.01835,False,0.02029,False
68,population ages 65 and above female pct of total,-0.01814,False,-0.01769,False
69,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.01809,False,0.01636,False
70,birth rate crude per 1000 people,0.01798,False,0.01981,False
71,wage and salaried workers female pct of female employment modeled ilo estimate,-0.01788,False,-0.01525,False
72,self-employed female pct of female employment modeled ilo estimate,0.01788,False,0.01525,False
73,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.01781,False,-0.02043,False
74,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.01758,False,-0.02341,False
75,population ages 60-64 male pct of male population,-0.01735,False,-0.01647,False
76,age dependency ratio old pct of working-age population,-0.01734,False,-0.0178,False
77,fixed telephone subscriptions per 100 people,-0.01723,False,-0.0185,False
78,unemployment female pct of female labor force modeled ilo estimate,-0.01714,False,-0.02579,False
79,population ages 70-74 female pct of female population,-0.01711,False,-0.01626,False
80,population ages 15-19 male pct of male population,0.01708,False,0.01639,False
81,vulnerable employment female pct of female employment modeled ilo estimate,0.01706,False,0.01527,False
82,gdp per person employed constant 2011 ppp  ,-0.01666,False,-0.02063,False
83,population ages 65-69 female pct of female population,-0.01664,False,-0.01578,False
84,employment in industry pct of total employment modeled ilo estimate,-0.01645,False,-0.01037,False
85,unemployment total pct of total labor force modeled ilo estimate,-0.01641,False,-0.02286,False
86,life expectancy at birth female years,-0.01621,False,-0.01934,False
87,population ages 60-64 female pct of female population,-0.01609,False,-0.01484,False
88,mortality rate infant per 1000 live births,0.01602,False,0.01552,False
89,wage and salaried workers total pct of total employment modeled ilo estimate,-0.01576,False,-0.01445,False
90,self-employed total pct of total employment modeled ilo estimate,0.01576,False,0.01445,False
91,vulnerable employment total pct of total employment modeled ilo estimate,0.01553,False,0.01411,False
92,population ages 40-44 female pct of female population,-0.01552,False,-0.01639,False
93,rainfall (mm),0.01548,False,0.01502,False
94,adolescent fertility rate births per 1000 women ages 15-19,0.01544,False,0.01369,False
95,fertility rate total births per woman,0.0154,False,0.01971,False
96,maternal mortality ratio modeled estimate per 100000 live births,0.01539,False,0.01966,False
97,population ages 40-44 male pct of male population,-0.01537,False,-0.01603,False
98,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.0153,False,-0.01905,False
99,lower secondary school starting age years,-0.01522,False,-0.0182,False
100,permanent cropland pct of land area,0.01487,False,0.00269,False
101,lifetime risk of maternal death 1 in  rate varies by country,-0.01473,False,-0.02114,False
102,life expectancy at birth total years,-0.01468,False,-0.01833,False
103,survival to age 65 female pct of cohort,-0.01442,False,-0.01818,False
104,co2 emissions metric tons per capita,-0.0141,False,-0.02107,False
105,population ages 35-39 female pct of female population,-0.01372,False,-0.01249,False
106,unemployment male pct of male labor force modeled ilo estimate,-0.01368,False,-0.0181,False
107,agricultural land pct of land area,-0.01332,False,-0.01721,False
108,population growth annual pct,0.01321,False,0.01915,False
109,employers female pct of female employment modeled ilo estimate,0.01315,False,0.0149,False
110,population ages 35-39 male pct of male population,-0.01304,False,-0.01312,False
111,life expectancy at birth male years,-0.01301,False,-0.01602,False
112,vulnerable employment male pct of male employment modeled ilo estimate,0.01274,False,0.01459,False
113,primary education duration years,-0.01258,False,-0.01865,False
114,cereal yield kg per hectare,-0.01256,False,-0.01557,False
115,mortality rate under-5 per 1000 live births,0.01238,False,0.01463,False
116,wage and salaried workers male pct of male employment modeled ilo estimate,-0.0123,False,-0.01299,False
117,self-employed male pct of male employment modeled ilo estimate,0.0123,False,0.01299,False
118,survival to age 65 male pct of cohort,-0.01216,False,-0.01541,False
119,population ages 20-24 female pct of female population,0.01198,False,0.01004,False
120,lifetime risk of maternal death pct,0.0118,False,0.01951,False
121,agricultural land sq. km,-0.01113,False,-0.01188,False
122,mortality rate adult female per 1000 female adults,0.01091,False,0.017,False
123,arable land hectares per person,-0.01083,False,-0.0159,False
124,population ages 20-24 male pct of male population,0.01083,False,0.01004,False
