#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,capture fisheries production metric tons,0.12185,True,0.05579,True
2,rural population,0.12009,True,0.0547,True
3,cereal production metric tons,0.11443,True,0.0554,True
4,labor force total,0.11425,True,0.05354,True
5,population ages 0-14 female,0.11189,True,0.05491,True
6,population total,0.11144,True,0.05388,True
7,population ages 0-14 total,0.11125,True,0.05472,True
8,population female,0.11119,True,0.05388,True
9,population ages 0-14 male,0.11066,True,0.05456,True
10,population male,0.11065,True,0.05371,True
11,population ages 15-64 female,0.11012,True,0.05393,True
12,population ages 15-64 total,0.10999,True,0.05393,True
13,population ages 15-64 male,0.10986,True,0.05393,True
14,agricultural land sq. km,0.10945,True,0.056,True
15,land under cereal production hectares,0.10495,True,0.05416,True
16,population ages 65 and above male,0.10138,True,0.05398,True
17,population ages 65 and above total,0.10131,True,0.05399,True
18,population ages 65 and above female,0.1011,True,0.05399,True
19,total fisheries production metric tons,0.09865,True,0.05299,True
20,urban population,0.09465,True,0.05393,True
21,co2 emissions from solid fuel consumption kt,0.09043,True,0.05497,True
22,co2 emissions kt,0.08635,True,0.05356,True
23,fixed telephone subscriptions,0.08587,True,0.05363,True
24,land area sq. km,0.084,True,0.05494,True
25,surface area sq. km,0.08252,True,0.05124,True
26,co2 emissions from solid fuel consumption pct of total,0.07612,True,0.05321,True
27,employment in industry female pct of female employment modeled ilo estimate,0.06969,True,0.04663,True
28,co2 emissions from liquid fuel consumption kt,0.06499,True,0.05286,True
29,coal rents pct of gdp,0.06314,True,0.04281,True
30,number of neonatal deaths,0.05691,True,0.0511,True
31,number of infant deaths,0.05431,True,0.04849,True
32,co2 emissions from liquid fuel consumption pct of total,-0.05162,True,-0.04941,True
33,number of under-five deaths,0.04825,True,0.04784,True
34,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.04406,True,0.04303,True
35,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.04337,True,0.04164,True
36,forest area sq. km,0.04284,True,0.04866,True
37,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.04045,True,0.0397,True
38,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.03983,True,0.04088,True
39,employment to population ratio 15+ total pct modeled ilo estimate,0.03949,True,0.04097,True
40,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,0.03899,True,0.04035,True
41,employment to population ratio 15+ female pct modeled ilo estimate,0.03796,True,0.04465,True
