#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,secondary education duration years,0.03891,True,0.02278,False,Decision
2,population ages 70-74 male pct of male population,0.0355,True,0.02092,False,Decision
3,population ages 70-74 female pct of female population,0.03237,False,0.02091,False,Decision
4,population growth annual pct,-0.02985,False,-0.02087,False,Decision
5,lower secondary school starting age years,-0.02933,False,-0.02209,False,Decision
6,primary education duration years,-0.02924,False,-0.02375,False,Decision
7,age dependency ratio old pct of working-age population,0.02902,False,0.02051,False,Decision
8,population ages 65 and above male pct of total,0.02829,False,0.02051,False,Decision
9,population ages 75-79 male pct of male population,0.02805,False,0.01996,False,Decision
10,population ages 65 and above pct of total,0.02758,False,0.02052,False,Decision
11,population ages 65 and above female pct of total,0.02696,False,0.02053,False,Decision
12,urban population growth annual pct,-0.02676,False,-0.02079,False,Decision
13,population ages 80 and above female pct of female population,0.02575,False,0.02009,False,Decision
14,population ages 75-79 female pct of female population,0.0253,False,0.01951,False,Decision
15,population ages 65-69 male pct of male population,0.02499,False,0.01985,False,Decision
16,fixed telephone subscriptions per 100 people,0.02371,False,0.019,False,Decision
17,population ages 80 and above male pct of male population,0.02266,False,0.01857,False,Decision
18,population ages 65-69 female pct of female population,0.02263,False,0.01898,False,Decision
19,lifetime risk of maternal death 1 in  rate varies by country,0.02213,False,0.01732,False,Decision
20,population ages 15-19 female pct of female population,-0.02067,False,-0.01972,False,Decision
21,population ages 45-49 male pct of male population,0.02057,False,0.02037,False,Decision
22,population ages 50-54 male pct of male population,0.02008,False,0.02002,False,Decision
23,population ages 20-24 female pct of female population,-0.0198,False,-0.0188,False,Decision
24,population ages 15-19 male pct of male population,-0.01975,False,-0.01912,False,Decision
25,population ages 20-24 male pct of male population,-0.01894,False,-0.01827,False,Decision
26,individuals using the internet pct of population,0.01891,False,0.01735,False,Decision
27,rural population growth annual pct,-0.01878,False,-0.01922,False,Decision
28,population ages 45-49 female pct of female population,0.01856,False,0.01855,False,Decision
29,population ages 50-54 female pct of female population,0.01817,False,0.01898,False,Decision
30,arable land pct of land area,0.01817,False,0.01743,False,Decision
31,population ages 55-59 male pct of male population,0.01805,False,0.01863,False,Decision
32,employment in industry male pct of male employment modeled ilo estimate,0.01768,False,0.01842,False,Decision
33,population ages 25-29 female pct of female population,-0.01744,False,-0.01844,False,Decision
34,population ages 10-14 female pct of female population,-0.01742,False,-0.01872,False,Decision
35,population ages 55-59 female pct of female population,0.017,False,0.01787,False,Decision
36,population ages 10-14 male pct of male population,-0.01669,False,-0.01869,False,Decision
37,population ages 0-14 female pct of total,-0.01608,False,-0.01997,False,Decision
38,population ages 5-9 female pct of female population,-0.01599,False,-0.01999,False,Decision
39,population ages 0-14 pct of total,-0.01584,False,-0.02016,False,Decision
40,population ages 60-64 male pct of male population,0.01575,False,0.01599,False,Decision
41,population ages 0-14 male pct of total,-0.01567,False,-0.02007,False,Decision
42,population ages 5-9 male pct of male population,-0.01564,False,-0.01992,False,Decision
43,population ages 30-34 female pct of female population,-0.01557,False,-0.01906,False,Decision
44,population ages 0-4 female pct of female population,-0.0148,False,-0.01999,False,Decision
45,population ages 0-4 male pct of male population,-0.0145,False,-0.02,False,Decision
46,population ages 60-64 female pct of female population,0.01423,False,0.01314,False,Decision
47,cereal yield kg per hectare,0.01374,False,0.01503,False,Decision
48,birth rate crude per 1000 people,-0.0136,False,-0.02014,False,Decision
49,population ages 25-29 male pct of male population,-0.01309,False,-0.01759,False,Decision
50,gdp per person employed constant 2011 ppp  ,0.01296,False,0.01426,False,Decision
51,age dependency ratio young pct of working-age population,-0.01289,False,-0.01958,False,Decision
52,vulnerable employment male pct of male employment modeled ilo estimate,-0.01275,False,-0.01703,False,Decision
53,prevalence of anemia among children pct of children under 5,-0.01264,False,-0.01605,False,Decision
54,self-employed male pct of male employment modeled ilo estimate,-0.0126,False,-0.0155,False,Decision
