#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,refugee population by country or territory of origin,0.09171,True,0.07943,True
2,number of maternal deaths,0.066,True,0.07611,True
3,gdp per person employed constant 2011 ppp  ,0.06066,True,0.05989,True
4,number of under-five deaths,0.05765,True,0.07559,True
5,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,-0.0573,True,-0.05935,True
6,number of infant deaths,0.05503,True,0.07501,True
7,employment in services pct of total employment modeled ilo estimate,0.05255,True,0.05917,True
8,employment in services male pct of male employment modeled ilo estimate,0.04784,True,0.05211,True
9,employment to population ratio 15+ male pct modeled ilo estimate,-0.04737,True,-0.04953,True
10,number of neonatal deaths,0.04723,True,0.07463,True
11,employment in services female pct of female employment modeled ilo estimate,0.0472,True,0.05346,True
12,agricultural land sq. km,0.04706,True,0.06423,True
13,self-employed female pct of female employment modeled ilo estimate,-0.04664,True,-0.04846,True
14,wage and salaried workers female pct of female employment modeled ilo estimate,0.04664,True,0.04846,True
15,vulnerable employment female pct of female employment modeled ilo estimate,-0.04661,True,-0.04767,True
16,forest area sq. km,0.04652,True,0.063,True
17,wage and salaried workers total pct of total employment modeled ilo estimate,0.04627,True,0.04927,True
18,self-employed total pct of total employment modeled ilo estimate,-0.04627,True,-0.04927,True
19,employment in agriculture male pct of male employment modeled ilo estimate,-0.04574,True,-0.05096,True
20,employment in agriculture pct of total employment modeled ilo estimate,-0.0456,True,-0.05277,True
21,vulnerable employment total pct of total employment modeled ilo estimate,-0.04511,True,-0.0468,True
22,self-employed male pct of male employment modeled ilo estimate,-0.04456,True,-0.04807,True
23,wage and salaried workers male pct of male employment modeled ilo estimate,0.04456,True,0.04807,True
24,vulnerable employment male pct of male employment modeled ilo estimate,-0.04334,True,-0.0457,True
25,employment in agriculture female pct of female employment modeled ilo estimate,-0.04296,True,-0.04828,True
26,land under cereal production hectares,0.04134,True,0.06448,True
27,population ages 0-14 female,0.03939,True,0.07275,True
28,contributing family workers female pct of female employment modeled ilo estimate,-0.03914,True,-0.04723,True
29,contributing family workers total pct of total employment modeled ilo estimate,-0.03805,True,-0.04559,True
30,population ages 0-14 total,0.0379,True,0.07275,True
31,population ages 0-14 male,0.03656,True,0.07275,True
32,contributing family workers male pct of male employment modeled ilo estimate,-0.03538,True,-0.04098,True
33,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.03503,True,0.0401,True
34,ratio of female to male labor force participation rate pct modeled ilo estimate,0.03155,False,0.03838,True
36,labor force female pct of total labor force,0.02936,False,0.03747,True
37,co2 emissions from gaseous fuel consumption kt,0.02836,False,0.07175,True
38,capture fisheries production metric tons,0.02723,False,0.05859,True
41,population female,0.02538,False,0.06898,True
42,population male,0.02385,False,0.07027,True
46,population ages 15-64 female,0.02139,False,0.06886,True
47,rural population,0.02125,False,0.07356,True
48,population total,0.02124,False,0.06969,True
49,population ages 15-64 total,0.02082,False,0.06896,True
50,urban population,0.02038,False,0.06724,True
52,population ages 15-64 male,0.02027,False,0.06896,True
53,co2 emissions from liquid fuel consumption kt,0.02021,False,0.06183,True
55,cereal production metric tons,0.01932,False,0.06539,True
56,population ages 65 and above female,0.01927,False,0.06565,True
58,population ages 65 and above total,0.01739,False,0.06683,True
70,population ages 65 and above male,0.01534,False,0.06691,True
73,mortality rate neonatal per 1000 live births,0.01516,False,0.03739,True
85,population ages 15-64 female pct of total,-0.01402,False,-0.03918,True
87,population ages 15-64 pct of total,-0.01388,False,-0.03691,True
88,population ages 15-64 male pct of total,-0.01363,False,-0.03458,True
89,age dependency ratio young pct of working-age population,0.0136,False,0.03418,True
91,prevalence of anemia among children pct of children under 5,0.01351,False,0.03708,True
96,age dependency ratio pct of working-age population,0.01307,False,0.03939,True
105,life expectancy at birth total years,-0.01262,False,-0.03482,True
111,mobile cellular subscriptions,0.01193,False,0.06549,True
112,mortality rate infant per 1000 live births,0.01188,False,0.03914,True
115,life expectancy at birth female years,-0.01184,False,-0.03634,True
120,survival to age 65 female pct of cohort,-0.01126,False,-0.03746,True
127,mortality rate adult female per 1000 female adults,0.01003,False,0.03881,True
131,mortality rate under-5 per 1000 live births,0.00955,False,0.04096,True
132,permanent cropland pct of land area,0.00953,False,0.04248,True
133,co2 emissions kt,0.00953,False,0.06312,True
137,access to electricity rural pct of rural population,-0.0092,False,-0.03713,True
138,fixed telephone subscriptions,0.00908,False,0.06071,True
139,fertility rate total births per woman,0.00906,False,0.03956,True
142,natural gas rents pct of gdp,0.00812,False,0.05277,True
150,access to electricity pct of population,-0.0072,False,-0.04165,True
151,total fisheries production metric tons,0.00708,False,0.06684,True
153,maternal mortality ratio modeled estimate per 100000 live births,0.00693,False,0.04353,True
155,energy intensity level of primary energy mj  2011 ppp gdp,0.0064,False,0.04096,True
163,lifetime risk of maternal death pct,0.00502,False,0.04734,True
164,coal rents pct of gdp,-0.00475,False,0.05012,True
168,immunization dpt pct of children ages 12-23 months,-0.00427,False,-0.03662,True
169,access to electricity urban pct of urban population,-0.00405,False,-0.04872,True
170,immunization measles pct of children ages 12-23 months,-0.00403,False,-0.03398,True
171,co2 emissions from solid fuel consumption kt,0.00373,False,0.06612,True
176,oil rents pct of gdp,-0.00336,False,0.04934,True
186,mineral rents pct of gdp,-0.00194,False,0.04933,True
187,population density people per sq. km of land area,0.00184,False,0.06577,True
190,forest rents pct of gdp,0.00071,False,0.05034,True
35,employment in industry male pct of male employment modeled ilo estimate,0.03043,False,0.03227,False
39,mobile cellular subscriptions per 100 people,-0.02695,False,-0.03213,False
40,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.02674,False,0.0278,False
43,labor force participation rate for ages 15-24 male pct modeled ilo estimate,-0.02182,False,-0.02232,False
44,individuals using the internet pct of population,-0.0217,False,-0.01224,False
45,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,-0.02152,False,-0.02665,False
