#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,immunization measles pct of children ages 12-23 months,-0.09111,True,-0.05535,True,Decision
2,lifetime risk of maternal death pct,0.0841,True,0.05646,True,Decision
3,employment in agriculture male pct of male employment modeled ilo estimate,0.08378,True,0.06313,True,Decision
4,employment in agriculture pct of total employment modeled ilo estimate,0.08107,True,0.06154,True,Decision
5,employment in services male pct of male employment modeled ilo estimate,-0.07972,True,-0.06278,True,Decision
6,employment in services pct of total employment modeled ilo estimate,-0.07895,True,-0.06199,True,Decision
7,immunization dpt pct of children ages 12-23 months,-0.07856,True,-0.05372,True,Decision
8,access to electricity rural pct of rural population,-0.0773,True,-0.05865,True,Decision
9,access to electricity urban pct of urban population,-0.07723,True,-0.0591,True,Decision
10,employment in services female pct of female employment modeled ilo estimate,-0.07536,True,-0.06205,True,Decision
11,adolescent fertility rate births per 1000 women ages 15-19,0.07449,True,0.05311,True,Decision
12,fertility rate total births per woman,0.07154,True,0.05657,True,Decision
13,contributing family workers female pct of female employment modeled ilo estimate,0.07121,True,0.05425,True,Decision
14,employment in agriculture female pct of female employment modeled ilo estimate,0.07017,True,0.05671,True,Decision
15,maternal mortality ratio modeled estimate per 100000 live births,0.0701,True,0.05504,True,Decision
16,age dependency ratio pct of working-age population,0.06968,True,0.05666,True,Decision
17,employment in industry male pct of male employment modeled ilo estimate,-0.06868,True,-0.06101,True,Decision
18,access to electricity pct of population,-0.0683,True,-0.0569,True,Decision
19,birth rate crude per 1000 people,0.06741,True,0.0547,True,Decision
20,age dependency ratio young pct of working-age population,0.06686,True,0.0555,True,Decision
21,population ages 15-64 female pct of total,-0.06579,True,-0.05701,True,Decision
22,mortality rate under-5 per 1000 live births,0.06455,True,0.05408,True,Decision
23,contributing family workers total pct of total employment modeled ilo estimate,0.06439,True,0.05317,True,Decision
24,population ages 0-4 female pct of female population,0.06423,True,0.05441,True,Decision
25,population ages 0-4 male pct of male population,0.0642,True,0.05503,True,Decision
26,vulnerable employment male pct of male employment modeled ilo estimate,0.06344,True,0.05449,True,Decision
27,population ages 15-64 pct of total,-0.06318,True,-0.05614,True,Decision
28,prevalence of anemia among children pct of children under 5,0.06278,True,0.05525,True,Decision
29,self-employed male pct of male employment modeled ilo estimate,0.0621,True,0.05376,True,Decision
30,wage and salaried workers male pct of male employment modeled ilo estimate,-0.0621,True,-0.05376,True,Decision
31,renewable energy consumption pct of total final energy consumption,0.06127,True,0.05141,True,Decision
32,oil rents pct of gdp,0.06117,True,0.05807,True,Decision
33,population ages 15-64 male pct of total,-0.06097,True,-0.05554,True,Decision
34,life expectancy at birth female years,-0.06091,True,-0.05272,True,Decision
35,life expectancy at birth total years,-0.06048,True,-0.05232,True,Decision
36,vulnerable employment total pct of total employment modeled ilo estimate,0.06033,True,0.05454,True,Decision
37,population ages 0-14 pct of total,0.05952,True,0.05366,True,Decision
38,life expectancy at birth male years,-0.05938,True,-0.05231,True,Decision
39,self-employed total pct of total employment modeled ilo estimate,0.05934,True,0.05459,True,Decision
40,wage and salaried workers total pct of total employment modeled ilo estimate,-0.05934,True,-0.05459,True,Decision
41,population ages 0-14 female pct of total,0.05934,True,0.05379,True,Decision
42,population ages 0-14 male pct of total,0.05902,True,0.05368,True,Decision
43,survival to age 65 female pct of cohort,-0.05896,True,-0.05214,True,Decision
44,population ages 5-9 female pct of female population,0.05868,True,0.05348,True,Decision
45,mortality rate neonatal per 1000 live births,0.05867,True,0.05343,True,Decision
46,population ages 5-9 male pct of male population,0.05842,True,0.05335,True,Decision
47,mortality rate infant per 1000 live births,0.05801,True,0.05232,True,Decision
48,co2 emissions from liquid fuel consumption pct of total,0.05707,True,0.05526,True,Decision
49,vulnerable employment female pct of female employment modeled ilo estimate,0.05667,True,0.05364,True,Decision
50,wage and salaried workers female pct of female employment modeled ilo estimate,-0.0558,True,-0.05353,True,Decision
51,self-employed female pct of female employment modeled ilo estimate,0.0558,True,0.05353,True,Decision
52,mobile cellular subscriptions per 100 people,-0.05548,True,-0.05195,True,Decision
53,mortality rate adult female per 1000 female adults,0.05507,True,0.05119,True,Decision
54,survival to age 65 male pct of cohort,-0.05448,True,-0.05041,True,Decision
55,population ages 40-44 female pct of female population,-0.05381,True,-0.05121,True,Decision
56,population ages 35-39 female pct of female population,-0.05334,True,-0.05147,True,Decision
57,death rate crude per 1000 people,0.052,True,0.04402,True,Decision
58,employment in industry pct of total employment modeled ilo estimate,-0.0515,True,-0.04181,True,Decision
59,population ages 40-44 male pct of male population,-0.05122,True,-0.05077,True,Decision
60,population ages 45-49 male pct of male population,-0.05089,True,-0.04951,True,Decision
61,rural population growth annual pct,0.05039,True,0.05267,True,Decision
62,rural population pct of total population,0.05002,True,0.04747,True,Decision
63,urban population pct of total,-0.05002,True,-0.04747,True,Decision
64,mortality rate adult male per 1000 male adults,0.04995,True,0.05051,True,Decision
65,total natural resources rents pct of gdp,0.04995,True,0.04835,True,Decision
66,population ages 45-49 female pct of female population,-0.04943,True,-0.04863,True,Decision
67,contributing family workers male pct of male employment modeled ilo estimate,0.04933,True,0.05307,True,Decision
68,population ages 10-14 female pct of female population,0.049,True,0.04897,True,Decision
69,population ages 10-14 male pct of male population,0.04774,True,0.04748,True,Decision
70,population ages 50-54 male pct of male population,-0.04734,True,-0.04775,True,Decision
71,refugee population by country or territory of origin,0.04641,True,0.05743,True,Decision
72,population ages 35-39 male pct of male population,-0.04626,True,-0.05135,True,Decision
73,population ages 50-54 female pct of female population,-0.0456,True,-0.04612,True,Decision
74,population ages 55-59 male pct of male population,-0.04382,True,-0.04637,True,Decision
75,population ages 55-59 female pct of female population,-0.04342,True,-0.04587,True,Decision
76,cereal yield kg per hectare,-0.04318,True,-0.05438,True,Decision
77,individuals using the internet pct of population,-0.04216,True,-0.04748,True,Decision
78,population growth annual pct,0.04184,True,0.04749,True,Decision
79,temparature ($^\circ$c),0.04062,True,0.05544,True,Decision
80,gdp per person employed constant 2011 ppp  ,-0.0403,True,-0.04878,True,Decision
81,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.03974,True,0.04351,True,Decision
82,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.03912,True,0.04306,True,Decision
83,population ages 30-34 female pct of female population,-0.03822,True,-0.04206,True,Decision
84,population ages 60-64 female pct of female population,-0.03822,True,-0.04323,True,Decision
85,population ages 60-64 male pct of male population,-0.03787,True,-0.04269,True,Decision
86,employers male pct of male employment modeled ilo estimate,-0.03672,True,-0.04394,True,Decision
87,forest area pct of land area,-0.03665,True,-0.03811,True,Decision
88,population ages 65-69 female pct of female population,-0.0363,True,-0.04105,True,Decision
89,fixed telephone subscriptions per 100 people,-0.03622,True,-0.04225,True,Decision
90,population ages 65-69 male pct of male population,-0.03599,True,-0.04287,True,Decision
91,population ages 70-74 male pct of male population,-0.03592,True,-0.04241,True,Decision
92,population ages 65 and above male pct of total,-0.03562,True,-0.041,True,Decision
93,employers female pct of female employment modeled ilo estimate,-0.03557,True,-0.04361,True,Decision
94,population ages 65 and above pct of total,-0.03527,True,-0.03971,True,Decision
95,population ages 70-74 female pct of female population,-0.03493,True,-0.04108,True,Decision
96,population ages 65 and above female pct of total,-0.03488,True,-0.03919,True,Decision
97,population ages 75-79 male pct of male population,-0.03469,True,-0.03979,True,Decision
99,population ages 75-79 female pct of female population,-0.03421,True,-0.03959,True,Decision
100,co2 emissions from gaseous fuel consumption pct of total,-0.03356,False,-0.04182,True,Decision
