#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,temparature ($^\circ$c),-0.24456,True,-0.19752,True
2,fixed telephone subscriptions per 100 people,0.15891,True,0.14488,True
3,population ages 75-79 female pct of female population,0.15566,True,0.14216,True
4,population ages 65-69 female pct of female population,0.14759,True,0.13718,True
5,population ages 70-74 female pct of female population,0.14256,True,0.13895,True
6,population ages 65-69 male pct of male population,0.14115,True,0.13995,True
7,population ages 65 and above female pct of total,0.13946,True,0.13155,True
8,population ages 65 and above pct of total,0.13521,True,0.1313,True
9,population ages 70-74 male pct of male population,0.13425,True,0.13566,True
10,age dependency ratio old pct of working-age population,0.13195,True,0.13058,True
11,population ages 20-24 female pct of female population,-0.13191,True,-0.13323,True
12,population ages 75-79 male pct of male population,0.13065,True,0.13437,True
13,population ages 65 and above male pct of total,0.12702,True,0.12912,True
14,population ages 0-4 female pct of female population,-0.12438,True,-0.14741,True
15,population ages 15-19 female pct of female population,-0.12261,True,-0.11918,True
16,population ages 20-24 male pct of male population,-0.11995,True,-0.12416,True
17,population ages 0-14 female pct of total,-0.11885,True,-0.12504,True
18,population ages 0-4 male pct of male population,-0.11665,True,-0.14047,True
19,birth rate crude per 1000 people,-0.11534,True,-0.15005,True
20,population ages 5-9 female pct of female population,-0.11513,True,-0.11877,True
21,population ages 80 and above female pct of female population,0.11405,True,0.11497,True
22,population ages 0-14 pct of total,-0.11278,True,-0.11766,True
23,population ages 50-54 male pct of male population,0.1098,True,0.10462,True
24,population ages 10-14 female pct of female population,-0.1082,True,-0.10433,True
25,population ages 0-14 male pct of total,-0.10791,True,-0.11361,True
26,population ages 40-44 female pct of female population,0.10609,True,0.11069,True
27,fertility rate total births per woman,-0.10462,True,-0.15242,True
28,population ages 5-9 male pct of male population,-0.10432,True,-0.10612,True
29,employment in industry male pct of male employment modeled ilo estimate,0.10392,True,0.12051,True
30,population ages 15-19 male pct of male population,-0.10128,True,-0.1063,True
31,population ages 40-44 male pct of male population,0.1011,True,0.114,True
32,age dependency ratio young pct of working-age population,-0.10106,True,-0.11412,True
33,population ages 50-54 female pct of female population,0.1005,True,0.09485,True
34,vulnerable employment female pct of female employment modeled ilo estimate,-0.09934,True,-0.10308,True
35,population ages 55-59 male pct of male population,0.09923,True,0.09798,True
36,self-employed female pct of female employment modeled ilo estimate,-0.09789,True,-0.10363,True
37,wage and salaried workers female pct of female employment modeled ilo estimate,0.09789,True,0.10363,True
38,population ages 35-39 female pct of female population,0.09748,True,0.08755,True
39,lifetime risk of maternal death 1 in  rate varies by country,0.09745,True,0.11414,True
40,vulnerable employment total pct of total employment modeled ilo estimate,-0.09579,True,-0.10404,True
41,population ages 45-49 male pct of male population,0.09576,True,0.09555,True
42,self-employed total pct of total employment modeled ilo estimate,-0.09504,True,-0.10415,True
43,wage and salaried workers total pct of total employment modeled ilo estimate,0.09504,True,0.10415,True
44,adolescent fertility rate births per 1000 women ages 15-19,-0.0948,True,-0.11278,True
45,population growth annual pct,-0.09405,True,-0.11733,True
46,urban population growth annual pct,-0.09326,True,-0.10966,True
47,prevalence of anemia among children pct of children under 5,-0.09319,True,-0.09341,True
48,vulnerable employment male pct of male employment modeled ilo estimate,-0.0929,True,-0.10316,True
49,population ages 45-49 female pct of female population,0.09169,True,0.09513,True
50,population ages 10-14 male pct of male population,-0.09165,True,-0.08715,True
51,self-employed male pct of male employment modeled ilo estimate,-0.09094,True,-0.10133,True
52,wage and salaried workers male pct of male employment modeled ilo estimate,0.09094,True,0.10133,True
53,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.09031,True,-0.09681,True
54,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.08984,True,-0.09626,True
55,population ages 80 and above male pct of male population,0.08953,True,0.1043,True
56,life expectancy at birth female years,0.08828,True,0.09642,True
57,survival to age 65 female pct of cohort,0.08797,True,0.10332,True
58,population ages 55-59 female pct of female population,0.08677,True,0.08276,True
59,employment in agriculture male pct of male employment modeled ilo estimate,-0.08608,True,-0.09287,True
60,employment in industry pct of total employment modeled ilo estimate,0.08486,True,0.10199,True
62,food production index 2004-2006 = 100,-0.08415,True,-0.127,True
63,life expectancy at birth total years,0.08409,True,0.08747,True
64,employment in agriculture pct of total employment modeled ilo estimate,-0.08373,True,-0.09141,True
65,population ages 60-64 male pct of male population,0.08283,True,0.08889,True
66,population ages 60-64 female pct of female population,0.08031,True,0.08683,True
67,access to electricity rural pct of rural population,0.07931,True,0.1011,True
68,livestock production index 2004-2006 = 100,-0.07902,True,-0.11694,True
69,life expectancy at birth male years,0.07885,True,0.08018,True
70,mortality rate adult female per 1000 female adults,-0.07805,True,-0.0923,True
71,total natural resources rents pct of gdp,-0.07756,True,-0.11849,True
72,population ages 35-39 male pct of male population,0.07735,True,0.11056,True
73,employment in agriculture female pct of female employment modeled ilo estimate,-0.07675,True,-0.07513,True
74,rural population pct of total population,-0.07527,True,-0.06976,True
75,urban population pct of total,0.07527,True,0.06976,True
76,population ages 15-64 male pct of total,0.07512,True,0.09101,True
77,survival to age 65 male pct of cohort,0.07334,True,0.07362,True
78,access to electricity pct of population,0.07301,True,0.12451,True
79,population ages 25-29 female pct of female population,-0.07293,True,-0.07747,True
80,gdp per person employed constant 2011 ppp  ,0.0712,True,0.08078,True
81,age dependency ratio pct of working-age population,-0.07113,True,-0.0793,True
82,secondary education duration years,0.0706,True,0.07129,True
83,mortality rate infant per 1000 live births,-0.06941,True,-0.07344,True
84,employment in services pct of total employment modeled ilo estimate,0.06928,True,0.07251,True
85,population ages 15-64 pct of total,0.06827,True,0.07911,True
86,renewable energy consumption pct of total final energy consumption,-0.06809,True,-0.07088,True
87,mortality rate neonatal per 1000 live births,-0.06747,True,-0.07142,True
88,co2 emissions metric tons per capita,0.06556,True,0.10085,True
89,mortality rate under-5 per 1000 live births,-0.06535,True,-0.07196,True
90,population ages 15-64 female pct of total,0.06517,True,0.06484,True
91,access to electricity urban pct of urban population,0.06183,True,0.12094,True
92,employment in services male pct of male employment modeled ilo estimate,0.06153,True,0.06249,True
93,mortality rate adult male per 1000 male adults,-0.06135,True,-0.06094,True
94,employers female pct of female employment modeled ilo estimate,0.0606,True,0.05356,True
95,employment in services female pct of female employment modeled ilo estimate,0.06054,True,0.05218,True
96,employment in industry female pct of female employment modeled ilo estimate,0.05973,True,0.06934,True
97,maternal mortality ratio modeled estimate per 100000 live births,-0.05956,True,-0.08993,True
98,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.05909,True,0.05945,True
99,co2 emissions from solid fuel consumption pct of total,0.05817,True,0.09283,True
100,population ages 25-29 male pct of male population,-0.05779,True,-0.0716,True
101,preprimary education duration years,0.05774,True,0.05874,True
102,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.05772,True,0.05737,True
103,population male pct of total,-0.05771,True,-0.10121,True
104,population female pct of total,0.05771,True,0.10121,True
