#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,number of under-five deaths,0.05656,True,0.01037,False
2,number of neonatal deaths,0.0564,True,0.01071,False
3,number of maternal deaths,0.05626,True,0.01158,False
4,number of infant deaths,0.05491,True,0.01031,False
5,mobile cellular subscriptions per 100 people,-0.0288,False,-0.02806,False
6,employers female pct of female employment modeled ilo estimate,0.02347,False,0.01264,False
7,population ages 0-14 female,0.02337,False,0.01796,False
8,arable land hectares per person,0.02314,False,0.01634,False
9,population ages 0-14 total,0.02288,False,0.01796,False
10,population ages 0-14 male,0.02244,False,0.01799,False
11,livestock production index 2004-2006 = 100,-0.02077,False,-0.02454,False
12,arable land pct of land area,0.0203,False,0.01142,False
13,land under cereal production hectares,0.01977,False,0.0208,False
14,food production index 2004-2006 = 100,-0.01847,False,-0.02459,False
15,rural population,0.01777,False,0.01749,False
16,mortality rate adult male per 1000 male adults,0.01536,False,0.01697,False
17,individuals using the internet pct of population,-0.01518,False,-0.01652,False
18,contributing family workers male pct of male employment modeled ilo estimate,0.01509,False,0.00482,False
19,mortality rate adult female per 1000 female adults,0.01496,False,0.01499,False
20,contributing family workers total pct of total employment modeled ilo estimate,0.01458,False,0.00653,False
21,surface area sq. km,0.01368,False,0.02261,False
22,contributing family workers female pct of female employment modeled ilo estimate,0.01357,False,0.00802,False
23,crop production index 2004-2006 = 100,-0.01327,False,-0.01944,False
24,access to electricity rural pct of rural population,-0.0125,False,-0.00268,False
25,lower secondary school starting age years,-0.01244,False,-0.01501,False
26,land area sq. km,0.01236,False,0.02109,False
27,immunization measles pct of children ages 12-23 months,-0.01225,False,-0.01479,False
28,mortality rate neonatal per 1000 live births,0.01173,False,0.00481,False
29,population total,0.01161,False,0.01723,False
30,population male,0.01144,False,0.01611,False
31,population female,0.01119,False,0.01686,False
32,rainfall (mm),-0.01085,False,-0.00683,False
33,urban population pct of total,-0.01085,False,-0.01001,False
34,rural population pct of total population,0.01085,False,0.01001,False
35,forest area sq. km,0.01081,False,0.0148,False
36,total natural resources rents pct of gdp,-0.01064,False,-0.00679,False
37,fixed telephone subscriptions per 100 people,0.00977,False,0.00485,False
38,renewable energy consumption pct of total final energy consumption,0.0096,False,0.01068,False
39,access to electricity pct of population,-0.00953,False,-0.00162,False
40,forest area pct of land area,-0.00939,False,-0.00947,False
41,population ages 55-59 female pct of female population,-0.00929,False,-0.01022,False
42,permanent cropland pct of land area,-0.00924,False,-0.00052,False
43,primary education duration years,-0.00903,False,-0.01419,False
