#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,oil rents pct of gdp,0.30644,True,0.09231,True,Decision
2,total natural resources rents pct of gdp,0.26285,True,0.12365,True,Decision
3,immunization measles pct of children ages 12-23 months,-0.20547,True,-0.12019,True,Decision
4,immunization dpt pct of children ages 12-23 months,-0.18628,True,-0.12038,True,Decision
5,adolescent fertility rate births per 1000 women ages 15-19,0.17599,True,0.12078,True,Decision
6,birth rate crude per 1000 people,0.16395,True,0.12227,True,Decision
7,fertility rate total births per woman,0.16059,True,0.12069,True,Decision
8,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,0.15926,True,0.07054,True,Decision
9,unemployment total pct of total labor force modeled ilo estimate,0.15828,True,0.07355,True,Decision
10,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,0.15731,True,0.07187,True,Decision
11,mortality rate under-5 per 1000 live births,0.15578,True,0.11528,True,Decision
12,age dependency ratio pct of working-age population,0.15455,True,0.11985,True,Decision
13,population ages 0-4 male pct of male population,0.15351,True,0.1217,True,Decision
14,access to electricity urban pct of urban population,-0.15201,True,-0.12002,True,Decision
15,mortality rate infant per 1000 live births,0.15181,True,0.11572,True,Decision
16,population ages 0-4 female pct of female population,0.1509,True,0.12087,True,Decision
17,age dependency ratio young pct of working-age population,0.15087,True,0.11922,True,Decision
18,population ages 15-64 female pct of total,-0.14711,True,-0.1208,True,Decision
19,unemployment male pct of male labor force modeled ilo estimate,0.14632,True,0.07031,True,Decision
20,access to electricity pct of population,-0.14212,True,-0.11095,True,Decision
21,population ages 15-64 pct of total,-0.14172,True,-0.11942,True,Decision
22,life expectancy at birth male years,-0.14128,True,-0.11462,True,Decision
23,access to electricity rural pct of rural population,-0.13748,True,-0.10659,True,Decision
24,life expectancy at birth total years,-0.13734,True,-0.11068,True,Decision
25,population ages 15-64 male pct of total,-0.13721,True,-0.11737,True,Decision
26,population ages 0-14 pct of total,0.13583,True,0.11834,True,Decision
27,population ages 0-14 male pct of total,0.1351,True,0.11739,True,Decision
28,population ages 0-14 female pct of total,0.13509,True,0.11805,True,Decision
29,mortality rate neonatal per 1000 live births,0.13447,True,0.11147,True,Decision
30,life expectancy at birth female years,-0.13258,True,-0.10949,True,Decision
31,urban population growth annual pct,0.13239,True,0.11563,True,Decision
32,survival to age 65 female pct of cohort,-0.13033,True,-0.10833,True,Decision
33,survival to age 65 male pct of cohort,-0.12884,True,-0.10943,True,Decision
34,population ages 5-9 female pct of female population,0.12873,True,0.11705,True,Decision
35,population ages 5-9 male pct of male population,0.1279,True,0.11408,True,Decision
36,lifetime risk of maternal death pct,0.12758,True,0.11468,True,Decision
37,renewable electricity output pct of total electricity output,0.12466,True,0.10755,True,Decision
38,population ages 40-44 female pct of female population,-0.12382,True,-0.11887,True,Decision
39,mortality rate adult female per 1000 female adults,0.12019,True,0.10875,True,Decision
40,wage and salaried workers female pct of female employment modeled ilo estimate,-0.12013,True,-0.09972,True,Decision
41,self-employed female pct of female employment modeled ilo estimate,0.12013,True,0.09972,True,Decision
42,renewable energy consumption pct of total final energy consumption,0.11956,True,0.10069,True,Decision
43,population ages 45-49 male pct of male population,-0.11899,True,-0.11366,True,Decision
44,vulnerable employment female pct of female employment modeled ilo estimate,0.11858,True,0.09992,True,Decision
45,population ages 45-49 female pct of female population,-0.11848,True,-0.11733,True,Decision
46,population ages 35-39 female pct of female population,-0.11767,True,-0.11696,True,Decision
