#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,population male pct of total,0.50316,True,0.26063,True
2,population female pct of total,-0.50316,True,-0.26063,True
3,labor force female pct of total labor force,-0.47636,True,-0.28961,True
4,population ages 35-39 male pct of male population,0.4439,True,0.24094,True
5,population ages 30-34 male pct of male population,0.42053,True,0.25108,True
6,population ages 30-34 female pct of female population,0.39481,True,0.23829,True
7,gdp per person employed constant 2011 ppp  ,0.34892,True,0.2773,True
8,oil rents pct of gdp,0.34668,True,0.22916,True
9,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.34649,True,-0.26679,True
10,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,0.3286,True,0.18776,True
11,population ages 40-44 male pct of male population,0.32697,True,0.24654,True
12,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.32001,True,-0.2519,True
13,population ages 35-39 female pct of female population,0.31465,True,0.22545,True
14,mobile cellular subscriptions per 100 people,0.30721,True,0.27026,True
15,labor force participation rate for ages 15-24 female pct modeled ilo estimate,-0.30438,True,-0.26746,True
16,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,-0.30303,True,-0.24396,True
17,employment to population ratio 15+ female pct modeled ilo estimate,-0.29738,True,-0.23097,True
18,labor force participation rate for ages 15-24 total pct modeled ilo estimate,-0.28295,True,-0.22606,True
19,employment to population ratio ages 15-24 female pct modeled ilo estimate,-0.28205,True,-0.25426,True
20,population ages 25-29 female pct of female population,0.26124,True,0.20939,True
21,population ages 15-64 male pct of total,0.25821,True,0.23444,True
22,total natural resources rents pct of gdp,0.25748,True,0.18174,True
23,population ages 25-29 male pct of male population,0.25635,True,0.14912,True
24,wage and salaried workers male pct of male employment modeled ilo estimate,0.25288,True,0.2824,True
25,self-employed male pct of male employment modeled ilo estimate,-0.25288,True,-0.2824,True
26,death rate crude per 1000 people,-0.25168,True,-0.2634,True
27,employment to population ratio ages 15-24 total pct modeled ilo estimate,-0.24722,True,-0.21136,True
28,labor force participation rate for ages 15-24 male pct modeled ilo estimate,-0.23992,True,-0.19495,True
29,wage and salaried workers total pct of total employment modeled ilo estimate,0.23421,True,0.28177,True
30,self-employed total pct of total employment modeled ilo estimate,-0.23421,True,-0.28177,True
31,employment in services female pct of female employment modeled ilo estimate,0.2336,True,0.28747,True
