#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,permanent cropland pct of land area,0.09751,True,0.04978,True,Decision
2,employment in industry female pct of female employment modeled ilo estimate,0.07022,True,0.04816,True,Decision
3,food production index 2004-2006 = 100,-0.05135,True,-0.04046,True,Decision
4,employment in industry pct of total employment modeled ilo estimate,0.04647,True,0.04604,True,Decision
5,crop production index 2004-2006 = 100,-0.0455,True,-0.03998,True,Decision
6,forest area pct of land area,0.04332,True,0.03993,True,Decision
7,mobile cellular subscriptions per 100 people,-0.04179,True,-0.03703,True,Decision
8,preprimary education duration years,-0.03576,True,-0.03838,True,Decision
9,individuals using the internet pct of population,-0.03374,False,-0.03714,True,Decision
11,death rate crude per 1000 people,-0.03038,False,-0.04046,True,Decision
12,unemployment male pct of male labor force modeled ilo estimate,-0.02705,False,-0.03564,True,Decision
13,livestock production index 2004-2006 = 100,-0.02576,False,-0.03458,True,Decision
19,immunization measles pct of children ages 12-23 months,0.02368,False,0.03901,True,Decision
34,immunization dpt pct of children ages 12-23 months,0.0215,False,0.03701,True,Decision
46,arable land hectares per person,-0.01891,False,-0.03563,True,Decision
10,urban population growth annual pct,0.03155,False,0.03175,False,Decision
14,unemployment total pct of total labor force modeled ilo estimate,-0.02543,False,-0.03392,False,Decision
15,employment in industry male pct of male employment modeled ilo estimate,0.02507,False,0.03086,False,Decision
16,population ages 80 and above female pct of female population,-0.02404,False,-0.02619,False,Decision
17,population ages 75-79 female pct of female population,-0.02394,False,-0.023,False,Decision
18,population ages 65 and above female pct of total,-0.02386,False,-0.02235,False,Decision
20,population ages 70-74 female pct of female population,-0.02348,False,-0.02248,False,Decision
21,age dependency ratio old pct of working-age population,-0.02325,False,-0.0231,False,Decision
22,population ages 65 and above pct of total,-0.02313,False,-0.02081,False,Decision
23,temparature ($^\circ$c),0.02282,False,0.03075,False,Decision
24,employers female pct of female employment modeled ilo estimate,-0.02265,False,-0.02697,False,Decision
25,population ages 70-74 male pct of male population,-0.02253,False,-0.02006,False,Decision
26,population ages 50-54 female pct of female population,-0.02234,False,-0.02044,False,Decision
27,population ages 75-79 male pct of male population,-0.02233,False,-0.01988,False,Decision
28,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.0223,False,-0.03312,False,Decision
29,agricultural land pct of land area,-0.022,False,-0.02418,False,Decision
30,population ages 65-69 female pct of female population,-0.02197,False,-0.01924,False,Decision
31,population ages 65 and above male pct of total,-0.02194,False,-0.0193,False,Decision
32,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.02189,False,-0.03224,False,Decision
33,adolescent fertility rate births per 1000 women ages 15-19,-0.02161,False,-0.0159,False,Decision
35,arable land pct of land area,-0.02147,False,-0.02257,False,Decision
36,population ages 65-69 male pct of male population,-0.02084,False,-0.01786,False,Decision
37,population ages 80 and above male pct of male population,-0.02067,False,-0.01656,False,Decision
38,employment to population ratio 15+ male pct modeled ilo estimate,0.02029,False,0.02431,False,Decision
39,unemployment female pct of female labor force modeled ilo estimate,-0.0202,False,-0.02961,False,Decision
40,co2 emissions from solid fuel consumption pct of total,-0.02013,False,-0.0133,False,Decision
41,population ages 55-59 female pct of female population,-0.01996,False,-0.0169,False,Decision
42,population ages 50-54 male pct of male population,-0.01994,False,-0.02002,False,Decision
43,population ages 20-24 female pct of female population,0.01988,False,0.02074,False,Decision
44,population ages 60-64 female pct of female population,-0.01952,False,-0.01674,False,Decision
45,renewable electricity output pct of total electricity output,-0.0192,False,-0.02069,False,Decision
47,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.01891,False,-0.02237,False,Decision
48,population ages 60-64 male pct of male population,-0.01874,False,-0.01588,False,Decision
49,population ages 10-14 female pct of female population,0.01859,False,0.01853,False,Decision
50,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,-0.01847,False,-0.02787,False,Decision
51,forest rents pct of gdp,0.01845,False,0.03258,False,Decision
52,lifetime risk of maternal death 1 in  rate varies by country,-0.01845,False,-0.01448,False,Decision
53,mortality rate neonatal per 1000 live births,-0.01833,False,-0.01176,False,Decision
