#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,mortality rate adult female per 1000 female adults,0.11099,True,0.08135,True
2,mortality rate adult male per 1000 male adults,0.10397,True,0.07327,True
3,survival to age 65 female pct of cohort,-0.09672,True,-0.08181,True
4,employment in agriculture pct of total employment modeled ilo estimate,0.0925,True,0.07963,True
5,survival to age 65 male pct of cohort,-0.09133,True,-0.07373,True
6,employment in services pct of total employment modeled ilo estimate,-0.091,True,-0.08241,True
7,life expectancy at birth total years,-0.09017,True,-0.07918,True
8,vulnerable employment female pct of female employment modeled ilo estimate,0.09015,True,0.08086,True
9,life expectancy at birth female years,-0.09013,True,-0.08134,True
10,wage and salaried workers female pct of female employment modeled ilo estimate,-0.08987,True,-0.08139,True
11,self-employed female pct of female employment modeled ilo estimate,0.08987,True,0.08139,True
12,employment in agriculture male pct of male employment modeled ilo estimate,0.08973,True,0.07762,True
13,life expectancy at birth male years,-0.08934,True,-0.0755,True
14,self-employed total pct of total employment modeled ilo estimate,0.08933,True,0.07986,True
15,wage and salaried workers total pct of total employment modeled ilo estimate,-0.08933,True,-0.07986,True
16,employment in services female pct of female employment modeled ilo estimate,-0.08914,True,-0.08115,True
17,vulnerable employment total pct of total employment modeled ilo estimate,0.08878,True,0.07888,True
18,access to electricity urban pct of urban population,-0.0871,True,-0.08294,True
19,employment in agriculture female pct of female employment modeled ilo estimate,0.08692,True,0.07662,True
20,employment in services male pct of male employment modeled ilo estimate,-0.08475,True,-0.07572,True
21,self-employed male pct of male employment modeled ilo estimate,0.08409,True,0.07767,True
22,wage and salaried workers male pct of male employment modeled ilo estimate,-0.08409,True,-0.07767,True
23,vulnerable employment male pct of male employment modeled ilo estimate,0.08285,True,0.07627,True
24,access to electricity pct of population,-0.08263,True,-0.07843,True
25,mobile cellular subscriptions per 100 people,-0.08175,True,-0.07988,True
26,mortality rate infant per 1000 live births,0.08116,True,0.07773,True
27,contributing family workers total pct of total employment modeled ilo estimate,0.08038,True,0.06257,True
28,mortality rate under-5 per 1000 live births,0.07894,True,0.0782,True
29,birth rate crude per 1000 people,0.07855,True,0.07352,True
30,population ages 0-4 male pct of male population,0.07554,True,0.07184,True
31,population ages 45-49 male pct of male population,-0.07534,True,-0.07255,True
32,employment in industry male pct of male employment modeled ilo estimate,-0.07462,True,-0.07118,True
33,adolescent fertility rate births per 1000 women ages 15-19,0.0746,True,0.06462,True
34,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,0.07458,True,0.0649,True
35,age dependency ratio young pct of working-age population,0.07404,True,0.07103,True
36,population ages 0-4 female pct of female population,0.07375,True,0.07022,True
37,population ages 50-54 male pct of male population,-0.07318,True,-0.07303,True
38,population ages 0-14 male pct of total,0.073,True,0.06902,True
39,population ages 0-14 pct of total,0.07296,True,0.06993,True
40,population ages 45-49 female pct of female population,-0.07289,True,-0.07161,True
41,fertility rate total births per woman,0.07264,True,0.07329,True
42,total natural resources rents pct of gdp,0.07194,True,0.06345,True
43,population ages 0-14 female pct of total,0.07194,True,0.0693,True
44,population ages 5-9 male pct of male population,0.07181,True,0.06797,True
46,prevalence of anemia among children pct of children under 5,0.07129,True,0.07301,True
47,renewable electricity output pct of total electricity output,0.07095,True,0.05954,True
48,age dependency ratio pct of working-age population,0.0708,True,0.0696,True
49,population ages 5-9 female pct of female population,0.07075,True,0.06852,True
50,population ages 50-54 female pct of female population,-0.07071,True,-0.07011,True
51,population ages 40-44 female pct of female population,-0.06968,True,-0.06985,True
52,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.06965,True,0.07077,True
53,population ages 15-64 male pct of total,-0.06944,True,-0.06861,True
54,contributing family workers female pct of female employment modeled ilo estimate,0.06941,True,0.05622,True
55,population ages 15-64 pct of total,-0.06912,True,-0.06899,True
56,population ages 40-44 male pct of male population,-0.06854,True,-0.06931,True
