#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,population ages 0-4 female pct of female population,0.14858,True,0.1372,True,Decision
2,population ages 0-4 male pct of male population,0.14846,True,0.13905,True,Decision
3,birth rate crude per 1000 people,0.1466,True,0.13996,True,Decision
4,population ages 0-14 pct of total,0.14539,True,0.13662,True,Decision
5,population ages 0-14 female pct of total,0.14499,True,0.13517,True,Decision
6,age dependency ratio young pct of working-age population,0.14473,True,0.13637,True,Decision
7,population ages 5-9 female pct of female population,0.14418,True,0.13542,True,Decision
8,population ages 0-14 male pct of total,0.14371,True,0.13628,True,Decision
9,population ages 5-9 male pct of male population,0.14284,True,0.13561,True,Decision
10,fertility rate total births per woman,0.14151,True,0.1353,True,Decision
11,population ages 45-49 male pct of male population,-0.13977,True,-0.13742,True,Decision
12,population ages 50-54 male pct of male population,-0.13755,True,-0.13862,True,Decision
13,population ages 45-49 female pct of female population,-0.1365,True,-0.13698,True,Decision
14,age dependency ratio pct of working-age population,0.13484,True,0.12906,True,Decision
15,population ages 15-64 female pct of total,-0.13438,True,-0.12407,True,Decision
16,population ages 40-44 female pct of female population,-0.13437,True,-0.13442,True,Decision
17,immunization dpt pct of children ages 12-23 months,-0.13405,True,-0.12472,True,Decision
18,population ages 50-54 female pct of female population,-0.13353,True,-0.13691,True,Decision
19,population ages 15-64 pct of total,-0.13338,True,-0.12964,True,Decision
20,mortality rate neonatal per 1000 live births,0.1327,True,0.1314,True,Decision
21,population ages 10-14 female pct of female population,0.13233,True,0.13165,True,Decision
22,population ages 15-64 male pct of total,-0.13183,True,-0.1305,True,Decision
23,employment in agriculture female pct of female employment modeled ilo estimate,0.13181,True,0.12597,True,Decision
24,immunization measles pct of children ages 12-23 months,-0.13062,True,-0.12186,True,Decision
25,vulnerable employment female pct of female employment modeled ilo estimate,0.12991,True,0.1192,True,Decision
26,population ages 40-44 male pct of male population,-0.12974,True,-0.13347,True,Decision
27,self-employed female pct of female employment modeled ilo estimate,0.12907,True,0.11766,True,Decision
28,wage and salaried workers female pct of female employment modeled ilo estimate,-0.12907,True,-0.11766,True,Decision
29,vulnerable employment total pct of total employment modeled ilo estimate,0.12897,True,0.12209,True,Decision
30,population ages 10-14 male pct of male population,0.12832,True,0.12696,True,Decision
31,wage and salaried workers total pct of total employment modeled ilo estimate,-0.12823,True,-0.12109,True,Decision
32,self-employed total pct of total employment modeled ilo estimate,0.12823,True,0.12109,True,Decision
33,life expectancy at birth female years,-0.12756,True,-0.12965,True,Decision
34,employment in agriculture pct of total employment modeled ilo estimate,0.1275,True,0.12272,True,Decision
35,life expectancy at birth total years,-0.12718,True,-0.13132,True,Decision
36,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.12637,True,0.12308,True,Decision
37,vulnerable employment male pct of male employment modeled ilo estimate,0.12553,True,0.12147,True,Decision
38,population ages 55-59 male pct of male population,-0.12541,True,-0.13099,True,Decision
39,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.12527,True,0.12277,True,Decision
40,life expectancy at birth male years,-0.12502,True,-0.13031,True,Decision
41,self-employed male pct of male employment modeled ilo estimate,0.12403,True,0.12072,True,Decision
42,wage and salaried workers male pct of male employment modeled ilo estimate,-0.12403,True,-0.12072,True,Decision
43,employment in services female pct of female employment modeled ilo estimate,-0.12324,True,-0.11802,True,Decision
44,survival to age 65 female pct of cohort,-0.12294,True,-0.12665,True,Decision
45,employment in agriculture male pct of male employment modeled ilo estimate,0.12267,True,0.1151,True,Decision
46,prevalence of anemia among children pct of children under 5,0.12153,True,0.11893,True,Decision
47,population ages 55-59 female pct of female population,-0.12131,True,-0.12743,True,Decision
48,mortality rate infant per 1000 live births,0.12108,True,0.1268,True,Decision
49,employment in services pct of total employment modeled ilo estimate,-0.11979,True,-0.11396,True,Decision
50,survival to age 65 male pct of cohort,-0.11746,True,-0.12371,True,Decision
51,population ages 65-69 female pct of female population,-0.1164,True,-0.13025,True,Decision
52,population ages 70-74 male pct of male population,-0.11592,True,-0.13164,True,Decision
53,adolescent fertility rate births per 1000 women ages 15-19,0.1159,True,0.11149,True,Decision
54,population ages 65-69 male pct of male population,-0.11542,True,-0.131,True,Decision
55,population ages 65 and above male pct of total,-0.11504,True,-0.12967,True,Decision
56,population ages 60-64 male pct of male population,-0.11477,True,-0.12722,True,Decision
57,population ages 15-19 female pct of female population,0.11436,True,0.11809,True,Decision
58,mortality rate under-5 per 1000 live births,0.11436,True,0.12745,True,Decision
59,fixed telephone subscriptions per 100 people,-0.11415,True,-0.12369,True,Decision
60,population ages 65 and above pct of total,-0.11397,True,-0.12989,True,Decision
61,population ages 60-64 female pct of female population,-0.11339,True,-0.12677,True,Decision
62,employment in industry male pct of male employment modeled ilo estimate,-0.1132,True,-0.11421,True,Decision
63,population ages 75-79 male pct of male population,-0.11303,True,-0.12942,True,Decision
64,population ages 65 and above female pct of total,-0.1128,True,-0.12986,True,Decision
65,population ages 70-74 female pct of female population,-0.11168,True,-0.12747,True,Decision
66,population ages 75-79 female pct of female population,-0.11056,True,-0.12912,True,Decision
67,population ages 15-19 male pct of male population,0.11001,True,0.1138,True,Decision
68,mortality rate adult female per 1000 female adults,0.10999,True,0.12326,True,Decision
69,employment in services male pct of male employment modeled ilo estimate,-0.109,True,-0.10304,True,Decision
70,individuals using the internet pct of population,-0.10753,True,-0.10918,True,Decision
71,population ages 35-39 female pct of female population,-0.10709,True,-0.10881,True,Decision
72,age dependency ratio old pct of working-age population,-0.10705,True,-0.12683,True,Decision
73,population ages 80 and above male pct of male population,-0.10681,True,-0.12257,True,Decision
74,population ages 80 and above female pct of female population,-0.10614,True,-0.12618,True,Decision
75,renewable energy consumption pct of total final energy consumption,0.10209,True,0.08899,True,Decision
76,rural population pct of total population,0.10122,True,0.10271,True,Decision
77,urban population pct of total,-0.10122,True,-0.10271,True,Decision
78,access to electricity rural pct of rural population,-0.1,True,-0.09377,True,Decision
79,access to electricity pct of population,-0.09969,True,-0.10496,True,Decision
80,gdp per person employed constant 2011 ppp  ,-0.09961,True,-0.11276,True,Decision
81,mortality rate adult male per 1000 male adults,0.09817,True,0.1103,True,Decision
82,population ages 35-39 male pct of male population,-0.0968,True,-0.1048,True,Decision
83,lifetime risk of maternal death pct,0.0952,True,0.12352,True,Decision
84,maternal mortality ratio modeled estimate per 100000 live births,0.09447,True,0.1157,True,Decision
85,employment in industry pct of total employment modeled ilo estimate,-0.09233,True,-0.09654,True,Decision
86,urban population growth annual pct,0.09204,True,0.11377,True,Decision
87,contributing family workers female pct of female employment modeled ilo estimate,0.09024,True,0.07773,True,Decision
88,contributing family workers total pct of total employment modeled ilo estimate,0.0879,True,0.08007,True,Decision
89,population ages 20-24 female pct of female population,0.08685,True,0.08482,True,Decision
90,contributing family workers male pct of male employment modeled ilo estimate,0.08643,True,0.08274,True,Decision
