#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,population ages 75-79 female pct of female population,0.02084,False,0.01755,False
2,population ages 75-79 male pct of male population,0.01959,False,0.01758,False
3,population ages 80 and above female pct of female population,0.01937,False,0.01636,False
4,age dependency ratio old pct of working-age population,0.01928,False,0.01694,False
5,cereal yield kg per hectare,0.01905,False,0.01997,False
6,fixed telephone subscriptions per 100 people,0.01886,False,0.01701,False
7,population ages 65 and above female pct of total,0.01828,False,0.01565,False
8,population ages 65 and above pct of total,0.01792,False,0.01598,False
9,population ages 70-74 female pct of female population,0.01778,False,0.01694,False
10,population ages 70-74 male pct of male population,0.01769,False,0.01739,False
11,arable land pct of land area,0.01768,False,0.01727,False
12,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,-0.01763,False,-0.01703,False
13,population ages 80 and above male pct of male population,0.01749,False,0.01588,False
14,population ages 65 and above male pct of total,0.01731,False,0.01553,False
15,population ages 55-59 male pct of male population,0.01621,False,0.01681,False
16,population ages 25-29 female pct of female population,-0.01577,False,-0.01742,False
17,population ages 20-24 female pct of female population,-0.01571,False,-0.01473,False
18,employment to population ratio 15+ male pct modeled ilo estimate,-0.01528,False,-0.01568,False
19,population ages 55-59 female pct of female population,0.01435,False,0.01446,False
20,population ages 20-24 male pct of male population,-0.01432,False,-0.01414,False
21,population ages 65-69 male pct of male population,0.01418,False,0.01443,False
22,lower secondary school starting age years,-0.01392,False,-0.01651,False
23,population ages 15-19 female pct of female population,-0.01342,False,-0.01251,False
24,population ages 65-69 female pct of female population,0.01338,False,0.01379,False
25,gdp per person employed constant 2011 ppp  ,0.01317,False,0.01463,False
26,wage and salaried workers male pct of male employment modeled ilo estimate,0.01289,False,0.01654,False
27,self-employed male pct of male employment modeled ilo estimate,-0.01289,False,-0.01654,False
28,population ages 50-54 male pct of male population,0.01288,False,0.01324,False
29,self-employed total pct of total employment modeled ilo estimate,-0.01283,False,-0.01618,False
30,wage and salaried workers total pct of total employment modeled ilo estimate,0.01283,False,0.01618,False
31,vulnerable employment male pct of male employment modeled ilo estimate,-0.01277,False,-0.01705,False
32,primary education duration years,-0.01276,False,-0.01811,False
33,population ages 50-54 female pct of female population,0.01272,False,0.01329,False
34,vulnerable employment total pct of total employment modeled ilo estimate,-0.01263,False,-0.01674,False
35,self-employed female pct of female employment modeled ilo estimate,-0.0125,False,-0.01469,False
36,wage and salaried workers female pct of female employment modeled ilo estimate,0.0125,False,0.01469,False
37,vulnerable employment female pct of female employment modeled ilo estimate,-0.01245,False,-0.01501,False
38,prevalence of anemia among children pct of children under 5,-0.01236,False,-0.01284,False
39,life expectancy at birth female years,0.01216,False,0.01769,False
40,population ages 10-14 female pct of female population,-0.01214,False,-0.0117,False
41,population ages 15-19 male pct of male population,-0.01208,False,-0.0124,False
42,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.01159,False,-0.0121,False
43,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.01155,False,-0.01195,False
44,life expectancy at birth total years,0.01129,False,0.01394,False
45,population ages 10-14 male pct of male population,-0.01115,False,-0.01069,False
46,employment in services pct of total employment modeled ilo estimate,0.01106,False,0.01188,False
47,labor force participation rate for ages 15-24 male pct modeled ilo estimate,-0.01102,False,-0.01245,False
48,employment in agriculture male pct of male employment modeled ilo estimate,-0.01101,False,-0.01064,False
49,population ages 25-29 male pct of male population,-0.01092,False,-0.0158,False
50,mortality rate neonatal per 1000 live births,-0.01092,False,-0.01465,False
51,employment in agriculture pct of total employment modeled ilo estimate,-0.01087,False,-0.01116,False
52,employment to population ratio ages 15-24 male pct modeled ilo estimate,-0.01066,False,-0.0116,False
53,population ages 0-14 female pct of total,-0.01062,False,-0.00909,False
54,population ages 5-9 female pct of female population,-0.01049,False,-0.0095,False
55,adolescent fertility rate births per 1000 women ages 15-19,-0.01029,False,-0.01096,False
56,life expectancy at birth male years,0.01027,False,0.01171,False
57,population ages 0-14 pct of total,-0.01019,False,-0.00855,False
58,employment in services female pct of female employment modeled ilo estimate,0.01014,False,0.00922,False
59,employment in agriculture female pct of female employment modeled ilo estimate,-0.01014,False,-0.00844,False
60,survival to age 65 female pct of cohort,0.01008,False,0.01297,False
61,employment in services male pct of male employment modeled ilo estimate,0.00994,False,0.0099,False
62,employment in industry male pct of male employment modeled ilo estimate,0.0099,False,0.01381,False
63,secondary education duration years,0.00986,False,0.01341,False
64,population ages 0-14 male pct of total,-0.00985,False,-0.00843,False
65,population ages 5-9 male pct of male population,-0.00973,False,-0.0083,False
66,mortality rate infant per 1000 live births,-0.0097,False,-0.01384,False
67,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,-0.00965,False,-0.01173,False
68,employment to population ratio 15+ total pct modeled ilo estimate,-0.00955,False,-0.01326,False
69,population ages 0-4 female pct of female population,-0.00944,False,-0.00756,False
70,labor force participation rate for ages 15-24 total pct modeled ilo estimate,-0.00936,False,-0.01129,False
71,renewable energy consumption pct of total final energy consumption,-0.00926,False,-0.00868,False
72,employment to population ratio ages 15-24 total pct modeled ilo estimate,-0.00908,False,-0.0102,False
73,mortality rate adult female per 1000 female adults,-0.00902,False,-0.01192,False
74,contributing family workers female pct of female employment modeled ilo estimate,-0.00893,False,-0.00621,False
75,contributing family workers total pct of total employment modeled ilo estimate,-0.00892,False,-0.00673,False
76,age dependency ratio young pct of working-age population,-0.00881,False,-0.00752,False
77,contributing family workers male pct of male employment modeled ilo estimate,-0.0088,False,-0.00917,False
78,birth rate crude per 1000 people,-0.00879,False,-0.00652,False
79,population ages 0-4 male pct of male population,-0.00878,False,-0.00634,False
80,immunization dpt pct of children ages 12-23 months,0.00865,False,0.0144,False
81,mortality rate under-5 per 1000 live births,-0.00865,False,-0.01351,False
82,access to electricity rural pct of rural population,0.0086,False,0.01413,False
83,survival to age 65 male pct of cohort,0.00853,False,0.00707,False
84,urban population pct of total,0.00832,False,0.00735,False
85,rural population pct of total population,-0.00832,False,-0.00735,False
86,urban population growth annual pct,-0.0082,False,-0.01033,False
87,agricultural land pct of land area,0.00815,False,0.00835,False
88,total natural resources rents pct of gdp,-0.00808,False,-0.01717,False
89,renewable electricity output pct of total electricity output,-0.00806,False,-0.00687,False
90,rainfall (mm),-0.00794,False,-0.00928,False
91,mortality rate adult male per 1000 male adults,-0.00778,False,-0.00568,False
92,access to electricity pct of population,0.00773,False,0.01366,False
93,population ages 45-49 female pct of female population,0.00758,False,0.00759,False
