#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,co2 emissions from liquid fuel consumption kt,0.04677,True,0.02939,False
2,co2 emissions from gaseous fuel consumption kt,0.04625,True,0.03173,False
3,cereal production metric tons,0.04591,True,0.03126,False
4,land under cereal production hectares,0.0321,False,0.02957,False
5,surface area sq. km,0.03164,False,0.02502,False
6,land area sq. km,0.03079,False,0.02338,False
7,gdp per person employed constant 2011 ppp  ,0.0306,False,0.03008,False
8,agricultural land sq. km,0.0306,False,0.0287,False
9,forest area sq. km,0.02823,False,0.0285,False
10,fixed telephone subscriptions,0.02806,False,0.02954,False
11,employment in services male pct of male employment modeled ilo estimate,0.02577,False,0.02961,False
12,employment in services pct of total employment modeled ilo estimate,0.02551,False,0.03063,False
13,co2 emissions kt,0.02267,False,0.02904,False
14,self-employed male pct of male employment modeled ilo estimate,-0.02255,False,-0.02851,False
15,wage and salaried workers male pct of male employment modeled ilo estimate,0.02255,False,0.02851,False
16,wage and salaried workers total pct of total employment modeled ilo estimate,0.02232,False,0.02799,False
17,self-employed total pct of total employment modeled ilo estimate,-0.02232,False,-0.02799,False
18,vulnerable employment male pct of male employment modeled ilo estimate,-0.0217,False,-0.02746,False
19,vulnerable employment total pct of total employment modeled ilo estimate,-0.02163,False,-0.02719,False
20,population ages 65 and above female,0.02155,False,0.02998,False
21,self-employed female pct of female employment modeled ilo estimate,-0.02154,False,-0.02559,False
22,wage and salaried workers female pct of female employment modeled ilo estimate,0.02154,False,0.02559,False
23,vulnerable employment female pct of female employment modeled ilo estimate,-0.02144,False,-0.02496,False
24,employment in services female pct of female employment modeled ilo estimate,0.0213,False,0.02525,False
25,employment in agriculture male pct of male employment modeled ilo estimate,-0.02092,False,-0.02689,False
26,employment in agriculture pct of total employment modeled ilo estimate,-0.02042,False,-0.02749,False
27,urban population,0.02019,False,0.03015,False
28,temparature ($^\circ$c),-0.01959,False,-0.0222,False
29,cereal yield kg per hectare,0.01956,False,0.01907,False
30,population ages 65 and above total,0.0195,False,0.0301,False
31,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,-0.01943,False,-0.02023,False
32,employment in agriculture female pct of female employment modeled ilo estimate,-0.01875,False,-0.02496,False
33,contributing family workers female pct of female employment modeled ilo estimate,-0.01741,False,-0.02866,False
34,contributing family workers total pct of total employment modeled ilo estimate,-0.01726,False,-0.02929,False
35,population ages 65 and above male,0.01726,False,0.03011,False
36,contributing family workers male pct of male employment modeled ilo estimate,-0.01647,False,-0.03078,False
