#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,population density people per sq. km of land area,0.27016,True,0.10729,True,Decision
2,population ages 35-39 female pct of female population,0.26711,True,0.24625,True,Decision
3,population ages 40-44 female pct of female population,0.22502,True,0.21273,True,Decision
4,fixed telephone subscriptions,0.20885,True,0.14832,True,Decision
5,co2 emissions from solid fuel consumption pct of total,0.19523,True,0.17657,True,Decision
6,population ages 30-34 female pct of female population,0.18781,True,0.1799,True,Decision
7,population ages 40-44 male pct of male population,0.18408,True,0.19258,True,Decision
8,rural population,0.18282,True,0.03938,True,Decision
9,capture fisheries production metric tons,0.18199,True,0.09361,True,Decision
10,population ages 15-64 female pct of total,0.18149,True,0.19916,True,Decision
11,labor force total,0.17694,True,0.08843,True,Decision
12,population ages 35-39 male pct of male population,0.1733,True,0.23529,True,Decision
13,population ages 0-4 female pct of female population,-0.17128,True,-0.18212,True,Decision
14,surface area sq. km,0.16957,True,0.05038,True,Decision
15,land area sq. km,0.1692,True,0.05233,True,Decision
16,population total,0.16874,True,0.08034,True,Decision
17,population ages 15-64 female,0.16853,True,0.08569,True,Decision
18,population ages 15-64 total,0.168,True,0.08322,True,Decision
19,population ages 15-64 male,0.16748,True,0.08184,True,Decision
20,population female,0.16673,True,0.07675,True,Decision
21,employment in industry female pct of female employment modeled ilo estimate,0.16636,True,0.1353,True,Decision
22,population male,0.16553,True,0.0719,True,Decision
23,land under cereal production hectares,0.16474,True,0.11988,True,Decision
24,birth rate crude per 1000 people,-0.16362,True,-0.1931,True,Decision
25,population ages 0-4 male pct of male population,-0.16357,True,-0.17817,True,Decision
26,population ages 45-49 female pct of female population,0.16328,True,0.16401,True,Decision
27,fertility rate total births per woman,-0.1611,True,-0.22634,True,Decision
28,agricultural land sq. km,0.16009,True,0.04194,True,Decision
29,population growth annual pct,-0.15909,True,-0.17486,True,Decision
30,fixed telephone subscriptions per 100 people,0.1583,True,0.15571,True,Decision
31,population ages 65 and above female,0.15712,True,0.11046,True,Decision
