#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,temparature ($^\circ$c),-0.05299,True,-0.02833,False,Decision
2,surface area sq. km,0.04288,True,0.02816,False,Decision
3,land area sq. km,0.04068,True,0.0245,False,Decision
4,refugee population by country or territory of origin,0.03142,False,0.02721,False,Decision
5,gdp per person employed constant 2011 ppp  ,0.0232,False,0.0222,False,Decision
6,number of maternal deaths,0.02261,False,0.02608,False,Decision
7,employment in services male pct of male employment modeled ilo estimate,0.02246,False,0.02651,False,Decision
8,employment in services pct of total employment modeled ilo estimate,0.0218,False,0.02678,False,Decision
9,number of under-five deaths,0.01975,False,0.0259,False,Decision
10,number of infant deaths,0.01885,False,0.0257,False,Decision
11,employment in services female pct of female employment modeled ilo estimate,0.01783,False,0.02248,False,Decision
12,employment in agriculture male pct of male employment modeled ilo estimate,-0.01734,False,-0.02329,False,Decision
13,wage and salaried workers total pct of total employment modeled ilo estimate,0.01707,False,0.01945,False,Decision
14,self-employed total pct of total employment modeled ilo estimate,-0.01707,False,-0.01945,False,Decision
15,wage and salaried workers male pct of male employment modeled ilo estimate,0.01703,False,0.01928,False,Decision
16,self-employed male pct of male employment modeled ilo estimate,-0.01703,False,-0.01928,False,Decision
17,employment in agriculture pct of total employment modeled ilo estimate,-0.01685,False,-0.02324,False,Decision
18,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.01671,False,0.01809,False,Decision
19,vulnerable employment total pct of total employment modeled ilo estimate,-0.01671,False,-0.01907,False,Decision
20,vulnerable employment female pct of female employment modeled ilo estimate,-0.0167,False,-0.01691,False,Decision
21,self-employed female pct of female employment modeled ilo estimate,-0.01664,False,-0.01761,False,Decision
22,wage and salaried workers female pct of female employment modeled ilo estimate,0.01664,False,0.01761,False,Decision
23,vulnerable employment male pct of male employment modeled ilo estimate,-0.01662,False,-0.01953,False,Decision
24,number of neonatal deaths,0.01618,False,0.02557,False,Decision
25,agricultural land sq. km,0.01612,False,0.02201,False,Decision
26,forest area sq. km,0.01594,False,0.02158,False,Decision
27,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.0159,False,0.01719,False,Decision
28,employment in agriculture female pct of female employment modeled ilo estimate,-0.01538,False,-0.02074,False,Decision
29,contributing family workers female pct of female employment modeled ilo estimate,-0.01439,False,-0.02571,False,Decision
30,contributing family workers total pct of total employment modeled ilo estimate,-0.01423,False,-0.02555,False,Decision
