#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,number of under-five deaths,0.0709,True,0.01822,False,Decision
2,number of maternal deaths,0.06925,True,0.01835,False,Decision
3,number of neonatal deaths,0.06906,True,0.01721,False,Decision
4,number of infant deaths,0.06879,True,0.01823,False,Decision
5,energy intensity level of primary energy mj  2011 ppp gdp,0.03702,True,0.01996,False,Decision
6,mortality rate neonatal per 1000 live births,0.03093,False,0.01245,False,Decision
7,mortality rate infant per 1000 live births,0.03054,False,0.01161,False,Decision
8,population ages 0-14 female,0.0292,False,0.01866,False,Decision
9,population ages 0-14 total,0.02859,False,0.01844,False,Decision
10,population ages 0-14 male,0.02805,False,0.0184,False,Decision
11,mortality rate under-5 per 1000 live births,0.02715,False,0.01241,False,Decision
12,mobile cellular subscriptions per 100 people,-0.02653,False,-0.02696,False,Decision
13,employment in agriculture female pct of female employment modeled ilo estimate,0.02511,False,0.01999,False,Decision
14,employment in services female pct of female employment modeled ilo estimate,-0.02425,False,-0.02208,False,Decision
15,contributing family workers female pct of female employment modeled ilo estimate,0.0229,False,0.02151,False,Decision
16,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.02241,False,0.01787,False,Decision
17,rural population,0.02225,False,0.02037,False,Decision
18,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.02203,False,0.01756,False,Decision
19,employment in services pct of total employment modeled ilo estimate,-0.02186,False,-0.01923,False,Decision
20,rainfall (mm),0.02131,False,0.02563,False,Decision
21,access to electricity urban pct of urban population,-0.02129,False,-0.0121,False,Decision
22,employment in agriculture pct of total employment modeled ilo estimate,0.02123,False,0.01635,False,Decision
23,vulnerable employment male pct of male employment modeled ilo estimate,0.02077,False,0.01699,False,Decision
24,vulnerable employment total pct of total employment modeled ilo estimate,0.02075,False,0.01797,False,Decision
25,self-employed male pct of male employment modeled ilo estimate,0.02049,False,0.01593,False,Decision
26,wage and salaried workers male pct of male employment modeled ilo estimate,-0.02049,False,-0.01593,False,Decision
27,contributing family workers total pct of total employment modeled ilo estimate,0.02046,False,0.01956,False,Decision
28,wage and salaried workers total pct of total employment modeled ilo estimate,-0.02016,False,-0.0181,False,Decision
29,self-employed total pct of total employment modeled ilo estimate,0.02016,False,0.0181,False,Decision
30,vulnerable employment female pct of female employment modeled ilo estimate,0.02011,False,0.01899,False,Decision
31,death rate crude per 1000 people,0.01972,False,0.01718,False,Decision
32,access to electricity pct of population,-0.01953,False,-0.01187,False,Decision
33,wage and salaried workers female pct of female employment modeled ilo estimate,-0.01951,False,-0.01823,False,Decision
34,self-employed female pct of female employment modeled ilo estimate,0.01951,False,0.01823,False,Decision
35,maternal mortality ratio modeled estimate per 100000 live births,0.01936,False,0.01264,False,Decision
36,land under cereal production hectares,0.01931,False,0.01237,False,Decision
37,prevalence of anemia among children pct of children under 5,0.01912,False,0.01406,False,Decision
38,employers female pct of female employment modeled ilo estimate,-0.0188,False,-0.02309,False,Decision
39,individuals using the internet pct of population,-0.01827,False,-0.02227,False,Decision
40,survival to age 65 female pct of cohort,-0.01782,False,-0.00924,False,Decision
41,employment in services male pct of male employment modeled ilo estimate,-0.01761,False,-0.01668,False,Decision
42,immunization dpt pct of children ages 12-23 months,-0.01747,False,-0.02294,False,Decision
43,life expectancy at birth female years,-0.01731,False,-0.00842,False,Decision
44,life expectancy at birth total years,-0.01729,False,-0.00975,False,Decision
45,lifetime risk of maternal death pct,0.01718,False,0.00996,False,Decision
46,life expectancy at birth male years,-0.01713,False,-0.01116,False,Decision
47,adolescent fertility rate births per 1000 women ages 15-19,0.01702,False,0.00775,False,Decision
48,employment in agriculture male pct of male employment modeled ilo estimate,0.01695,False,0.01377,False,Decision
49,forest area pct of land area,0.01675,False,0.01502,False,Decision
50,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.01664,False,0.01943,False,Decision
51,population ages 35-39 female pct of female population,-0.0165,False,-0.02091,False,Decision
52,population total,0.01625,False,0.01767,False,Decision
53,population male,0.01604,False,0.01656,False,Decision
54,population female,0.01591,False,0.01721,False,Decision
55,survival to age 65 male pct of cohort,-0.01585,False,-0.01083,False,Decision
56,livestock production index 2004-2006 = 100,-0.0154,False,-0.01195,False,Decision
57,population ages 40-44 female pct of female population,-0.01539,False,-0.01702,False,Decision
58,renewable energy consumption pct of total final energy consumption,0.01519,False,0.01044,False,Decision
59,urban population pct of total,-0.01506,False,-0.01463,False,Decision
60,rural population pct of total population,0.01506,False,0.01463,False,Decision
61,mortality rate adult female per 1000 female adults,0.01505,False,0.00861,False,Decision
62,arable land pct of land area,0.01482,False,0.00652,False,Decision
63,food production index 2004-2006 = 100,-0.01477,False,-0.01881,False,Decision
64,co2 emissions from gaseous fuel consumption pct of total,-0.01454,False,-0.01556,False,Decision
65,population ages 35-39 male pct of male population,-0.01385,False,-0.01947,False,Decision
66,employers total pct of total employment modeled ilo estimate,-0.01379,False,-0.01856,False,Decision
67,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.01374,False,0.0172,False,Decision
68,mortality rate adult male per 1000 male adults,0.01351,False,0.01061,False,Decision
69,population ages 40-44 male pct of male population,-0.01341,False,-0.01557,False,Decision
70,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,0.01328,False,0.00733,False,Decision
