#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,co2 emissions from liquid fuel consumption kt,0.04053,True,0.02257,False
2,co2 emissions from gaseous fuel consumption kt,0.03982,True,0.0229,False
3,arable land hectares per person,0.03348,False,0.02606,False
4,surface area sq. km,0.0319,False,0.02502,False
5,forest area sq. km,0.03061,False,0.02473,False
6,land area sq. km,0.03058,False,0.02261,False
7,co2 emissions metric tons per capita,0.02859,False,0.02019,False
8,population ages 45-49 female pct of female population,0.0247,False,0.02688,False
9,population ages 40-44 female pct of female population,0.02223,False,0.02471,False
10,population ages 50-54 female pct of female population,0.02207,False,0.02262,False
11,population ages 45-49 male pct of male population,0.02202,False,0.02441,False
12,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.02032,False,-0.02327,False
13,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.02023,False,-0.02314,False
14,population ages 50-54 male pct of male population,0.02021,False,0.02073,False
15,prevalence of anemia among children pct of children under 5,-0.019,False,-0.0257,False
16,population ages 40-44 male pct of male population,0.01868,False,0.02247,False
17,population ages 55-59 female pct of female population,0.01787,False,0.01893,False
18,fixed telephone subscriptions per 100 people,0.01782,False,0.01617,False
19,co2 emissions kt,0.01745,False,0.02172,False
20,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.01737,False,0.01896,False
21,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.01712,False,0.02039,False
22,population ages 15-64 female pct of total,0.01684,False,0.02014,False
23,population ages 55-59 male pct of male population,0.01681,False,0.01763,False
24,temparature ($^\circ$c),-0.01646,False,-0.01034,False
25,population ages 0-4 female pct of female population,-0.01644,False,-0.01493,False
26,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.0164,False,0.01946,False
27,population ages 5-9 female pct of female population,-0.01628,False,-0.0138,False
28,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.01602,False,0.01906,False
29,population ages 0-14 female pct of total,-0.0159,False,-0.01371,False
30,employment to population ratio 15+ female pct modeled ilo estimate,0.01576,False,0.01962,False
31,population ages 0-4 male pct of male population,-0.01561,False,-0.0146,False
32,birth rate crude per 1000 people,-0.01556,False,-0.01515,False
33,unemployment female pct of female labor force modeled ilo estimate,-0.01534,False,-0.01737,False
