#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,co2 emissions from gaseous fuel consumption kt,0.25264,True,0.07134,True,Decision
2,co2 emissions from liquid fuel consumption kt,0.24842,True,0.07356,True,Decision
3,co2 emissions kt,0.12243,True,0.06919,True,Decision
4,surface area sq. km,0.1189,True,0.07572,True,Decision
5,land area sq. km,0.11745,True,0.07239,True,Decision
6,agricultural land sq. km,0.11275,True,0.0746,True,Decision
7,forest area sq. km,0.11271,True,0.07353,True,Decision
8,fixed telephone subscriptions,0.11221,True,0.06558,True,Decision
9,co2 emissions metric tons per capita,0.10827,True,0.06906,True,Decision
10,cereal production metric tons,0.09568,True,0.06697,True,Decision
11,fixed telephone subscriptions per 100 people,0.08848,True,0.0687,True,Decision
12,land under cereal production hectares,0.07985,True,0.0685,True,Decision
13,arable land hectares per person,0.06042,True,0.07232,True,Decision
14,co2 emissions from solid fuel consumption kt,0.05938,True,0.06649,True,Decision
15,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.05631,True,-0.07118,True,Decision
16,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.05631,True,-0.0712,True,Decision
17,temparature ($^\circ$c),-0.05336,True,-0.05701,True,Decision
18,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.05275,True,0.05645,True,Decision
19,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.05273,True,0.05837,True,Decision
20,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.05014,True,0.05541,True,Decision
21,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.04934,True,0.056,True,Decision
22,gdp per person employed constant 2011 ppp  ,0.04798,True,0.05017,True,Decision
23,population ages 65 and above female,0.04796,True,0.06604,True,Decision
24,food production index 2004-2006 = 100,-0.0475,True,-0.06615,True,Decision
25,urban population,0.04688,True,0.06662,True,Decision
26,population ages 20-24 female pct of female population,-0.04633,True,-0.04842,True,Decision
27,population ages 25-29 female pct of female population,-0.04615,True,-0.05107,True,Decision
28,prevalence of anemia among children pct of children under 5,-0.04542,True,-0.06751,True,Decision
29,mobile cellular subscriptions per 100 people,-0.04424,True,-0.0473,True,Decision
30,crop production index 2004-2006 = 100,-0.04412,True,-0.05931,True,Decision
31,population ages 20-24 male pct of male population,-0.04202,True,-0.0444,True,Decision
32,capture fisheries production metric tons,0.04192,True,0.06724,True,Decision
33,wage and salaried workers male pct of male employment modeled ilo estimate,0.04145,True,0.0577,True,Decision
34,self-employed male pct of male employment modeled ilo estimate,-0.04145,True,-0.0577,True,Decision
35,employment in services pct of total employment modeled ilo estimate,0.04071,True,0.05134,True,Decision
36,population ages 65 and above total,0.04064,True,0.06608,True,Decision
37,self-employed total pct of total employment modeled ilo estimate,-0.04061,True,-0.05521,True,Decision
38,wage and salaried workers total pct of total employment modeled ilo estimate,0.04061,True,0.05521,True,Decision
39,vulnerable employment male pct of male employment modeled ilo estimate,-0.03925,True,-0.054,True,Decision
40,self-employed female pct of female employment modeled ilo estimate,-0.03901,True,-0.04753,True,Decision
41,wage and salaried workers female pct of female employment modeled ilo estimate,0.03901,True,0.04753,True,Decision
42,vulnerable employment total pct of total employment modeled ilo estimate,-0.03898,True,-0.05258,True,Decision
43,employment in services male pct of male employment modeled ilo estimate,0.03888,True,0.04578,True,Decision
44,vulnerable employment female pct of female employment modeled ilo estimate,-0.03886,True,-0.0456,True,Decision
45,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.03816,True,0.04396,True,Decision
46,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.03811,True,0.04479,True,Decision
47,population ages 40-44 female pct of female population,0.03731,True,0.04637,True,Decision
48,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,0.03728,True,0.04575,True,Decision
49,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,0.03705,True,0.04011,True,Decision
50,population ages 80 and above female pct of female population,0.03634,True,0.03539,True,Decision
51,employment in agriculture male pct of male employment modeled ilo estimate,-0.03548,True,-0.05354,True,Decision
52,employment in agriculture pct of total employment modeled ilo estimate,-0.03544,True,-0.05256,True,Decision
53,population ages 40-44 male pct of male population,0.03479,True,0.04469,True,Decision
54,population ages 75-79 female pct of female population,0.03473,True,0.03673,True,Decision
55,employment in services female pct of female employment modeled ilo estimate,0.03461,True,0.03592,True,Decision
56,population ages 25-29 male pct of male population,-0.03396,True,-0.05142,True,Decision
57,employment in agriculture female pct of female employment modeled ilo estimate,-0.03347,False,-0.04889,True,Decision
58,livestock production index 2004-2006 = 100,-0.03343,False,-0.0536,True,Decision
59,population ages 45-49 female pct of female population,0.0327,False,0.03675,True,Decision
60,population ages 65 and above male,0.03267,False,0.06618,True,Decision
61,renewable energy consumption pct of total final energy consumption,-0.03208,False,-0.04394,True,Decision
62,permanent cropland pct of land area,-0.03155,False,-0.04323,True,Decision
63,cereal yield kg per hectare,0.03152,False,0.03589,True,Decision
64,contributing family workers female pct of female employment modeled ilo estimate,-0.03079,False,-0.06323,True,Decision
67,energy intensity level of primary energy mj  2011 ppp gdp,0.03063,False,0.06013,True,Decision
68,employment to population ratio 15+ female pct modeled ilo estimate,0.03045,False,0.0374,True,Decision
69,population ages 45-49 male pct of male population,0.02998,False,0.03572,True,Decision
71,co2 emissions from solid fuel consumption pct of total,0.02962,False,0.04249,True,Decision
76,population ages 70-74 female pct of female population,0.0287,False,0.03402,True,Decision
79,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,0.0285,False,0.03423,True,Decision
80,contributing family workers total pct of total employment modeled ilo estimate,-0.02802,False,-0.06266,True,Decision
84,access to electricity rural pct of rural population,0.02669,False,0.0489,True,Decision
89,contributing family workers male pct of male employment modeled ilo estimate,-0.02428,False,-0.06368,True,Decision
92,employment to population ratio 15+ total pct modeled ilo estimate,0.02366,False,0.03706,True,Decision
94,population ages 35-39 male pct of male population,0.02362,False,0.04401,True,Decision
102,population female,0.02158,False,0.06883,True,Decision
107,employment in industry male pct of male employment modeled ilo estimate,0.0207,False,0.03718,True,Decision
108,population total,0.02051,False,0.06912,True,Decision
109,access to electricity urban pct of urban population,0.02045,False,0.04361,True,Decision
112,access to electricity pct of population,0.02004,False,0.04563,True,Decision
114,population ages 35-39 female pct of female population,0.01984,False,0.0409,True,Decision
117,population ages 0-14 female,0.01915,False,0.06071,True,Decision
118,population ages 15-64 female,0.01867,False,0.06813,True,Decision
122,population male,0.01825,False,0.06438,True,Decision
127,population ages 0-14 total,0.01791,False,0.06064,True,Decision
128,population ages 15-64 total,0.01775,False,0.06814,True,Decision
129,labor force total,0.01765,False,0.06835,True,Decision
132,population ages 15-64 male,0.01688,False,0.06811,True,Decision
133,population ages 0-14 male,0.01681,False,0.06062,True,Decision
145,natural gas rents pct of gdp,0.01377,False,0.05129,True,Decision
150,population density people per sq. km of land area,-0.01324,False,-0.04482,True,Decision
153,arable land pct of land area,0.0129,False,0.03658,True,Decision
173,mobile cellular subscriptions,0.0067,False,0.04303,True,Decision
182,coal rents pct of gdp,-0.00335,False,0.05056,True,Decision
185,rural population,-0.00271,False,0.05832,True,Decision
188,total fisheries production metric tons,0.00223,False,0.05258,True,Decision
65,population ages 65 and above female pct of total,0.03078,False,0.03192,False,Decision
66,population ages 80 and above male pct of male population,0.03066,False,0.03309,False,Decision
70,population ages 50-54 female pct of female population,0.02966,False,0.02478,False,Decision
72,age dependency ratio old pct of working-age population,0.02936,False,0.03271,False,Decision
73,labor force female pct of total labor force,0.02931,False,0.02785,False,Decision
74,population ages 15-19 female pct of female population,-0.02893,False,-0.02074,False,Decision
75,population ages 75-79 male pct of male population,0.02874,False,0.03072,False,Decision
77,urban population pct of total,0.02862,False,0.0279,False,Decision
78,rural population pct of total population,-0.02862,False,-0.0279,False,Decision
81,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.02795,False,-0.02966,False,Decision
82,population ages 65 and above pct of total,0.02791,False,0.02952,False,Decision
