#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,population ages 55-59 female pct of female population,0.40889,True,0.4096,True,Decision
2,population ages 80 and above male pct of male population,0.40863,True,0.43117,True,Decision
3,population ages 80 and above female pct of female population,0.39827,True,0.41612,True,Decision
4,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.39777,True,-0.41435,True,Decision
5,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.39723,True,-0.41389,True,Decision
6,life expectancy at birth female years,0.3962,True,0.41586,True,Decision
7,population ages 65 and above pct of total,0.39276,True,0.40135,True,Decision
8,population ages 65 and above female pct of total,0.39164,True,0.39699,True,Decision
9,age dependency ratio old pct of working-age population,0.39008,True,0.40805,True,Decision
10,population ages 65 and above male pct of total,0.38959,True,0.40542,True,Decision
11,population ages 75-79 male pct of male population,0.38835,True,0.41306,True,Decision
12,population ages 55-59 male pct of male population,0.38803,True,0.39123,True,Decision
13,population ages 75-79 female pct of female population,0.38699,True,0.40097,True,Decision
14,life expectancy at birth total years,0.38503,True,0.39033,True,Decision
15,population ages 70-74 male pct of male population,0.38186,True,0.39658,True,Decision
16,population ages 60-64 female pct of female population,0.38176,True,0.37583,True,Decision
17,population ages 70-74 female pct of female population,0.38003,True,0.38684,True,Decision
18,survival to age 65 female pct of cohort,0.37462,True,0.38401,True,Decision
19,population ages 60-64 male pct of male population,0.37457,True,0.36922,True,Decision
20,mobile cellular subscriptions per 100 people,0.37392,True,0.39177,True,Decision
21,mortality rate infant per 1000 live births,-0.37031,True,-0.41115,True,Decision
22,employment in agriculture female pct of female employment modeled ilo estimate,-0.36822,True,-0.32219,True,Decision
23,life expectancy at birth male years,0.36724,True,0.36968,True,Decision
24,population ages 5-9 female pct of female population,-0.36704,True,-0.36715,True,Decision
25,population ages 65-69 female pct of female population,0.3655,True,0.37967,True,Decision
26,population ages 0-14 female pct of total,-0.36363,True,-0.36268,True,Decision
27,total natural resources rents pct of gdp,-0.35832,True,-0.39042,True,Decision
28,population ages 65-69 male pct of male population,0.3578,True,0.37935,True,Decision
29,population ages 0-4 female pct of female population,-0.35758,True,-0.35687,True,Decision
30,population ages 50-54 female pct of female population,0.35753,True,0.35728,True,Decision
31,mortality rate neonatal per 1000 live births,-0.35736,True,-0.40006,True,Decision
32,employment in services female pct of female employment modeled ilo estimate,0.35683,True,0.32608,True,Decision
33,mortality rate adult female per 1000 female adults,-0.35579,True,-0.3584,True,Decision
34,prevalence of anemia among children pct of children under 5,-0.35237,True,-0.36301,True,Decision
35,population ages 10-14 female pct of female population,-0.34947,True,-0.34775,True,Decision
36,employment in services pct of total employment modeled ilo estimate,0.34829,True,0.35163,True,Decision
37,vulnerable employment female pct of female employment modeled ilo estimate,-0.34543,True,-0.30542,True,Decision
38,population ages 0-14 pct of total,-0.34477,True,-0.33672,True,Decision
39,mortality rate under-5 per 1000 live births,-0.34415,True,-0.41065,True,Decision
40,individuals using the internet pct of population,0.3429,True,0.36769,True,Decision
41,birth rate crude per 1000 people,-0.34266,True,-0.32554,True,Decision
42,self-employed female pct of female employment modeled ilo estimate,-0.34075,True,-0.30314,True,Decision
43,wage and salaried workers female pct of female employment modeled ilo estimate,0.34075,True,0.30314,True,Decision
44,employment in agriculture pct of total employment modeled ilo estimate,-0.34004,True,-0.33765,True,Decision
45,access to electricity pct of population,0.33672,True,0.37356,True,Decision
46,population ages 5-9 male pct of male population,-0.33263,True,-0.33237,True,Decision
47,age dependency ratio young pct of working-age population,-0.33192,True,-0.32006,True,Decision
48,fixed telephone subscriptions per 100 people,0.33118,True,0.3613,True,Decision
49,population ages 0-4 male pct of male population,-0.32998,True,-0.32069,True,Decision
50,population ages 0-14 male pct of total,-0.32905,True,-0.33079,True,Decision
51,maternal mortality ratio modeled estimate per 100000 live births,-0.32843,True,-0.38242,True,Decision
52,survival to age 65 male pct of cohort,0.32797,True,0.32969,True,Decision
53,fertility rate total births per woman,-0.32516,True,-0.3008,True,Decision
54,population ages 50-54 male pct of male population,0.32493,True,0.32508,True,Decision
55,vulnerable employment total pct of total employment modeled ilo estimate,-0.32483,True,-0.28776,True,Decision
56,wage and salaried workers total pct of total employment modeled ilo estimate,0.32413,True,0.29397,True,Decision
57,self-employed total pct of total employment modeled ilo estimate,-0.32413,True,-0.29397,True,Decision
58,access to electricity urban pct of urban population,0.31747,True,0.36203,True,Decision
59,population ages 15-19 female pct of female population,-0.31188,True,-0.30881,True,Decision
60,lifetime risk of maternal death 1 in  rate varies by country,0.31061,True,0.33976,True,Decision
61,urban population pct of total,0.30896,True,0.31273,True,Decision
62,rural population pct of total population,-0.30896,True,-0.31273,True,Decision
63,urban population growth annual pct,-0.30773,True,-0.38394,True,Decision
64,lifetime risk of maternal death pct,-0.30594,True,-0.38898,True,Decision
65,immunization dpt pct of children ages 12-23 months,0.30567,True,0.24538,True,Decision
66,population ages 10-14 male pct of male population,-0.3029,True,-0.30879,True,Decision
67,employment in agriculture male pct of male employment modeled ilo estimate,-0.30289,True,-0.29767,True,Decision
68,vulnerable employment male pct of male employment modeled ilo estimate,-0.30128,True,-0.27293,True,Decision
69,population ages 45-49 female pct of female population,0.30075,True,0.306,True,Decision
70,wage and salaried workers male pct of male employment modeled ilo estimate,0.2968,True,0.28295,True,Decision
71,self-employed male pct of male employment modeled ilo estimate,-0.2968,True,-0.28295,True,Decision
72,immunization measles pct of children ages 12-23 months,0.29484,True,0.23873,True,Decision
73,mortality rate adult male per 1000 male adults,-0.29119,True,-0.27732,True,Decision
74,contributing family workers female pct of female employment modeled ilo estimate,-0.28538,True,-0.26804,True,Decision
75,employment in industry male pct of male employment modeled ilo estimate,0.28481,True,0.29811,True,Decision
76,contributing family workers total pct of total employment modeled ilo estimate,-0.28371,True,-0.27044,True,Decision
77,access to electricity rural pct of rural population,0.27905,True,0.32703,True,Decision
78,adolescent fertility rate births per 1000 women ages 15-19,-0.27193,True,-0.21099,True,Decision
79,population ages 45-49 male pct of male population,0.27067,True,0.25788,True,Decision
80,oil rents pct of gdp,-0.27065,True,-0.2188,True,Decision
81,employment in services male pct of male employment modeled ilo estimate,0.2659,True,0.26703,True,Decision
82,population ages 20-24 female pct of female population,-0.26426,True,-0.25202,True,Decision
83,contributing family workers male pct of male employment modeled ilo estimate,-0.25356,True,-0.25026,True,Decision
84,renewable energy consumption pct of total final energy consumption,-0.25097,True,-0.21338,True,Decision
85,age dependency ratio pct of working-age population,-0.25093,True,-0.19918,True,Decision
86,population ages 15-19 male pct of male population,-0.24839,True,-0.26197,True,Decision
87,population ages 15-64 female pct of total,0.23294,True,0.19593,True,Decision
88,forest rents pct of gdp,-0.22923,True,-0.27305,True,Decision
89,population ages 15-64 male pct of total,0.22772,True,0.20882,True,Decision
90,population ages 15-64 pct of total,0.22417,True,0.19837,True,Decision
91,capture fisheries production metric tons,-0.21952,True,-0.17346,True,Decision
92,gdp per person employed constant 2011 ppp  ,0.20906,True,0.27761,True,Decision
93,total fisheries production metric tons,-0.20763,True,-0.17819,True,Decision
