#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,arable land hectares per person,0.03431,True,0.0312,False
2,co2 emissions from liquid fuel consumption kt,0.03225,False,0.01341,False
3,co2 emissions from gaseous fuel consumption kt,0.03175,False,0.01154,False
4,surface area sq. km,0.02901,False,0.02885,False
5,land area sq. km,0.0278,False,0.02671,False
6,forest area sq. km,0.02502,False,0.02617,False
7,co2 emissions metric tons per capita,0.01906,False,0.00837,False
8,employment in industry female pct of female employment modeled ilo estimate,0.019,False,0.01358,False
9,secondary education duration years,-0.01658,False,-0.0191,False
10,mobile cellular subscriptions per 100 people,-0.0148,False,-0.01705,False
11,agricultural land sq. km,0.01442,False,0.02214,False
12,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.01318,False,-0.01407,False
13,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.01312,False,-0.0142,False
14,population ages 45-49 female pct of female population,0.01312,False,0.01549,False
15,co2 emissions kt,0.01276,False,0.01198,False
16,population ages 25-29 female pct of female population,-0.01177,False,-0.0132,False
17,total natural resources rents pct of gdp,-0.01176,False,-0.00904,False
18,population ages 50-54 female pct of female population,0.01113,False,0.01161,False
19,rainfall (mm),-0.01087,False,-0.00671,False
20,population ages 45-49 male pct of male population,0.01074,False,0.01301,False
21,population ages 40-44 female pct of female population,0.0107,False,0.01345,False
22,cereal production metric tons,0.01006,False,0.01901,False
23,population ages 25-29 male pct of male population,-0.01005,False,-0.01358,False
24,natural gas rents pct of gdp,0.01002,False,0.01434,False
25,land under cereal production hectares,0.00965,False,0.02416,False
26,population ages 50-54 male pct of male population,0.0095,False,0.00997,False
27,temparature ($^\circ$c),-0.00882,False,-0.00075,False
28,population ages 20-24 female pct of female population,-0.00863,False,-0.00916,False
29,fixed telephone subscriptions per 100 people,0.00858,False,0.00594,False
30,forest rents pct of gdp,-0.00836,False,-0.01399,False
31,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.00829,False,0.01027,False
32,population ages 55-59 female pct of female population,0.00826,False,0.00836,False
33,oil rents pct of gdp,-0.00814,False,0.00682,False
34,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.00812,False,0.00852,False
35,fixed telephone subscriptions,0.00808,False,0.00951,False
36,population ages 40-44 male pct of male population,0.00799,False,0.01126,False
37,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.00752,False,0.00981,False
38,primary education duration years,0.00747,False,0.00785,False
39,population ages 20-24 male pct of male population,-0.00741,False,-0.00912,False
40,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.00739,False,0.00821,False
41,population ages 55-59 male pct of male population,0.00725,False,0.00701,False
42,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.00703,False,0.0067,False
43,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.00682,False,0.00784,False
44,mineral rents pct of gdp,-0.0068,False,-0.0051,False
45,permanent cropland pct of land area,-0.00674,False,-0.01235,False
46,mortality rate adult male per 1000 male adults,0.00651,False,0.01269,False
47,population ages 30-34 female pct of female population,-0.0065,False,-0.00747,False
48,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,-0.0064,False,-0.0087,False
49,population ages 30-34 male pct of male population,-0.00632,False,-0.00678,False
50,preprimary education duration years,-0.00628,False,-0.00803,False
51,primary school starting age years,-0.00619,False,-0.00726,False
52,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,-0.00617,False,-0.00577,False
53,food production index 2004-2006 = 100,-0.00601,False,-0.00827,False
54,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,-0.00585,False,-0.00443,False
55,crop production index 2004-2006 = 100,-0.00585,False,-0.01109,False
56,population density people per sq. km of land area,-0.00583,False,-0.01993,False
57,population ages 15-19 female pct of female population,-0.00581,False,-0.00273,False
58,vulnerable employment female pct of female employment modeled ilo estimate,-0.00568,False,-0.00399,False
59,self-employed female pct of female employment modeled ilo estimate,-0.00561,False,-0.00325,False
60,wage and salaried workers female pct of female employment modeled ilo estimate,0.00561,False,0.00325,False
61,population ages 80 and above male pct of male population,0.00557,False,0.00697,False
62,number of maternal deaths,-0.00555,False,0.00116,False
63,unemployment male pct of male labor force modeled ilo estimate,-0.00545,False,-0.00445,False
64,number of infant deaths,-0.00537,False,0.00621,False
65,gdp per person employed constant 2011 ppp  ,0.00523,False,0.00651,False
66,number of under-five deaths,-0.00516,False,0.00561,False
67,wage and salaried workers total pct of total employment modeled ilo estimate,0.00509,False,0.00409,False
68,self-employed total pct of total employment modeled ilo estimate,-0.00509,False,-0.00409,False
69,vulnerable employment total pct of total employment modeled ilo estimate,-0.00507,False,-0.00394,False
70,population ages 5-9 female pct of female population,-0.00505,False,-0.00384,False
71,number of neonatal deaths,-0.00503,False,0.00849,False
72,population ages 15-64 female pct of total,0.0049,False,0.00894,False
73,population growth annual pct,-0.0048,False,-0.00498,False
74,population male pct of total,-0.00477,False,-0.00375,False
75,population female pct of total,0.00477,False,0.00375,False
76,rural population,-0.0046,False,0.01621,False
77,cereal yield kg per hectare,-0.00453,False,-0.00342,False
78,population ages 0-14 female pct of total,-0.00444,False,-0.00343,False
79,population ages 75-79 male pct of male population,0.00438,False,0.00618,False
80,unemployment total pct of total labor force modeled ilo estimate,-0.00437,False,-0.00488,False
81,vulnerable employment male pct of male employment modeled ilo estimate,-0.00429,False,-0.00326,False
82,population ages 15-19 male pct of male population,-0.00426,False,-0.00181,False
83,wage and salaried workers male pct of male employment modeled ilo estimate,0.00423,False,0.00324,False
84,self-employed male pct of male employment modeled ilo estimate,-0.00423,False,-0.00324,False
85,population ages 5-9 male pct of male population,-0.00419,False,-0.00331,False
86,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.00409,False,0.00201,False
87,agricultural land pct of land area,-0.00407,False,-0.00138,False
88,population ages 10-14 female pct of female population,-0.00407,False,-0.00209,False
89,immunization measles pct of children ages 12-23 months,-0.00405,False,-0.00286,False
90,population ages 0-4 female pct of female population,-0.00404,False,-0.00419,False
91,prevalence of anemia among children pct of children under 5,-0.00401,False,-0.01261,False
92,employment in services female pct of female employment modeled ilo estimate,-0.00393,False,-0.00148,False
93,population ages 80 and above female pct of female population,0.00388,False,0.005,False
94,population ages 0-14 pct of total,-0.00388,False,-0.00273,False
95,employment to population ratio 15+ male pct modeled ilo estimate,0.00386,False,0.00363,False
96,livestock production index 2004-2006 = 100,-0.00382,False,-0.00304,False
97,energy intensity level of primary energy mj  2011 ppp gdp,0.00381,False,0.01871,False
98,co2 emissions from solid fuel consumption kt,0.00377,False,0.00989,False
99,population ages 0-14 male pct of total,-0.0036,False,-0.00248,False
100,population ages 65 and above male pct of total,0.00359,False,0.00489,False
101,population ages 15-64 pct of total,0.00358,False,0.00784,False
102,urban population pct of total,-0.00348,False,-0.00389,False
103,rural population pct of total population,0.00348,False,0.00389,False
104,mortality rate adult female per 1000 female adults,0.00344,False,0.01215,False
105,coal rents pct of gdp,-0.00341,False,0.01142,False
106,individuals using the internet pct of population,0.00338,False,0.0002,False
107,age dependency ratio young pct of working-age population,-0.00337,False,-0.00254,False
108,employers female pct of female employment modeled ilo estimate,0.00336,False,0.00806,False
109,population ages 0-4 male pct of male population,-0.00335,False,-0.00393,False
110,capture fisheries production metric tons,0.00335,False,0.01455,False
111,birth rate crude per 1000 people,-0.00326,False,-0.00454,False
112,age dependency ratio pct of working-age population,-0.00324,False,-0.00784,False
113,immunization dpt pct of children ages 12-23 months,-0.00324,False,0.00389,False
114,forest area pct of land area,-0.00323,False,-0.0013,False
