#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,life expectancy at birth female years,0.57345,True,0.55166,True,Decision
2,life expectancy at birth total years,0.5615,True,0.52555,True,Decision
3,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.55506,True,-0.55316,True,Decision
4,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.55313,True,-0.55183,True,Decision
5,survival to age 65 female pct of cohort,0.55077,True,0.52342,True,Decision
6,population ages 0-4 female pct of female population,-0.54278,True,-0.51996,True,Decision
7,life expectancy at birth male years,0.54125,True,0.50839,True,Decision
8,birth rate crude per 1000 people,-0.53859,True,-0.49494,True,Decision
9,mortality rate infant per 1000 live births,-0.53829,True,-0.52352,True,Decision
10,prevalence of anemia among children pct of children under 5,-0.53637,True,-0.51456,True,Decision
11,mortality rate under-5 per 1000 live births,-0.53086,True,-0.52539,True,Decision
12,fertility rate total births per woman,-0.52951,True,-0.4829,True,Decision
13,population ages 0-14 female pct of total,-0.52454,True,-0.50319,True,Decision
14,population ages 5-9 female pct of female population,-0.52246,True,-0.50405,True,Decision
15,access to electricity pct of population,0.51644,True,0.51258,True,Decision
16,population ages 0-4 male pct of male population,-0.5148,True,-0.48173,True,Decision
17,mortality rate neonatal per 1000 live births,-0.51281,True,-0.51121,True,Decision
18,mortality rate adult female per 1000 female adults,-0.51181,True,-0.48119,True,Decision
19,age dependency ratio young pct of working-age population,-0.50447,True,-0.46292,True,Decision
20,population ages 0-14 pct of total,-0.50437,True,-0.47392,True,Decision
21,population ages 55-59 female pct of female population,0.50027,True,0.51049,True,Decision
22,population ages 50-54 female pct of female population,0.49613,True,0.49315,True,Decision
23,survival to age 65 male pct of cohort,0.4942,True,0.47078,True,Decision
24,population ages 55-59 male pct of male population,0.49128,True,0.50443,True,Decision
25,maternal mortality ratio modeled estimate per 100000 live births,-0.48906,True,-0.49899,True,Decision
26,employment in agriculture female pct of female employment modeled ilo estimate,-0.48826,True,-0.43522,True,Decision
27,population ages 0-14 male pct of total,-0.48723,True,-0.46809,True,Decision
28,access to electricity urban pct of urban population,0.48622,True,0.50502,True,Decision
29,population ages 5-9 male pct of male population,-0.48429,True,-0.46507,True,Decision
30,population ages 80 and above male pct of male population,0.48307,True,0.54083,True,Decision
31,population ages 65 and above male pct of total,0.48305,True,0.52825,True,Decision
32,population ages 65 and above pct of total,0.48232,True,0.52164,True,Decision
33,vulnerable employment female pct of female employment modeled ilo estimate,-0.4819,True,-0.42744,True,Decision
34,population ages 70-74 male pct of male population,0.4809,True,0.52457,True,Decision
35,lifetime risk of maternal death pct,-0.48053,True,-0.51531,True,Decision
36,population ages 75-79 male pct of male population,0.47924,True,0.53364,True,Decision
37,employment in agriculture pct of total employment modeled ilo estimate,-0.47904,True,-0.46522,True,Decision
38,population ages 65 and above female pct of total,0.47821,True,0.51494,True,Decision
39,self-employed female pct of female employment modeled ilo estimate,-0.4763,True,-0.42484,True,Decision
40,wage and salaried workers female pct of female employment modeled ilo estimate,0.4763,True,0.42484,True,Decision
41,population ages 75-79 female pct of female population,0.47595,True,0.51924,True,Decision
42,population ages 80 and above female pct of female population,0.47438,True,0.53095,True,Decision
43,fixed telephone subscriptions per 100 people,0.47331,True,0.51999,True,Decision
44,population ages 70-74 female pct of female population,0.46979,True,0.50848,True,Decision
45,population ages 10-14 female pct of female population,-0.46911,True,-0.46476,True,Decision
46,employment in services pct of total employment modeled ilo estimate,0.46773,True,0.4574,True,Decision
47,population ages 50-54 male pct of male population,0.46711,True,0.46588,True,Decision
48,age dependency ratio old pct of working-age population,0.46606,True,0.51321,True,Decision
49,vulnerable employment total pct of total employment modeled ilo estimate,-0.46453,True,-0.40786,True,Decision
50,self-employed total pct of total employment modeled ilo estimate,-0.46277,True,-0.41314,True,Decision
51,wage and salaried workers total pct of total employment modeled ilo estimate,0.46277,True,0.41314,True,Decision
52,population ages 45-49 female pct of female population,0.45849,True,0.46125,True,Decision
53,population ages 65-69 male pct of male population,0.4581,True,0.50195,True,Decision
54,population ages 65-69 female pct of female population,0.45492,True,0.49049,True,Decision
55,population ages 60-64 male pct of male population,0.45357,True,0.4744,True,Decision
56,employment in services female pct of female employment modeled ilo estimate,0.45211,True,0.41128,True,Decision
57,adolescent fertility rate births per 1000 women ages 15-19,-0.4508,True,-0.36845,True,Decision
58,employment in agriculture male pct of male employment modeled ilo estimate,-0.45056,True,-0.43012,True,Decision
59,population ages 60-64 female pct of female population,0.44973,True,0.46837,True,Decision
