#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,co2 emissions from gaseous fuel consumption kt,0.24558,True,0.07029,True
2,co2 emissions from liquid fuel consumption kt,0.24257,True,0.07418,True
3,co2 emissions kt,0.11963,True,0.0705,True
4,surface area sq. km,0.11717,True,0.07721,True
5,land area sq. km,0.11559,True,0.07398,True
6,agricultural land sq. km,0.112,True,0.07592,True
7,forest area sq. km,0.11004,True,0.07417,True
8,fixed telephone subscriptions,0.10885,True,0.06586,True
9,co2 emissions metric tons per capita,0.10334,True,0.06464,True
10,cereal production metric tons,0.09689,True,0.06915,True
11,land under cereal production hectares,0.08781,True,0.07145,True
12,fixed telephone subscriptions per 100 people,0.08329,True,0.06384,True
13,co2 emissions from solid fuel consumption kt,0.05829,True,0.06878,True
14,arable land hectares per person,0.05822,True,0.07067,True
15,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.04994,True,0.053,True
16,temparature ($^\circ$c),-0.04983,True,-0.05245,True
17,food production index 2004-2006 = 100,-0.04982,True,-0.06857,True
18,population ages 65 and above female,0.04976,True,0.06833,True
19,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.04971,True,-0.06517,True
20,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.0496,True,-0.06516,True
21,urban population,0.04931,True,0.06902,True
22,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.04923,True,0.05425,True
23,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.04902,True,0.05423,True
24,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.04881,True,0.0558,True
25,mobile cellular subscriptions per 100 people,-0.04754,True,-0.05056,True
26,crop production index 2004-2006 = 100,-0.04545,True,-0.06138,True
27,population ages 25-29 female pct of female population,-0.04452,True,-0.04903,True
28,gdp per person employed constant 2011 ppp  ,0.04397,True,0.04541,True
29,population ages 20-24 female pct of female population,-0.04352,True,-0.04573,True
30,population ages 65 and above total,0.04274,True,0.06848,True
