#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,mortality rate under-5 per 1000 live births,0.39497,True,0.27097,True,Decision
2,fertility rate total births per woman,0.37237,True,0.26707,True,Decision
3,mortality rate infant per 1000 live births,0.3565,True,0.26472,True,Decision
4,access to electricity pct of population,-0.3561,True,-0.26257,True,Decision
5,birth rate crude per 1000 people,0.34703,True,0.26586,True,Decision
6,mortality rate neonatal per 1000 live births,0.34649,True,0.26614,True,Decision
7,life expectancy at birth female years,-0.34531,True,-0.26821,True,Decision
8,age dependency ratio pct of working-age population,0.34353,True,0.27202,True,Decision
9,prevalence of anemia among children pct of children under 5,0.34255,True,0.27016,True,Decision
10,life expectancy at birth total years,-0.34163,True,-0.26802,True,Decision
11,lifetime risk of maternal death pct,0.34078,True,0.25673,True,Decision
12,survival to age 65 female pct of cohort,-0.33487,True,-0.26017,True,Decision
13,life expectancy at birth male years,-0.33449,True,-0.26673,True,Decision
14,age dependency ratio young pct of working-age population,0.33389,True,0.27014,True,Decision
15,population ages 0-4 male pct of male population,0.32914,True,0.26464,True,Decision
16,population ages 15-64 female pct of total,-0.32813,True,-0.27228,True,Decision
17,access to electricity urban pct of urban population,-0.32755,True,-0.26031,True,Decision
18,access to electricity rural pct of rural population,-0.32329,True,-0.24584,True,Decision
19,population ages 0-4 female pct of female population,0.32207,True,0.26345,True,Decision
20,population ages 15-64 pct of total,-0.32016,True,-0.27194,True,Decision
21,employment in agriculture male pct of male employment modeled ilo estimate,0.31567,True,0.25002,True,Decision
22,population ages 15-64 male pct of total,-0.31351,True,-0.27037,True,Decision
23,maternal mortality ratio modeled estimate per 100000 live births,0.31104,True,0.25369,True,Decision
24,immunization dpt pct of children ages 12-23 months,-0.30813,True,-0.22473,True,Decision
25,population ages 0-14 male pct of total,0.30583,True,0.26943,True,Decision
26,population ages 0-14 pct of total,0.30522,True,0.26883,True,Decision
27,employment in agriculture pct of total employment modeled ilo estimate,0.30458,True,0.24539,True,Decision
28,mortality rate adult female per 1000 female adults,0.30404,True,0.24953,True,Decision
29,survival to age 65 male pct of cohort,-0.30375,True,-0.25803,True,Decision
30,immunization measles pct of children ages 12-23 months,-0.30283,True,-0.23521,True,Decision
31,population ages 0-14 female pct of total,0.30122,True,0.26793,True,Decision
32,adolescent fertility rate births per 1000 women ages 15-19,0.30051,True,0.23665,True,Decision
33,death rate crude per 1000 people,0.30016,True,0.2411,True,Decision
34,vulnerable employment male pct of male employment modeled ilo estimate,0.29907,True,0.24841,True,Decision
35,population ages 5-9 male pct of male population,0.2985,True,0.26813,True,Decision
36,renewable energy consumption pct of total final energy consumption,0.29496,True,0.23258,True,Decision
37,population ages 5-9 female pct of female population,0.29445,True,0.26576,True,Decision
38,wage and salaried workers male pct of male employment modeled ilo estimate,-0.29373,True,-0.24672,True,Decision
39,self-employed male pct of male employment modeled ilo estimate,0.29373,True,0.24672,True,Decision
40,vulnerable employment total pct of total employment modeled ilo estimate,0.29128,True,0.24919,True,Decision
41,self-employed total pct of total employment modeled ilo estimate,0.28684,True,0.24731,True,Decision
