#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,mortality rate neonatal per 1000 live births,0.04696,True,0.03263,False
2,mortality rate infant per 1000 live births,0.04576,True,0.03175,False
3,mortality rate under-5 per 1000 live births,0.04496,True,0.03105,False
4,maternal mortality ratio modeled estimate per 100000 live births,0.04443,True,0.03116,False
5,access to electricity urban pct of urban population,-0.04352,True,-0.03126,False
6,access to electricity pct of population,-0.04299,True,-0.03099,False
7,immunization measles pct of children ages 12-23 months,-0.04291,True,-0.03127,False
8,mortality rate adult female per 1000 female adults,0.04282,True,0.02959,False
9,survival to age 65 female pct of cohort,-0.04277,True,-0.03022,False
10,life expectancy at birth female years,-0.0426,True,-0.03107,False
11,life expectancy at birth total years,-0.04187,True,-0.03085,False
12,prevalence of anemia among children pct of children under 5,0.04152,True,0.03239,False
13,life expectancy at birth male years,-0.04062,True,-0.03067,False
14,lifetime risk of maternal death pct,0.04029,True,0.03054,False
15,death rate crude per 1000 people,0.04008,True,0.02827,False
16,employment in agriculture pct of total employment modeled ilo estimate,0.03999,True,0.03137,False
17,employment in agriculture male pct of male employment modeled ilo estimate,0.03984,True,0.03153,False
18,immunization dpt pct of children ages 12-23 months,-0.03911,True,-0.02994,False
19,renewable energy consumption pct of total final energy consumption,0.03905,True,0.0304,False
20,employment in services pct of total employment modeled ilo estimate,-0.03868,True,-0.03222,False
21,employment in services male pct of male employment modeled ilo estimate,-0.03844,True,-0.0323,False
22,survival to age 65 male pct of cohort,-0.03751,True,-0.02954,False
23,employment in services female pct of female employment modeled ilo estimate,-0.03735,True,-0.03162,False
24,fertility rate total births per woman,0.03725,True,0.02977,False
25,adolescent fertility rate births per 1000 women ages 15-19,0.03668,True,0.02922,False
26,employment in agriculture female pct of female employment modeled ilo estimate,0.03591,True,0.02955,False
27,birth rate crude per 1000 people,0.03573,True,0.02923,False
28,mortality rate adult male per 1000 male adults,0.03546,True,0.02869,False
29,access to electricity rural pct of rural population,-0.03434,True,-0.02752,False
30,co2 emissions from liquid fuel consumption pct of total,0.03388,False,0.03212,False
31,mobile cellular subscriptions per 100 people,-0.03348,False,-0.03101,False
32,population ages 0-4 female pct of female population,0.03341,False,0.02848,False
33,population ages 0-4 male pct of male population,0.03339,False,0.02867,False
34,population ages 15-64 female pct of total,-0.03317,False,-0.02869,False
35,age dependency ratio pct of working-age population,0.03293,False,0.02845,False
36,age dependency ratio young pct of working-age population,0.03249,False,0.02781,False
37,population ages 15-64 pct of total,-0.03215,False,-0.02845,False
38,employment in industry male pct of male employment modeled ilo estimate,-0.0318,False,-0.02941,False
39,population ages 15-64 male pct of total,-0.03124,False,-0.02845,False
40,population ages 0-14 pct of total,0.0312,False,0.02761,False
41,population ages 0-14 female pct of total,0.03114,False,0.02769,False
42,population ages 0-14 male pct of total,0.03088,False,0.02761,False
43,population ages 5-9 female pct of female population,0.03053,False,0.02722,False
44,population ages 5-9 male pct of male population,0.03031,False,0.02705,False
45,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.02812,False,0.02616,False
46,population ages 40-44 female pct of female population,-0.02768,False,-0.02515,False
47,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.02758,False,0.02588,False
48,population ages 45-49 male pct of male population,-0.02694,False,-0.02493,False
49,population ages 50-54 male pct of male population,-0.02674,False,-0.02569,False
50,population ages 45-49 female pct of female population,-0.02664,False,-0.02412,False
51,population ages 50-54 female pct of female population,-0.02658,False,-0.02597,False
52,population ages 35-39 female pct of female population,-0.02655,False,-0.02721,False
53,population ages 10-14 female pct of female population,0.02653,False,0.02488,False
54,vulnerable employment total pct of total employment modeled ilo estimate,0.02635,False,0.02426,False
55,wage and salaried workers total pct of total employment modeled ilo estimate,-0.02629,False,-0.02451,False
56,self-employed total pct of total employment modeled ilo estimate,0.02629,False,0.02451,False
57,population ages 40-44 male pct of male population,-0.02619,False,-0.02491,False
58,vulnerable employment female pct of female employment modeled ilo estimate,0.02617,False,0.0245,False
59,employment in industry pct of total employment modeled ilo estimate,-0.02609,False,-0.02087,False
60,vulnerable employment male pct of male employment modeled ilo estimate,0.02601,False,0.02416,False
61,wage and salaried workers female pct of female employment modeled ilo estimate,-0.02601,False,-0.02444,False
62,self-employed female pct of female employment modeled ilo estimate,0.02601,False,0.02444,False
63,self-employed male pct of male employment modeled ilo estimate,0.02588,False,0.02407,False
64,wage and salaried workers male pct of male employment modeled ilo estimate,-0.02588,False,-0.02407,False
65,population ages 10-14 male pct of male population,0.02563,False,0.02358,False
