#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,survival to age 65 female pct of cohort,-0.58837,True,-0.48571,True,Decision
2,mortality rate adult female per 1000 female adults,0.58648,True,0.48905,True,Decision
3,life expectancy at birth female years,-0.57671,True,-0.48408,True,Decision
4,life expectancy at birth total years,-0.57043,True,-0.48411,True,Decision
5,mortality rate infant per 1000 live births,0.56033,True,0.47913,True,Decision
6,life expectancy at birth male years,-0.55814,True,-0.48218,True,Decision
7,access to electricity pct of population,-0.55705,True,-0.46737,True,Decision
8,fertility rate total births per woman,0.55621,True,0.47047,True,Decision
9,birth rate crude per 1000 people,0.55362,True,0.47435,True,Decision
10,maternal mortality ratio modeled estimate per 100000 live births,0.5531,True,0.4728,True,Decision
11,age dependency ratio pct of working-age population,0.55282,True,0.48535,True,Decision
12,age dependency ratio young pct of working-age population,0.55087,True,0.47753,True,Decision
13,mortality rate under-5 per 1000 live births,0.54927,True,0.47922,True,Decision
14,population ages 0-4 male pct of male population,0.54621,True,0.47582,True,Decision
15,population ages 15-64 female pct of total,-0.54523,True,-0.48391,True,Decision
16,adolescent fertility rate births per 1000 women ages 15-19,0.54506,True,0.46827,True,Decision
17,survival to age 65 male pct of cohort,-0.54011,True,-0.4752,True,Decision
18,population ages 0-4 female pct of female population,0.53913,True,0.4704,True,Decision
19,access to electricity urban pct of urban population,-0.53825,True,-0.47249,True,Decision
20,population ages 15-64 pct of total,-0.53571,True,-0.48487,True,Decision
21,lifetime risk of maternal death pct,0.52972,True,0.47659,True,Decision
22,prevalence of anemia among children pct of children under 5,0.52798,True,0.45295,True,Decision
23,population ages 0-14 pct of total,0.52698,True,0.47319,True,Decision
24,population ages 15-64 male pct of total,-0.52583,True,-0.48239,True,Decision
25,population ages 0-14 male pct of total,0.52553,True,0.47328,True,Decision
26,population ages 5-9 male pct of male population,0.52432,True,0.47476,True,Decision
