#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,life expectancy at birth female years,0.49063,True,0.47746,True
2,mobile cellular subscriptions per 100 people,0.48763,True,0.50552,True
3,life expectancy at birth total years,0.47966,True,0.45545,True
4,mortality rate infant per 1000 live births,-0.47703,True,-0.48029,True
5,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.47234,True,-0.46932,True
6,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.47092,True,-0.46826,True
7,mortality rate under-5 per 1000 live births,-0.46695,True,-0.48251,True
8,survival to age 65 female pct of cohort,0.46566,True,0.44173,True
9,mortality rate neonatal per 1000 live births,-0.46242,True,-0.47148,True
10,life expectancy at birth male years,0.46129,True,0.43753,True
11,population ages 55-59 female pct of female population,0.45502,True,0.46276,True
12,prevalence of anemia among children pct of children under 5,-0.44438,True,-0.4272,True
13,access to electricity pct of population,0.44217,True,0.42579,True
14,population ages 80 and above male pct of male population,0.43955,True,0.4785,True
15,mortality rate adult female per 1000 female adults,-0.43939,True,-0.41841,True
16,employment in agriculture female pct of female employment modeled ilo estimate,-0.43873,True,-0.37822,True
17,population ages 55-59 male pct of male population,0.43672,True,0.4485,True
18,population ages 5-9 female pct of female population,-0.43318,True,-0.42132,True
19,population ages 0-14 female pct of total,-0.43096,True,-0.41574,True
20,population ages 0-4 female pct of female population,-0.43048,True,-0.40015,True
21,birth rate crude per 1000 people,-0.42885,True,-0.3699,True
22,employment in services female pct of female employment modeled ilo estimate,0.42708,True,0.38868,True
23,fertility rate total births per woman,-0.42462,True,-0.34365,True
24,employment in services pct of total employment modeled ilo estimate,0.42406,True,0.41067,True
25,maternal mortality ratio modeled estimate per 100000 live births,-0.42173,True,-0.44675,True
26,employment in agriculture pct of total employment modeled ilo estimate,-0.42143,True,-0.3955,True
27,population ages 60-64 female pct of female population,0.42132,True,0.42393,True
28,population ages 80 and above female pct of female population,0.42033,True,0.46258,True
29,individuals using the internet pct of population,0.41899,True,0.46003,True
30,age dependency ratio young pct of working-age population,-0.41804,True,-0.37856,True
31,population ages 60-64 male pct of male population,0.41662,True,0.42292,True
32,population ages 0-14 pct of total,-0.41629,True,-0.39353,True
33,vulnerable employment female pct of female employment modeled ilo estimate,-0.41278,True,-0.36077,True
34,survival to age 65 male pct of cohort,0.41276,True,0.39724,True
35,access to electricity urban pct of urban population,0.41274,True,0.41276,True
36,lifetime risk of maternal death pct,-0.41266,True,-0.45188,True
