#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005
1,primary school starting age years,-0.02687,False,-0.02466,False
2,fixed telephone subscriptions per 100 people,0.02071,False,0.01824,False
3,population ages 20-24 male pct of male population,-0.0194,False,-0.01865,False
4,population ages 75-79 female pct of female population,0.01893,False,0.01657,False
5,population ages 20-24 female pct of female population,-0.01883,False,-0.01783,False
6,population ages 75-79 male pct of male population,0.01873,False,0.01709,False
7,temparature ($^\circ$c),-0.01829,False,-0.01726,False
8,age dependency ratio old pct of working-age population,0.01805,False,0.01565,False
9,agricultural land pct of land area,0.01768,False,0.01703,False
10,population ages 80 and above female pct of female population,0.0176,False,0.01559,False
11,population ages 65 and above pct of total,0.01682,False,0.01486,False
12,population ages 65 and above female pct of total,0.0168,False,0.01516,False
13,population ages 65 and above male pct of total,0.01667,False,0.01535,False
14,population ages 70-74 male pct of male population,0.0166,False,0.01596,False
15,population ages 65-69 male pct of male population,0.0154,False,0.01546,False
16,population ages 80 and above male pct of male population,0.01528,False,0.01417,False
17,prevalence of anemia among non-pregnant women pct of women ages 15-49,-0.01525,False,-0.01886,False
18,population ages 70-74 female pct of female population,0.01521,False,0.01535,False
19,prevalence of anemia among women of reproductive age pct of women ages 15-49,-0.01519,False,-0.01887,False
20,co2 emissions from gaseous fuel consumption pct of total,0.01437,False,0.01585,False
21,population ages 15-19 female pct of female population,-0.01413,False,-0.01366,False
22,population ages 65-69 female pct of female population,0.01393,False,0.01404,False
23,lower secondary school starting age years,-0.01392,False,-0.01651,False
24,prevalence of anemia among children pct of children under 5,-0.01302,False,-0.01874,False
25,cereal yield kg per hectare,0.0129,False,0.01491,False
26,employment to population ratio ages 15-24 female pct modeled ilo estimate,0.01286,False,0.014,False
27,renewable energy consumption pct of total final energy consumption,-0.01273,False,-0.01751,False
28,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.01268,False,0.01438,False
29,self-employed female pct of female employment modeled ilo estimate,-0.01264,False,-0.01604,False
30,wage and salaried workers female pct of female employment modeled ilo estimate,0.01264,False,0.01604,False
31,population ages 15-19 male pct of male population,-0.01258,False,-0.01273,False
32,employment in agriculture male pct of male employment modeled ilo estimate,-0.01254,False,-0.01791,False
33,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.01249,False,0.01444,False
34,employment in services pct of total employment modeled ilo estimate,0.01235,False,0.01322,False
35,vulnerable employment female pct of female employment modeled ilo estimate,-0.01235,False,-0.0147,False
36,wage and salaried workers total pct of total employment modeled ilo estimate,0.01232,False,0.01456,False
37,self-employed total pct of total employment modeled ilo estimate,-0.01232,False,-0.01456,False
38,population ages 50-54 male pct of male population,0.01223,False,0.0121,False
39,employment in industry male pct of male employment modeled ilo estimate,0.01214,False,0.01534,False
40,employment in agriculture pct of total employment modeled ilo estimate,-0.01212,False,-0.01822,False
41,urban population growth annual pct,-0.01206,False,-0.01593,False
42,labor force participation rate for ages 15-24 female pct modeled ilo estimate,0.01187,False,0.01336,False
43,population ages 25-29 female pct of female population,-0.01177,False,-0.01376,False
44,preprimary education duration years,-0.01173,False,-0.01438,False
45,wage and salaried workers male pct of male employment modeled ilo estimate,0.01166,False,0.01311,False
46,self-employed male pct of male employment modeled ilo estimate,-0.01166,False,-0.01311,False
47,renewable electricity output pct of total electricity output,-0.01165,False,-0.01417,False
48,vulnerable employment total pct of total employment modeled ilo estimate,-0.0116,False,-0.01294,False
49,forest area pct of land area,-0.01159,False,-0.01253,False
50,employment in services female pct of female employment modeled ilo estimate,0.0115,False,0.01233,False
51,population ages 50-54 female pct of female population,0.01143,False,0.01076,False
